"","time","actual","pred"
"1",2011 Q1,392838763.606923,406730749.540737
"2",2011 Q2,436701456.661538,426972922.314351
"3",2011 Q3,435075913.742083,443165034.084566
"4",2011 Q4,473682147.86125,475459795.749751
"5",2012 Q1,455386603.554231,471875757.779929
"6",2012 Q2,522317648.466538,519000314.246966
"7",2012 Q3,520884819.092692,510119091.473221
"8",2012 Q4,594947886.905,518936985.735656
"9",2013 Q1,421676618.172857,498061812.125178
"10",2013 Q2,519558658.053571,571273572.696954
"11",2013 Q3,529948852.107857,567787099.685196
"12",2013 Q4,631122092.307143,624214865.247913
"13",2014 Q1,524346474.445192,484644655.814919
"14",2014 Q2,614650185.648269,638770167.528617
"15",2014 Q3,684851054.528958,640251989.259318
"16",2014 Q4,758657301.116458,691048574.551431
"17",2015 Q1,627906335.5375,638521728.481874
"18",2015 Q2,796566529.571136,747778855.138144
"19",2015 Q3,787938478.471136,823840436.494605
"20",2015 Q4,929727671.990227,910758795.678705
"21",2016 Q1,788927081.450909,812388307.916554
"22",2016 Q2,972049124.963636,978416671.405369
"23",2016 Q3,977164070.37,954855757.133846
"24",2016 Q4,1026009309.14091,1045312263.12975
"25",2017 Q1,880023087.060909,902771961.613376
