"","time","actual","pred"
"1",2010 Q2,63189586.7355769,79687337.0000368
"2",2010 Q3,70701948.8348077,65298777.2155962
"3",2010 Q4,81470267.9255769,81728302.9761738
"4",2011 Q1,66303233.1198077,58625383.7523978
"5",2011 Q2,67347840.9459615,66602496.6297295
"6",2011 Q3,49832575.4672917,55691131.2580223
"7",2011 Q4,27555829.8089583,33879261.8097429
"8",2012 Q1,28858681.2785256,5923360.88060399
"9",2012 Q2,18520054.6062179,15378593.9261528
"10",2012 Q3,21590629.5346795,30239545.0356235
"11",2012 Q4,9970421.95826923,27271291.2582334
"12",2013 Q1,27199879.8589286,20557959.7369115
"13",2013 Q2,54869121.8653571,57084755.9105857
"14",2013 Q3,57901581.4096429,62765140.1836492
"15",2013 Q4,98072389.9239286,61479608.0321265
"16",2014 Q1,33698671.975,56840974.338917
"17",2014 Q2,58889773.565,63323327.0389345
"18",2014 Q3,26293489.58375,28293430.8270086
"19",2014 Q4,29394086.5995833,19252964.0038963
"20",2015 Q1,12702066.5018182,11167822.2721765
"21",2015 Q2,19914714.7663636,20300934.6278601
"22",2015 Q3,28176982.9736364,21749397.3339077
"23",2015 Q4,-5095413.81545454,26104441.7927173
"24",2016 Q1,32021481.4927273,35479479.3716782
"25",2016 Q2,66383617.0927273,61411927.3342386
"26",2016 Q3,88667933.0818182,72186753.5038
"27",2016 Q4,102499419.752727,85929115.3775494
"28",2017 Q1,70541413.3436364,83218766.7585934
