"","time","actual","pred"
"1",2011 Q2,67105656.2096154,75200712.9357461
"2",2011 Q3,55016278.7654167,61148744.2619957
"3",2011 Q4,50520489.22125,62202746.2800317
"4",2012 Q1,24273460.8230128,-3516117.62841252
"5",2012 Q2,40933708.7376282,56321478.3902525
"6",2012 Q3,23007856.5845513,48950307.3982512
"7",2012 Q4,97096901.3178846,73090124.6274139
"8",2013 Q1,97455400.5935714,30134702.0578756
"9",2013 Q2,91379819.355,121988791.029435
"10",2013 Q3,114215786.15,100949744.07983
"11",2013 Q4,100466597.517143,115481644.07087
"12",2014 Q1,66466949.1538462,58756459.654875
"13",2014 Q2,115428667.816923,112521748.432992
"14",2014 Q3,48953848.8266667,40817264.1961401
"15",2014 Q4,94432128.1575,65963352.8644166
"16",2015 Q1,-19954457.6840909,37160814.7588276
"17",2015 Q2,79494699.6940909,80047151.4590997
"18",2015 Q3,72948827.5659091,98687348.8694293
"19",2015 Q4,144848530.703182,111283893.398796
"20",2016 Q1,13818281.4872727,59346453.1038745
"21",2016 Q2,159635015.814545,199040967.861764
"22",2016 Q3,206107431.176364,181767835.410443
"23",2016 Q4,235965093.983636,185702295.44414
"24",2017 Q1,136736900.108182,143305409.121013
