"","time","actual","pred"
"1",2011 Q1,460915571.814808,468381486.432655
"2",2011 Q2,511572327.8625,492370664.405141
"3",2011 Q3,489399386.408958,485983819.37208
"4",2011 Q4,489688040.013125,492367636.919375
"5",2012 Q1,454950083.982756,443121254.408996
"6",2012 Q2,531068943.350449,514039668.541578
"7",2012 Q3,528842140.865833,545944893.735381
"8",2012 Q4,579493416.267885,542265573.144787
"9",2013 Q1,445303478.772857,491992913.50665
"10",2013 Q2,568821627.322143,591008230.466189
"11",2013 Q3,577911141.285714,608057681.805804
"12",2013 Q4,664894040.135,646636688.736058
"13",2014 Q1,542170608.724423,513911127.385983
"14",2014 Q2,641835392.164423,657188284.403642
"15",2014 Q3,680462681.106875,677767665.925785
"16",2014 Q4,742507389.034375,726019442.271442
"17",2015 Q1,619518881.120455,614167739.083962
"18",2015 Q2,771781814.355909,759705946.926963
"19",2015 Q3,768742377.186818,824793627.460913
"20",2015 Q4,876504723.512273,898053531.104378
"21",2016 Q1,807685141.181818,826562653.262666
"22",2016 Q2,1017328522.84455,1006217554.49933
"23",2016 Q3,1061837953.26455,990918000.750419
"24",2016 Q4,1018973628.85636,1057041051.04958
"25",2017 Q1,952157348.329091,929849524.16419
