"","time","actual","pred"
"1",2011 Q1,20866578.8609524,22017257.504009
"2",2011 Q2,44432118.5745238,65154584.6648548
"3",2011 Q3,103382867.670952,29812551.9133358
"4",2011 Q4,13311611.5578572,22861229.253801
"5",2012 Q1,83683902.3117857,53545664.4975369
"6",2012 Q2,84420692.1403571,108963657.663131
"7",2012 Q3,107556725.043214,144836595.883794
"8",2012 Q4,177567318.398929,165973480.655617
"9",2013 Q1,185963549.758571,185549980.009448
"10",2013 Q2,195115138.209286,223450488.441578
"11",2013 Q3,241322727.252857,223887352.586246
"12",2013 Q4,250656848.360714,231321568.103485
"13",2014 Q1,178222277.422143,169181930.880865
"14",2014 Q2,215484781.362143,231473510.727149
"15",2014 Q3,223994091.687143,237098475.030055
"16",2014 Q4,238728600.565,210904558.941464
"17",2015 Q1,227500502.635714,230579049.284875
"18",2015 Q2,315858300.784286,298130312.87861
"19",2015 Q3,262025303.927857,254182033.92492
"20",2015 Q4,263872579.142308,256200204.611603
"21",2016 Q1,224023611.021538,254916492.760059
"22",2016 Q2,280717586.985714,265014528.171371
"23",2016 Q3,235338428.594286,178769386.794952
"24",2016 Q4,47319411.9107143,135457686.23713
"25",2017 Q1,58059794.3678571,80142767.1268141
