"","time","actual","pred"
"1",2011 Q1,1319938640.93333,1444921744.0762
"2",2011 Q2,1431341185.2919,1437181811.4319
"3",2011 Q3,1501207873.88619,1493915356.47013
"4",2011 Q4,1609622494.47857,1674739987.99957
"5",2012 Q1,1496158797.60268,1399465949.79325
"6",2012 Q2,1456916516.80268,1320399471.63038
"7",2012 Q3,1469914181.90482,1367501244.69863
"8",2012 Q4,1575789974.31339,1677098511.28962
"9",2013 Q1,1421390718.93429,1428195454.25755
"10",2013 Q2,1454883722.29429,1368329793.34796
"11",2013 Q3,1715401687.50143,1513468050.69139
"12",2013 Q4,1830561890.07214,1760294878.45744
"13",2014 Q1,1308093448.385,1374810709.69236
"14",2014 Q2,1337951299.08,1326196871.99918
"15",2014 Q3,1594709926.02,1484740663.32165
"16",2014 Q4,1778936718.91571,1759309554.96306
"17",2015 Q1,1317554106.77357,1394441120.55269
"18",2015 Q2,1271139282.78286,1327900938.84809
"19",2015 Q3,1349695561.05286,1487121365.77427
"20",2015 Q4,1855427963.41615,1743196041.67854
"21",2016 Q1,1200930553.50077,1497491532.55991
"22",2016 Q2,1193634579.92,1265464167.08939
"23",2016 Q3,1551494460.72286,1611877297.22057
"24",2016 Q4,1827126874.44357,1862826941.25132
"25",2017 Q1,1685946956.20714,1534879956.14115
