"","time","actual","pred"
"1",2011 Q1,130494947.591667,158953865.20163
"2",2011 Q2,173968991.979524,153713906.429666
"3",2011 Q3,240753348.682333,219824413.728822
"4",2011 Q4,171589378.375714,136303274.506583
"5",2012 Q1,279891801.400357,294512340.771838
"6",2012 Q2,241929068.739643,302108532.5982
"7",2012 Q3,348110448.746786,396999393.105093
"8",2012 Q4,311327548.006071,288173689.807901
"9",2013 Q1,389247387.1775,373006033.024071
"10",2013 Q2,453325310.851786,379021717.358531
"11",2013 Q3,462391974.387857,445574148.337468
"12",2013 Q4,420471191.996429,340066144.396613
"13",2014 Q1,368434728.463571,398981591.542151
"14",2014 Q2,372757895.577857,429312866.850855
"15",2014 Q3,655480636.693571,508402422.687097
"16",2014 Q4,257817054.330714,387519667.249781
"17",2015 Q1,545655811.437857,438439770.668788
"18",2015 Q2,516670196.903571,494699617.675867
"19",2015 Q3,536385704.875714,537040480.905473
"20",2015 Q4,522536739.825714,488529737.400332
"21",2016 Q1,553001280.446429,561081014.764691
"22",2016 Q2,486654613.265,546646836.775207
"23",2016 Q3,434560214.189286,507762194.451049
"24",2016 Q4,285464326.299286,353864323.571962
"25",2017 Q1,270830118.3,289212734.734567
