"","time","actual","pred"
"1",2011 Q1,1320364810.18774,1327299700.72139
"2",2011 Q2,1454125634.48917,1394938155.50249
"3",2011 Q3,1517759863.02417,1630860651.49869
"4",2011 Q4,1642895123.06321,1859619277.13564
"5",2012 Q1,1552615570.3225,1417323798.89031
"6",2012 Q2,1507205307.86464,1491151928.64736
"7",2012 Q3,1547297229.77107,1649537644.58354
"8",2012 Q4,1717060262.86179,1800327039.66818
"9",2013 Q1,1574670735.5725,1461227535.95553
"10",2013 Q2,1620619819.46893,1547798056.86673
"11",2013 Q3,1943105822.12786,1776691282.02972
"12",2013 Q4,2019424284.65571,1944601041.43724
"13",2014 Q1,1461996661.32786,1581981391.54196
"14",2014 Q2,1513544653.36571,1574968277.82711
"15",2014 Q3,1823536575.69571,1725608099.98312
"16",2014 Q4,1994505358.99857,1955956807.4252
"17",2015 Q1,1530307046.655,1603682965.50127
"18",2015 Q2,1526087701.97857,1527631649.24713
"19",2015 Q3,1601188687.73786,1757997414.06466
"20",2015 Q4,2168167264.86846,1904476149.17142
"21",2016 Q1,1410049443.37923,1487438381.38764
"22",2016 Q2,1435805461.06643,1529980182.98632
"23",2016 Q3,1767413968.18714,1711507156.98166
"24",2016 Q4,1856990464.23571,1934062443.84579
"25",2017 Q1,1708807099.33786,1618877817.34331
