指标名称,产量:火电:当月值,产量:水电:当月值,产量:风电:当月值,产量:原煤:当月值,产量:焦炭:当月值,并网数量:核电站:中国:当月值,申万行业指数:电力,"市场价:动力煤(Q5500,山西产):秦皇岛",期货收盘价(活跃合约):动力煤,期货结算价(连续):动力煤,期货收盘价(连续):IPE理查德湾煤炭,期货收盘价(连续):IPE鹿特丹煤炭,沈阳:全社会用电量:累计值,哈尔滨:全社会用电量:总计:累计值,南京:全社会用电量:累计值,杭州:全社会用电量:当月值,宁波:全社会用电量:当月值,济南:全社会用电量:当月值,青岛:全社会用电量:总计:当月值,郑州:全社会用电量:总计:当月值,长沙:全社会用电量:总计:当月值,广州:全社会用电量:当月值,江苏:无锡:全社会用电量:当月值
2010-01-01,,,,,,,,767.00 ,,,,,,,,,,,,,,,
2010-01-04,,,,,,,2473.62 ,767.00 ,,,84.20 ,88.65 ,,,,,,,,,,,
2010-01-05,,,,,,,2493.41 ,767.00 ,,,88.25 ,93.00 ,,,,,,,,,,,
2010-01-06,,,,,,,2490.26 ,767.00 ,,,88.90 ,93.30 ,,,,,,,,,,,
2010-01-07,,,,,,,2437.88 ,769.00 ,,,93.00 ,96.65 ,,,,,,,,,,,
2010-01-08,,,,,,,2455.09 ,769.00 ,,,91.05 ,94.70 ,,,,,,,,,,,
2010-01-11,,,,,,,2464.62 ,769.00 ,,,88.80 ,92.20 ,,,,,,,,,,,
2010-01-12,,,,,,,2506.91 ,769.00 ,,,85.70 ,87.80 ,,,,,,,,,,,
2010-01-13,,,,,,,2470.40 ,769.00 ,,,83.10 ,84.40 ,,,,,,,,,,,
2010-01-14,,,,,,,2504.88 ,769.00 ,,,84.25 ,85.40 ,,,,,,,,,,,
2010-01-15,,,,,,,2504.90 ,769.00 ,,,86.60 ,86.65 ,,,,,,,,,,,
2010-01-18,,,,,,,2527.95 ,769.00 ,,,86.40 ,85.65 ,,,,,,,,,,,
2010-01-19,,,,,,,2518.78 ,769.00 ,,,87.05 ,85.15 ,,,,,,,,,,,
2010-01-20,,,,,,,2458.97 ,769.00 ,,,86.20 ,84.20 ,,,,,,,,,,,
2010-01-21,,,,,,,2467.68 ,769.00 ,,,86.35 ,84.50 ,,,,,,,,,,,
2010-01-22,,,,,,,2421.88 ,769.00 ,,,86.40 ,84.95 ,,,,,,,,,,,
2010-01-25,,,,,,,2414.21 ,767.00 ,,,87.35 ,86.25 ,,,,,,,,,,,
2010-01-26,,,,,,,2344.70 ,767.00 ,,,87.65 ,86.65 ,,,,,,,,,,,
2010-01-27,,,,,,,2335.08 ,767.00 ,,,87.40 ,86.40 ,,,,,,,,,,,
2010-01-28,,,,,,,2348.95 ,767.00 ,,,87.25 ,86.00 ,,,,,,,,,,,
2010-01-29,,,,,,,2348.25 ,765.00 ,,,86.50 ,85.70 ,,,,,,,,,,,
2010-01-31,2932.35 ,302.09 ,23.30 ,25610.07 ,3031.07 ,11.00 ,,,,,,,226439.00 ,,,,,,,355000.00 ,,45.56 ,45.59 
2010-02-01,,,,,,,2301.76 ,765.00 ,,,85.15 ,79.15 ,,,,,,,,,,,
2010-02-02,,,,,,,2295.03 ,765.00 ,,,84.40 ,78.50 ,,,,,,,,,,,
2010-02-03,,,,,,,2336.70 ,765.00 ,,,83.85 ,77.35 ,,,,,,,,,,,
2010-02-04,,,,,,,2346.96 ,765.00 ,,,83.60 ,77.20 ,,,,,,,,,,,
2010-02-05,,,,,,,2324.03 ,765.00 ,,,83.55 ,76.95 ,,,,,,,,,,,
2010-02-08,,,,,,,2320.71 ,765.00 ,,,82.15 ,75.85 ,,,,,,,,,,,
2010-02-09,,,,,,,2342.40 ,765.00 ,,,82.60 ,76.10 ,,,,,,,,,,,
2010-02-10,,,,,,,2349.61 ,765.00 ,,,81.55 ,73.90 ,,,,,,,,,,,
2010-02-11,,,,,,,2345.43 ,765.00 ,,,81.10 ,73.10 ,,,,,,,,,,,
2010-02-12,,,,,,,2362.63 ,765.00 ,,,80.90 ,73.40 ,,,,,,,,,,,
2010-02-15,,,,,,,,765.00 ,,,80.90 ,74.10 ,,,,,,,,,,,
2010-02-16,,,,,,,,765.00 ,,,81.85 ,75.10 ,,,,,,,,,,,
2010-02-17,,,,,,,,765.00 ,,,80.60 ,74.40 ,,,,,,,,,,,
2010-02-18,,,,,,,,765.00 ,,,81.40 ,74.50 ,,,,,,,,,,,
2010-02-19,,,,,,,,765.00 ,,,81.75 ,74.75 ,,,,,,,,,,,
2010-02-22,,,,,,,2358.73 ,765.00 ,,,82.75 ,75.25 ,,,,,,,,,,,
2010-02-23,,,,,,,2373.57 ,765.00 ,,,82.85 ,75.35 ,,,,,,,,,,,
2010-02-24,,,,,,,2428.36 ,765.00 ,,,82.80 ,75.40 ,,,,,,,,,,,
2010-02-25,,,,,,,2447.54 ,765.00 ,,,82.90 ,75.40 ,,,,,,,,,,,
2010-02-26,,,,,,,2443.36 ,765.00 ,,,83.40 ,75.60 ,,,,,,,,,,,
2010-02-28,2299.00 ,260.00 ,22.10 ,21298.00 ,2860.10 ,11.00 ,,,,,,,401907.00 ,,58.96 ,26.80 ,23.23 ,17.90 ,,,,31.75 ,29.09 
2010-03-01,,,,,,,2470.57 ,765.00 ,,,85.75 ,76.75 ,,,,,,,,,,,
2010-03-02,,,,,,,2468.31 ,765.00 ,,,84.80 ,75.95 ,,,,,,,,,,,
2010-03-03,,,,,,,2499.65 ,765.00 ,,,83.55 ,73.55 ,,,,,,,,,,,
2010-03-04,,,,,,,2425.65 ,765.00 ,,,83.90 ,73.50 ,,,,,,,,,,,
2010-03-05,,,,,,,2428.96 ,765.00 ,,,83.60 ,73.00 ,,,,,,,,,,,
2010-03-08,,,,,,,2442.19 ,765.00 ,,,82.40 ,71.90 ,,,,,,,,,,,
2010-03-09,,,,,,,2441.82 ,765.00 ,,,82.55 ,70.30 ,,,,,,,,,,,
2010-03-10,,,,,,,2420.31 ,765.00 ,,,83.10 ,70.90 ,,,,,,,,,,,
2010-03-11,,,,,,,2415.96 ,765.00 ,,,83.90 ,72.30 ,,,,,,,,,,,
2010-03-12,,,,,,,2384.03 ,765.00 ,,,83.80 ,72.55 ,,,,,,,,,,,
2010-03-15,,,,,,,2361.58 ,765.00 ,,,83.70 ,73.30 ,,,,,,,,,,,
2010-03-16,,,,,,,2374.08 ,765.00 ,,,84.10 ,74.00 ,,,,,,,,,,,
2010-03-17,,,,,,,2415.45 ,765.00 ,,,83.85 ,73.25 ,,,,,,,,,,,
2010-03-18,,,,,,,2408.43 ,765.00 ,,,84.05 ,73.30 ,,,,,,,,,,,
2010-03-19,,,,,,,2421.16 ,765.00 ,,,83.50 ,73.30 ,,,,,,,,,,,
2010-03-22,,,,,,,2433.87 ,765.00 ,,,83.75 ,73.40 ,,,,,,,,,,,
2010-03-23,,,,,,,2417.10 ,765.00 ,,,83.90 ,73.60 ,,,,,,,,,,,
2010-03-24,,,,,,,2424.23 ,765.00 ,,,82.90 ,73.50 ,,,,,,,,,,,
2010-03-25,,,,,,,2385.27 ,761.00 ,,,83.40 ,73.35 ,,,,,,,,,,,
2010-03-26,,,,,,,2414.78 ,761.00 ,,,83.40 ,73.35 ,,,,,,,,,,,
2010-03-29,,,,,,,2440.23 ,759.00 ,,,82.65 ,73.50 ,,,,,,,,,,,
2010-03-30,,,,,,,2438.51 ,759.00 ,,,83.05 ,74.05 ,,,,,,,,,,,
2010-03-31,2883.00 ,339.20 ,31.50 ,27980.80 ,3183.20 ,,2456.63 ,759.00 ,,,84.25 ,75.40 ,614822.00 ,,89.86 ,42.54 ,38.41 ,21.20 ,,,,47.30 ,46.04 
2010-04-01,,,,,,,2474.86 ,759.00 ,,,85.00 ,75.50 ,,,,,,,,,,,
2010-04-02,,,,,,,2473.93 ,759.00 ,,,,,,,,,,,,,,,
2010-04-05,,,,,,,,749.00 ,,,,,,,,,,,,,,,
2010-04-06,,,,,,,2471.50 ,749.00 ,,,87.10 ,78.15 ,,,,,,,,,,,
2010-04-07,,,,,,,2472.43 ,747.00 ,,,86.95 ,77.85 ,,,,,,,,,,,
2010-04-08,,,,,,,2450.59 ,747.00 ,,,87.40 ,78.15 ,,,,,,,,,,,
2010-04-09,,,,,,,2473.19 ,747.00 ,,,87.40 ,78.65 ,,,,,,,,,,,
2010-04-12,,,,,,,2485.21 ,743.00 ,,,86.55 ,77.45 ,,,,,,,,,,,
2010-04-13,,,,,,,2483.40 ,743.00 ,,,84.85 ,76.10 ,,,,,,,,,,,
2010-04-14,,,,,,,2497.17 ,743.00 ,,,85.15 ,76.75 ,,,,,,,,,,,
2010-04-15,,,,,,,2481.60 ,741.00 ,,,85.05 ,76.35 ,,,,,,,,,,,
2010-04-16,,,,,,,2467.38 ,741.00 ,,,84.85 ,75.75 ,,,,,,,,,,,
2010-04-19,,,,,,,2390.45 ,741.00 ,,,85.20 ,76.70 ,,,,,,,,,,,
2010-04-20,,,,,,,2388.28 ,741.00 ,,,86.25 ,77.50 ,,,,,,,,,,,
2010-04-21,,,,,,,2481.03 ,741.00 ,,,89.70 ,80.55 ,,,,,,,,,,,
2010-04-22,,,,,,,2486.43 ,741.00 ,,,91.35 ,81.40 ,,,,,,,,,,,
2010-04-23,,,,,,,2455.30 ,741.00 ,,,91.55 ,80.95 ,,,,,,,,,,,
2010-04-26,,,,,,,2438.36 ,741.00 ,,,93.65 ,83.55 ,,,,,,,,,,,
2010-04-27,,,,,,,2414.09 ,739.00 ,,,94.05 ,85.30 ,,,,,,,,,,,
2010-04-28,,,,,,,2387.78 ,739.00 ,,,91.65 ,83.50 ,,,,,,,,,,,
2010-04-29,,,,,,,2335.77 ,739.00 ,,,92.95 ,84.90 ,,,,,,,,,,,
2010-04-30,2764.30 ,416.20 ,31.30 ,26928.93 ,3244.60 ,11.00 ,2316.21 ,737.00 ,,,91.85 ,83.70 ,804157.00 ,,117.74 ,42.33 ,38.25 ,19.70 ,,,,47.96 ,45.40 
2010-05-03,,,,,,,,737.00 ,,,,,,,,,,,,,,,
2010-05-04,,,,,,,2298.91 ,737.00 ,,,96.50 ,89.15 ,,,,,,,,,,,
2010-05-05,,,,,,,2320.05 ,737.00 ,,,93.40 ,88.60 ,,,,,,,,,,,
2010-05-06,,,,,,,2252.48 ,735.00 ,,,93.10 ,91.10 ,,,,,,,,,,,
2010-05-07,,,,,,,2195.23 ,735.00 ,,,91.35 ,91.35 ,,,,,,,,,,,
2010-05-10,,,,,,,2196.67 ,735.00 ,,,91.75 ,91.60 ,,,,,,,,,,,
2010-05-11,,,,,,,2156.53 ,735.00 ,,,90.40 ,90.25 ,,,,,,,,,,,
2010-05-12,,,,,,,2141.65 ,733.00 ,,,89.50 ,88.25 ,,,,,,,,,,,
2010-05-13,,,,,,,2171.63 ,733.00 ,,,90.00 ,88.50 ,,,,,,,,,,,
2010-05-14,,,,,,,2188.29 ,733.00 ,,,89.65 ,87.90 ,,,,,,,,,,,
2010-05-17,,,,,,,2089.02 ,728.00 ,,,88.50 ,87.15 ,,,,,,,,,,,
2010-05-18,,,,,,,2092.44 ,728.00 ,,,89.65 ,88.25 ,,,,,,,,,,,
2010-05-19,,,,,,,2090.45 ,724.00 ,,,88.25 ,87.75 ,,,,,,,,,,,
2010-05-20,,,,,,,2065.18 ,724.00 ,,,89.00 ,88.25 ,,,,,,,,,,,
2010-05-21,,,,,,,2075.35 ,724.00 ,,,90.15 ,90.25 ,,,,,,,,,,,
2010-05-24,,,,,,,2139.70 ,724.00 ,,,92.40 ,92.75 ,,,,,,,,,,,
2010-05-25,,,,,,,2098.54 ,724.00 ,,,91.35 ,91.00 ,,,,,,,,,,,
2010-05-26,,,,,,,2126.34 ,724.00 ,,,91.00 ,90.15 ,,,,,,,,,,,
2010-05-27,,,,,,,2150.73 ,724.00 ,,,90.90 ,89.85 ,,,,,,,,,,,
2010-05-28,,,,,,,2141.01 ,724.00 ,,,91.25 ,89.40 ,,,,,,,,,,,
2010-05-31,2709.30 ,558.70 ,40.40 ,28386.43 ,3352.90 ,11.00 ,2086.03 ,724.00 ,,,,,983863.00 ,,145.94 ,42.33 ,38.62 ,19.30 ,,,,54.75 ,46.08 
2010-06-01,,,,,,,2059.74 ,722.00 ,,,91.65 ,88.85 ,,,,,,,,,,,
2010-06-02,,,,,,,2070.79 ,724.00 ,,,92.25 ,89.65 ,,,,,,,,,,,
2010-06-03,,,,,,,2052.84 ,724.00 ,,,92.50 ,91.25 ,,,,,,,,,,,
2010-06-04,,,,,,,2057.38 ,722.00 ,,,92.50 ,92.75 ,,,,,,,,,,,
2010-06-07,,,,,,,2021.20 ,722.00 ,,,92.65 ,94.15 ,,,,,,,,,,,
2010-06-08,,,,,,,2025.46 ,722.00 ,,,94.25 ,96.90 ,,,,,,,,,,,
2010-06-09,,,,,,,2064.08 ,722.00 ,,,94.40 ,98.90 ,,,,,,,,,,,
2010-06-10,,,,,,,2060.73 ,722.00 ,,,93.35 ,97.95 ,,,,,,,,,,,
2010-06-11,,,,,,,2058.95 ,725.00 ,,,92.90 ,96.40 ,,,,,,,,,,,
2010-06-14,,,,,,,,725.00 ,,,93.65 ,96.75 ,,,,,,,,,,,
2010-06-15,,,,,,,,725.00 ,,,93.65 ,96.65 ,,,,,,,,,,,
2010-06-16,,,,,,,,725.00 ,,,93.40 ,96.00 ,,,,,,,,,,,
2010-06-17,,,,,,,2064.21 ,725.00 ,,,93.25 ,95.90 ,,,,,,,,,,,
2010-06-18,,,,,,,2018.77 ,725.00 ,,,93.00 ,96.00 ,,,,,,,,,,,
2010-06-21,,,,,,,2062.38 ,727.00 ,,,93.15 ,94.75 ,,,,,,,,,,,
2010-06-22,,,,,,,2066.74 ,729.00 ,,,92.15 ,94.10 ,,,,,,,,,,,
2010-06-23,,,,,,,2051.82 ,737.00 ,,,93.00 ,94.50 ,,,,,,,,,,,
2010-06-24,,,,,,,2049.86 ,737.00 ,,,93.00 ,94.50 ,,,,,,,,,,,
2010-06-25,,,,,,,2042.60 ,737.00 ,,,93.00 ,94.50 ,,,,,,,,,,,
2010-06-28,,,,,,,2032.44 ,737.00 ,,,92.65 ,93.65 ,,,,,,,,,,,
2010-06-29,,,,,,,1970.64 ,741.00 ,,,92.30 ,94.00 ,,,,,,,,,,,
2010-06-30,2616.60 ,703.80 ,47.30 ,29692.14 ,3366.00 ,11.00 ,1962.30 ,741.00 ,,,91.50 ,94.40 ,1169353.00 ,,176.54 ,,38.26 ,19.20 ,,,,56.16 ,46.15 
2010-07-01,,,,,,,1941.79 ,741.00 ,,,90.15 ,94.25 ,,,,,,,,,,,
2010-07-02,,,,,,,1955.44 ,741.00 ,,,89.65 ,93.50 ,,,,,,,,,,,
2010-07-05,,,,,,,1951.42 ,749.00 ,,,89.85 ,93.30 ,,,,,,,,,,,
2010-07-06,,,,,,,1972.83 ,749.00 ,,,90.60 ,93.45 ,,,,,,,,,,,
2010-07-07,,,,,,,1970.15 ,751.00 ,,,90.45 ,92.80 ,,,,,,,,,,,
2010-07-08,,,,,,,1957.86 ,751.00 ,,,90.80 ,93.25 ,,,,,,,,,,,
2010-07-09,,,,,,,1992.53 ,761.00 ,,,91.15 ,93.55 ,,,,,,,,,,,
2010-07-12,,,,,,,2005.10 ,765.00 ,,,90.85 ,93.05 ,,,,,,,,,,,
2010-07-13,,,,,,,1995.24 ,767.00 ,,,90.80 ,93.05 ,,,,,,,,,,,
2010-07-14,,,,,,,2008.36 ,767.00 ,,,90.95 ,93.10 ,,,,,,,,,,,
2010-07-15,,,,,,,1972.94 ,769.00 ,,,91.40 ,92.90 ,,,,,,,,,,,
2010-07-16,,,,,,,1976.64 ,771.00 ,,,91.15 ,92.75 ,,,,,,,,,,,
2010-07-19,,,,,,,2004.03 ,786.00 ,,,90.95 ,92.75 ,,,,,,,,,,,
2010-07-20,,,,,,,2038.49 ,786.00 ,,,90.80 ,92.65 ,,,,,,,,,,,
2010-07-21,,,,,,,2086.02 ,786.00 ,,,90.65 ,92.30 ,,,,,,,,,,,
2010-07-22,,,,,,,2085.22 ,790.00 ,,,90.55 ,92.45 ,,,,,,,,,,,
2010-07-23,,,,,,,2073.68 ,790.00 ,,,90.65 ,92.60 ,,,,,,,,,,,
2010-07-26,,,,,,,2089.55 ,794.00 ,,,90.60 ,92.70 ,,,,,,,,,,,
2010-07-27,,,,,,,2075.65 ,796.00 ,,,90.70 ,92.70 ,,,,,,,,,,,
2010-07-28,,,,,,,2112.54 ,796.00 ,,,90.40 ,92.60 ,,,,,,,,,,,
2010-07-29,,,,,,,2136.35 ,796.00 ,,,90.35 ,92.75 ,,,,,,,,,,,
2010-07-30,,,,,,,2129.81 ,798.00 ,,,90.60 ,92.75 ,,,,,,,,,,,
2010-07-31,2809.10 ,826.80 ,24.10 ,29190.56 ,3152.10 ,11.00 ,,,,,,,1364304.00 ,,212.83 ,50.51 ,44.94 ,22.50 ,,,,67.55 ,53.22 
2010-08-02,,,,,,,2155.64 ,798.00 ,,,90.45 ,94.85 ,,,,,,,,,,,
2010-08-03,,,,,,,2116.72 ,798.00 ,,,90.85 ,95.30 ,,,,,,,,,,,
2010-08-04,,,,,,,2121.67 ,810.00 ,,,90.50 ,95.05 ,,,,,,,,,,,
2010-08-05,,,,,,,2116.56 ,810.00 ,,,90.30 ,94.95 ,,,,,,,,,,,
2010-08-06,,,,,,,2149.48 ,810.00 ,,,89.90 ,94.55 ,,,,,,,,,,,
2010-08-09,,,,,,,2157.57 ,810.00 ,,,89.35 ,94.25 ,,,,,,,,,,,
2010-08-10,,,,,,,2108.33 ,810.00 ,,,88.80 ,94.00 ,,,,,,,,,,,
2010-08-11,,,,,,,2117.29 ,814.00 ,,,88.20 ,92.95 ,,,,,,,,,,,
2010-08-12,,,,,,,2089.90 ,816.00 ,,,87.35 ,92.60 ,,,,,,,,,,,
2010-08-13,,,,,,,2117.31 ,816.00 ,,,87.25 ,92.40 ,,,,,,,,,,,
2010-08-16,,,,,,,2158.58 ,816.00 ,,,87.30 ,92.45 ,,,,,,,,,,,
2010-08-17,,,,,,,2166.44 ,816.00 ,,,87.60 ,92.70 ,,,,,,,,,,,
2010-08-18,,,,,,,2163.78 ,816.00 ,,,86.85 ,92.15 ,,,,,,,,,,,
2010-08-19,,,,,,,2166.64 ,816.00 ,,,86.90 ,92.25 ,,,,,,,,,,,
2010-08-20,,,,,,,2142.83 ,816.00 ,,,86.60 ,91.95 ,,,,,,,,,,,
2010-08-23,,,,,,,2145.57 ,816.00 ,,,87.15 ,92.40 ,,,,,,,,,,,
2010-08-24,,,,,,,2157.56 ,814.00 ,,,86.95 ,91.85 ,,,,,,,,,,,
2010-08-25,,,,,,,2106.21 ,814.00 ,,,87.25 ,91.50 ,,,,,,,,,,,
2010-08-26,,,,,,,2115.04 ,814.00 ,,,87.45 ,91.60 ,,,,,,,,,,,
2010-08-27,,,,,,,2114.46 ,806.00 ,,,87.70 ,91.80 ,,,,,,,,,,,
2010-08-30,,,,,,,2137.73 ,802.00 ,,,,,,,,,,,,,,,
2010-08-31,2951.20 ,822.50 ,32.10 ,30138.35 ,3139.50 ,12.00 ,2122.66 ,802.00 ,,,,91.25 ,1557401.00 ,,251.20 ,53.96 ,47.31 ,22.00 ,,,,66.60 ,56.38 
2010-09-01,,,,,,,2096.73 ,800.00 ,,,88.70 ,91.15 ,,,,,,,,,,,
2010-09-02,,,,,,,2122.31 ,800.00 ,,,88.68 ,91.23 ,,,,,,,,,,,
2010-09-03,,,,,,,2122.49 ,800.00 ,,,88.45 ,91.45 ,,,,,,,,,,,
2010-09-06,,,,,,,2148.19 ,798.00 ,,,87.83 ,91.13 ,,,,,,,,,,,
2010-09-07,,,,,,,2148.29 ,798.00 ,,,87.43 ,90.68 ,,,,,,,,,,,
2010-09-08,,,,,,,2148.69 ,798.00 ,,,86.80 ,90.55 ,,,,,,,,,,,
2010-09-09,,,,,,,2132.36 ,798.00 ,,,86.20 ,90.70 ,,,,,,,,,,,
2010-09-10,,,,,,,2132.42 ,798.00 ,,,86.25 ,90.75 ,,,,,,,,,,,
2010-09-13,,,,,,,2150.59 ,794.00 ,,,86.18 ,90.93 ,,,,,,,,,,,
2010-09-14,,,,,,,2199.02 ,794.00 ,,,86.78 ,91.78 ,,,,,,,,,,,
2010-09-15,,,,,,,2166.69 ,794.00 ,,,86.13 ,91.47 ,,,,,,,,,,,
2010-09-16,,,,,,,2134.21 ,792.00 ,,,86.23 ,91.85 ,,,,,,,,,,,
2010-09-17,,,,,,,2135.22 ,792.00 ,,,86.18 ,92.18 ,,,,,,,,,,,
2010-09-20,,,,,,,2109.43 ,792.00 ,,,86.03 ,92.03 ,,,,,,,,,,,
2010-09-21,,,,,,,2101.27 ,792.00 ,,,86.13 ,92.13 ,,,,,,,,,,,
2010-09-22,,,,,,,,792.00 ,,,86.45 ,92.45 ,,,,,,,,,,,
2010-09-23,,,,,,,,792.00 ,,,86.95 ,92.95 ,,,,,,,,,,,
2010-09-24,,,,,,,,792.00 ,,,86.17 ,92.67 ,,,,,,,,,,,
2010-09-27,,,,,,,2129.60 ,790.00 ,,,87.55 ,95.10 ,,,,,,,,,,,
2010-09-28,,,,,,,2109.32 ,790.00 ,,,87.63 ,95.20 ,,,,,,,,,,,
2010-09-29,,,,,,,2108.47 ,790.00 ,,,88.58 ,95.90 ,,,,,,,,,,,
2010-09-30,2600.90 ,755.50 ,27.80 ,27601.53 ,3192.90 ,,2126.29 ,790.00 ,,,89.18 ,96.37 ,1743518.00 ,,281.62 ,46.26 ,39.53 ,19.30 ,,,,61.66 ,47.09 
2010-10-01,,,,,,,,790.00 ,,,88.88 ,96.53 ,,,,,,,,,,,
2010-10-04,,,,,,,,790.00 ,,,88.15 ,95.95 ,,,,,,,,,,,
2010-10-05,,,,,,,,790.00 ,,,88.75 ,96.20 ,,,,,,,,,,,
2010-10-06,,,,,,,,784.00 ,,,89.60 ,96.83 ,,,,,,,,,,,
2010-10-07,,,,,,,,782.00 ,,,89.53 ,96.78 ,,,,,,,,,,,
2010-10-08,,,,,,,2165.68 ,782.00 ,,,88.98 ,96.58 ,,,,,,,,,,,
2010-10-11,,,,,,,2259.05 ,782.00 ,,,89.15 ,97.28 ,,,,,,,,,,,
2010-10-12,,,,,,,2279.14 ,782.00 ,,,88.90 ,97.27 ,,,,,,,,,,,
2010-10-13,,,,,,,2269.77 ,782.00 ,,,89.63 ,98.25 ,,,,,,,,,,,
2010-10-14,,,,,,,2244.87 ,780.00 ,,,90.33 ,99.33 ,,,,,,,,,,,
2010-10-15,,,,,,,2287.93 ,780.00 ,,,89.63 ,98.35 ,,,,,,,,,,,
2010-10-18,,,,,,,2304.90 ,780.00 ,,,89.75 ,98.25 ,,,,,,,,,,,
2010-10-19,,,,,,,2323.56 ,780.00 ,,,90.45 ,100.45 ,,,,,,,,,,,
2010-10-20,,,,,,,2279.04 ,780.00 ,,,90.20 ,98.75 ,,,,,,,,,,,
2010-10-21,,,,,,,2281.11 ,780.00 ,,,90.35 ,99.10 ,,,,,,,,,,,
2010-10-22,,,,,,,2279.62 ,780.00 ,,,90.70 ,98.75 ,,,,,,,,,,,
2010-10-25,,,,,,,2313.63 ,780.00 ,,,90.50 ,99.00 ,,,,,,,,,,,
2010-10-26,,,,,,,2306.11 ,780.00 ,,,90.40 ,98.90 ,,,,,,,,,,,
2010-10-27,,,,,,,2283.07 ,778.00 ,,,90.85 ,99.25 ,,,,,,,,,,,
2010-10-28,,,,,,,2280.67 ,778.00 ,,,90.40 ,98.90 ,,,,,,,,,,,
2010-10-29,,,,,,,2281.13 ,780.00 ,,,90.50 ,98.90 ,,,,,,,,,,,
2010-10-31,2562.60 ,630.30 ,33.00 ,30065.64 ,3196.30 ,13.00 ,,,,,,,1938934.00 ,,310.50 ,41.79 ,35.77 ,19.30 ,,,,51.69 ,43.06 
2010-11-01,,,,,,,2317.16 ,780.00 ,,,101.15 ,105.80 ,,,,,,,,,,,
2010-11-02,,,,,,,2333.29 ,780.00 ,,,101.60 ,106.20 ,,,,,,,,,,,
2010-11-03,,,,,,,2309.42 ,780.00 ,,,101.15 ,105.40 ,,,,,,,,,,,
2010-11-04,,,,,,,2336.88 ,778.00 ,,,100.80 ,104.95 ,,,,,,,,,,,
2010-11-05,,,,,,,2363.22 ,778.00 ,,,100.90 ,104.80 ,,,,,,,,,,,
2010-11-08,,,,,,,2404.36 ,778.00 ,,,100.15 ,104.00 ,,,,,,,,,,,
2010-11-09,,,,,,,2394.28 ,778.00 ,,,100.40 ,103.50 ,,,,,,,,,,,
2010-11-10,,,,,,,2375.36 ,778.00 ,,,101.65 ,104.40 ,,,,,,,,,,,
2010-11-11,,,,,,,2393.14 ,778.00 ,,,103.00 ,105.45 ,,,,,,,,,,,
2010-11-12,,,,,,,2270.96 ,776.00 ,,,103.95 ,105.55 ,,,,,,,,,,,
2010-11-15,,,,,,,2301.19 ,776.00 ,,,105.55 ,106.65 ,,,,,,,,,,,
2010-11-16,,,,,,,2218.26 ,776.00 ,,,105.25 ,105.95 ,,,,,,,,,,,
2010-11-17,,,,,,,2183.26 ,776.00 ,,,104.20 ,105.45 ,,,,,,,,,,,
