"corp_name","report_period","营业总收入"
"哈尔滨电气集团佳木斯电机股份有限公司",2010-03-31,21865574.8
"哈尔滨电气集团佳木斯电机股份有限公司",2010-06-30,50244158.16
"哈尔滨电气集团佳木斯电机股份有限公司",2010-09-30,97416583.97
"哈尔滨电气集团佳木斯电机股份有限公司",2010-12-31,150750206.87
"哈尔滨电气集团佳木斯电机股份有限公司",2011-03-31,12996503.42
"哈尔滨电气集团佳木斯电机股份有限公司",2011-06-30,39147403.88
"哈尔滨电气集团佳木斯电机股份有限公司",2011-09-30,80409914.24
"哈尔滨电气集团佳木斯电机股份有限公司",2011-12-31,121342927.81
"哈尔滨电气集团佳木斯电机股份有限公司",2012-03-31,22553632.38
"哈尔滨电气集团佳木斯电机股份有限公司",2012-06-30,1367530726.66
"哈尔滨电气集团佳木斯电机股份有限公司",2012-09-30,2138105092.36
"哈尔滨电气集团佳木斯电机股份有限公司",2012-12-31,2950473924.51
"哈尔滨电气集团佳木斯电机股份有限公司",2013-03-31,481311341.35
"哈尔滨电气集团佳木斯电机股份有限公司",2013-06-30,1205766075.65
"哈尔滨电气集团佳木斯电机股份有限公司",2013-09-30,1871272316.32
"哈尔滨电气集团佳木斯电机股份有限公司",2013-12-31,2673892436.46
"哈尔滨电气集团佳木斯电机股份有限公司",2014-03-31,546528182.69
"哈尔滨电气集团佳木斯电机股份有限公司",2014-06-30,1219147355.65
"哈尔滨电气集团佳木斯电机股份有限公司",2014-09-30,1796700714.63
"哈尔滨电气集团佳木斯电机股份有限公司",2014-12-31,2052091269.56
"哈尔滨电气集团佳木斯电机股份有限公司",2015-03-31,291003274.19
"哈尔滨电气集团佳木斯电机股份有限公司",2015-06-30,754672229.92
"哈尔滨电气集团佳木斯电机股份有限公司",2015-09-30,1122807943.57
"哈尔滨电气集团佳木斯电机股份有限公司",2015-12-31,1505026292.12
"哈尔滨电气集团佳木斯电机股份有限公司",2016-03-31,264455631.32
"哈尔滨电气集团佳木斯电机股份有限公司",2016-06-30,556644336.54
"哈尔滨电气集团佳木斯电机股份有限公司",2016-09-30,885106720.56
"哈尔滨电气集团佳木斯电机股份有限公司",2016-12-31,1266494823.13
"哈尔滨电气集团佳木斯电机股份有限公司",2017-03-31,221955309.92
"上海鸣志电器股份有限公司",2012-12-31,899454772.94
"上海鸣志电器股份有限公司",2013-12-31,933348082.08
"上海鸣志电器股份有限公司",2014-12-31,1122194667.43
"上海鸣志电器股份有限公司",2015-12-31,1173058360.02
"上海鸣志电器股份有限公司",2016-12-31,1474549965.87
"上海鸣志电器股份有限公司",2017-03-31,376404699.57
"中电电机股份有限公司",2011-12-31,391132148.29
"中电电机股份有限公司",2012-12-31,360168759.4
"中电电机股份有限公司",2013-12-31,380224803.93
"中电电机股份有限公司",2014-06-30,176384766.42
"中电电机股份有限公司",2014-09-30,254412181.64
"中电电机股份有限公司",2014-12-31,330501733.49
"中电电机股份有限公司",2015-03-31,71538786.84
"中电电机股份有限公司",2015-06-30,124183383.4
"中电电机股份有限公司",2015-09-30,191588916.27
"中电电机股份有限公司",2015-12-31,276366551.91
"中电电机股份有限公司",2016-03-31,59236335.78
"中电电机股份有限公司",2016-06-30,111639100.73
"中电电机股份有限公司",2016-09-30,173397418.93
"中电电机股份有限公司",2016-12-31,233808694.33
"中电电机股份有限公司",2017-03-31,72080987.81
"常州神力电机股份有限公司",2011-12-31,1022511233.9
"常州神力电机股份有限公司",2012-12-31,579592046.13
"常州神力电机股份有限公司",2013-12-31,566317929.27
"常州神力电机股份有限公司",2014-12-31,549616279.62
"常州神力电机股份有限公司",2015-12-31,573459802.76
"常州神力电机股份有限公司",2016-06-30,274757384.76
"常州神力电机股份有限公司",2016-09-30,407669852.62
"常州神力电机股份有限公司",2016-12-31,555230431.98
"常州神力电机股份有限公司",2017-03-31,145434789.96
"江苏通达动力科技股份有限公司",2010-09-30,611165885.77
"江苏通达动力科技股份有限公司",2010-12-31,850143318.61
"江苏通达动力科技股份有限公司",2011-03-31,231294378.18
"江苏通达动力科技股份有限公司",2011-06-30,516431953.84
"江苏通达动力科技股份有限公司",2011-09-30,755376471.06
"江苏通达动力科技股份有限公司",2011-12-31,948173790.19
"江苏通达动力科技股份有限公司",2012-03-31,182213805.19
"江苏通达动力科技股份有限公司",2012-06-30,402517747.84
"江苏通达动力科技股份有限公司",2012-09-30,598262030.76
"江苏通达动力科技股份有限公司",2012-12-31,750821907.05
"江苏通达动力科技股份有限公司",2013-03-31,183430906.57
"江苏通达动力科技股份有限公司",2013-06-30,428790285.64
"江苏通达动力科技股份有限公司",2013-09-30,676566745.95
"江苏通达动力科技股份有限公司",2013-12-31,918130795.99
"江苏通达动力科技股份有限公司",2014-03-31,242718845.39
"江苏通达动力科技股份有限公司",2014-06-30,557327618.56
"江苏通达动力科技股份有限公司",2014-09-30,830179942.32
"江苏通达动力科技股份有限公司",2014-12-31,1052358686.82
"江苏通达动力科技股份有限公司",2015-03-31,175098728.93
"江苏通达动力科技股份有限公司",2015-06-30,427591148.17
"江苏通达动力科技股份有限公司",2015-09-30,645703531.75
"江苏通达动力科技股份有限公司",2015-12-31,858213626.98
"江苏通达动力科技股份有限公司",2016-03-31,161434995.36
"江苏通达动力科技股份有限公司",2016-06-30,382216290.61
"江苏通达动力科技股份有限公司",2016-09-30,564747154.03
"江苏通达动力科技股份有限公司",2016-12-31,818892109.76
"江苏通达动力科技股份有限公司",2017-03-31,247655172.1
"卧龙电气集团股份有限公司",2010-03-31,655324895.88
"卧龙电气集团股份有限公司",2010-06-30,1465332905.43
"卧龙电气集团股份有限公司",2010-09-30,2179883288.02
"卧龙电气集团股份有限公司",2010-12-31,2903918779.09
"卧龙电气集团股份有限公司",2011-03-31,744336465.48
"卧龙电气集团股份有限公司",2011-06-30,1531871156.49
"卧龙电气集团股份有限公司",2011-09-30,2424462288.47
"卧龙电气集团股份有限公司",2011-12-31,3146223337.38
