指标名称,市场价:铝锭:A00:全国,市场价:锌锭:0#:全国,价格:MB自由市场:镁,价格:碳结圆钢:45#:Φ20mm:杭州,价格:碳结圆钢:45#:Φ20mm:上海,价格:低合金高强板:Q460C:20mm:上海,价格:热轧优质带钢:50#:2.4-3.0mm:上海,价格:冷轧无取向硅钢:宝钢B50A600:0.5*1200*C:上海,现货价(含税):取向硅钢:武钢30Q120:0.3*980*C:上海,价格:轴承钢:50mm(热):上海,期货结算价(活跃合约):阴极铜,现货收盘价(场内盘):LME铜,申万行业指数:磁性材料
2010-01-04,,,,4350.00 ,4330.00 ,,,7700.00 ,,,60370.00 ,7466.25 ,2737.15 
2010-01-05,,,,4350.00 ,4350.00 ,,,7800.00 ,,,60360.00 ,7450.25 ,2783.48 
2010-01-06,,,2725.00 ,4350.00 ,4350.00 ,,,7900.00 ,,,61400.00 ,7630.50 ,2811.64 
2010-01-07,,,,4350.00 ,4350.00 ,,,8000.00 ,,,61860.00 ,7506.50 ,2765.67 
2010-01-08,,,2725.00 ,4350.00 ,4350.00 ,,,8100.00 ,,5700.00 ,60500.00 ,7434.00 ,2748.99 
2010-01-11,,,,4400.00 ,4400.00 ,,,8100.00 ,,,61990.00 ,7539.00 ,2832.97 
2010-01-12,,,,4400.00 ,4400.00 ,,,8150.00 ,,,61480.00 ,7428.00 ,2914.31 
2010-01-13,,,2725.00 ,4400.00 ,4400.00 ,,,8150.00 ,,,59860.00 ,7460.00 ,2869.85 
2010-01-14,,,,4400.00 ,4400.00 ,,,8200.00 ,,,60880.00 ,7465.75 ,2984.10 
2010-01-15,,,2725.00 ,4400.00 ,4400.00 ,,,8200.00 ,,5700.00 ,60570.00 ,7402.75 ,2963.58 
2010-01-18,,,,4380.00 ,4380.00 ,,,8200.00 ,,,60560.00 ,7474.25 ,2982.45 
2010-01-19,,,,4360.00 ,4360.00 ,,,8200.00 ,,,61450.00 ,7519.00 ,3004.11 
2010-01-20,,,2775.00 ,4360.00 ,4360.00 ,,,8200.00 ,,,61500.00 ,7349.50 ,2861.44 
2010-01-21,,,,4350.00 ,4350.00 ,,,8200.00 ,,,60790.00 ,7250.75 ,2862.95 
2010-01-22,,,2775.00 ,4350.00 ,4350.00 ,,,,,5800.00 ,59370.00 ,7367.50 ,2708.60 
2010-01-25,,,,4330.00 ,4330.00 ,,,8200.00 ,,,59690.00 ,7441.25 ,2621.63 
2010-01-26,,,,4250.00 ,4300.00 ,,,8100.00 ,,,59770.00 ,7357.00 ,2568.43 
2010-01-27,,,2775.00 ,4250.00 ,4280.00 ,,,8100.00 ,,,59540.00 ,7206.00 ,2545.37 
2010-01-28,,,,4250.00 ,4250.00 ,,,8050.00 ,,,57600.00 ,6876.00 ,2603.81 
2010-01-29,,,2775.00 ,4250.00 ,4250.00 ,,,8000.00 ,,6200.00 ,56170.00 ,6723.25 ,2608.24 
2010-02-01,,,,4250.00 ,4250.00 ,,,8000.00 ,,,54140.00 ,6768.00 ,2537.18 
2010-02-02,,,,4230.00 ,4230.00 ,,,8100.00 ,,,54790.00 ,6793.75 ,2521.27 
2010-02-03,,,2775.00 ,4200.00 ,4230.00 ,,,8150.00 ,,,55340.00 ,6567.00 ,2566.25 
2010-02-04,,,,4200.00 ,4200.00 ,,,8150.00 ,,,53940.00 ,6367.50 ,2562.05 
2010-02-05,,,2775.00 ,4200.00 ,4200.00 ,,,8150.00 ,,6200.00 ,51880.00 ,6259.00 ,2489.72 
2010-02-08,,,,4200.00 ,4200.00 ,,,8150.00 ,,,52640.00 ,6427.00 ,2474.28 
2010-02-09,,,,4200.00 ,4200.00 ,,,8150.00 ,,,52840.00 ,6567.00 ,2525.14 
2010-02-10,,,2775.00 ,4200.00 ,4200.00 ,,,8150.00 ,,,54140.00 ,6512.50 ,2549.77 
2010-02-11,,,,4200.00 ,4200.00 ,,,8150.00 ,,6200.00 ,55360.00 ,6921.50 ,2567.55 
2010-02-12,,,2775.00 ,,,,,,,,56280.00 ,,2597.68 
2010-02-17,,,2775.00 ,,,,,,,,,,
2010-02-19,,,2775.00 ,,,,,,,,,7405.75 ,
2010-02-21,,,,4250.00 ,4200.00 ,,,,,,,,
2010-02-22,,,,4300.00 ,4200.00 ,,,8600.00 ,,,59280.00 ,7301.50 ,2580.48 
2010-02-23,,,,4300.00 ,4280.00 ,,,8300.00 ,,,58680.00 ,7102.00 ,2618.00 
2010-02-24,,,2775.00 ,4300.00 ,4280.00 ,,,8300.00 ,,,58130.00 ,7122.50 ,2682.36 
2010-02-25,,,,4300.00 ,4280.00 ,,,8300.00 ,,,58360.00 ,6969.25 ,2714.89 
2010-02-26,,,2775.00 ,4300.00 ,4280.00 ,,,8300.00 ,,6200.00 ,58240.00 ,7166.50 ,2719.26 
2010-03-01,,,,4420.00 ,4400.00 ,,,8300.00 ,,,60570.00 ,7369.00 ,2759.00 
2010-03-02,,,,4420.00 ,4400.00 ,,,8300.00 ,,,59730.00 ,7460.00 ,2871.98 
2010-03-03,,,2775.00 ,4420.00 ,4400.00 ,,,8300.00 ,,,59720.00 ,7548.75 ,2934.79 
2010-03-04,,,,4400.00 ,4400.00 ,,,8300.00 ,,,59870.00 ,7366.00 ,2798.13 
2010-03-05,,,2775.00 ,4400.00 ,4400.00 ,,,8300.00 ,,6800.00 ,59550.00 ,7514.00 ,2798.50 
2010-03-08,,,,4400.00 ,4400.00 ,,,8300.00 ,,,60470.00 ,7436.75 ,2830.93 
2010-03-09,,,,4400.00 ,4400.00 ,,,8300.00 ,,,60270.00 ,7475.25 ,2831.47 
2010-03-10,,,2825.00 ,4450.00 ,4450.00 ,,,8300.00 ,,,60550.00 ,7406.25 ,2812.00 
2010-03-11,,,,4480.00 ,4480.00 ,,,8300.00 ,,,59720.00 ,7431.25 ,2825.81 
2010-03-12,,,2825.00 ,4480.00 ,4500.00 ,,,8350.00 ,,6800.00 ,59490.00 ,7412.00 ,2811.12 
2010-03-15,,,,4520.00 ,4520.00 ,,,8350.00 ,,,58600.00 ,7271.50 ,2815.47 
2010-03-16,,,,4520.00 ,4520.00 ,,,8350.00 ,,,58360.00 ,7370.75 ,2816.46 
2010-03-17,,,2825.00 ,4520.00 ,4520.00 ,,,8350.00 ,,,59660.00 ,7498.50 ,2915.13 
2010-03-18,,,,4580.00 ,4580.00 ,,,8400.00 ,,,59820.00 ,7450.50 ,2918.99 
2010-03-19,,,2825.00 ,4580.00 ,4580.00 ,,,8400.00 ,,7200.00 ,60090.00 ,7397.50 ,2944.17 
2010-03-22,,,,4680.00 ,4680.00 ,,,8450.00 ,,,59630.00 ,7411.25 ,2991.50 
2010-03-23,,,,4680.00 ,4680.00 ,,,8450.00 ,,,59850.00 ,7402.25 ,2968.52 
2010-03-24,,,2825.00 ,4680.00 ,4680.00 ,,,8504.00 ,,,59480.00 ,7333.75 ,2968.16 
2010-03-25,,,,4680.00 ,4680.00 ,,,8550.00 ,,,59160.00 ,7399.25 ,2920.37 
2010-03-26,,,2825.00 ,4680.00 ,4680.00 ,,,8550.00 ,,7200.00 ,59770.00 ,7479.25 ,3012.01 
2010-03-29,,,,4730.00 ,4730.00 ,,,8550.00 ,,,61780.00 ,7732.00 ,3024.30 
2010-03-30,,,,4750.00 ,4750.00 ,,,8650.00 ,,,62140.00 ,7814.50 ,3065.68 
2010-03-31,,,2825.00 ,4800.00 ,4750.00 ,,,8700.00 ,,,61970.00 ,7759.25 ,3076.29 
2010-04-01,,,,4850.00 ,4850.00 ,,,8700.00 ,,,62380.00 ,7855.00 ,3104.26 
2010-04-02,,,,4850.00 ,4850.00 ,,,8700.00 ,,7200.00 ,62710.00 ,,3081.48 
2010-04-06,,,,4850.00 ,4870.00 ,,,8800.00 ,,,63380.00 ,7960.25 ,3071.74 
2010-04-07,,,2825.00 ,4880.00 ,4870.00 ,,,8850.00 ,,,63140.00 ,7914.50 ,3122.26 
2010-04-08,,,,5000.00 ,4900.00 ,,,8900.00 ,,,62380.00 ,7861.25 ,3226.84 
2010-04-09,,,2825.00 ,5000.00 ,4980.00 ,,,8900.00 ,,7200.00 ,62790.00 ,7893.50 ,3299.94 
2010-04-12,,,,5050.00 ,5050.00 ,,,8950.00 ,,,63260.00 ,7872.50 ,3338.89 
2010-04-13,,,,5050.00 ,5080.00 ,,,8950.00 ,,,62470.00 ,7867.25 ,3348.11 
2010-04-14,,,2825.00 ,5050.00 ,5080.00 ,,,9150.00 ,,,62900.00 ,7917.00 ,3384.84 
2010-04-15,,,,5050.00 ,5030.00 ,,,9300.00 ,,,62790.00 ,7913.50 ,3332.47 
2010-04-16,,,2825.00 ,5050.00 ,5030.00 ,,,,,7200.00 ,62420.00 ,7728.00 ,3354.67 
2010-04-19,,,,5050.00 ,5000.00 ,,,9300.00 ,,,60560.00 ,7663.00 ,3245.35 
2010-04-20,,,,5000.00 ,5000.00 ,,,9300.00 ,,,60640.00 ,7756.00 ,3353.17 
2010-04-21,,,2825.00 ,5000.00 ,5000.00 ,,,9300.00 ,,,60650.00 ,7723.25 ,3483.66 
2010-04-22,,,,5000.00 ,5000.00 ,,,9300.00 ,,,60740.00 ,7655.25 ,3626.73 
2010-04-23,,,2825.00 ,4950.00 ,4950.00 ,,,9300.00 ,,7200.00 ,60790.00 ,7714.00 ,3535.15 
2010-04-26,,,,4950.00 ,4930.00 ,,,9300.00 ,,,61450.00 ,7772.50 ,3647.68 
2010-04-27,,,,4950.00 ,4900.00 ,,,9300.00 ,,,60690.00 ,7452.25 ,3525.02 
2010-04-28,,,2875.00 ,4900.00 ,4850.00 ,,,9250.00 ,,,58380.00 ,7362.00 ,3568.64 
2010-04-29,,,,4850.00 ,4850.00 ,,,9200.00 ,,,58920.00 ,7319.25 ,3314.65 
2010-04-30,,,2875.00 ,4750.00 ,4850.00 ,,,,,7200.00 ,58710.00 ,7396.50 ,3254.87 
2010-05-04,,,,4750.00 ,4750.00 ,,,9200.00 ,,,58120.00 ,6989.00 ,3309.05 
2010-05-05,,,2875.00 ,4750.00 ,4750.00 ,,,9200.00 ,,,56580.00 ,6921.75 ,3431.18 
2010-05-06,,,,4750.00 ,4750.00 ,,,9200.00 ,,,56840.00 ,6911.75 ,3424.01 
2010-05-07,,,2875.00 ,4750.00 ,4750.00 ,,,9200.00 ,,7200.00 ,55020.00 ,6911.25 ,3433.03 
2010-05-10,,,,4700.00 ,4700.00 ,,,9200.00 ,,,56130.00 ,7084.25 ,3315.33 
2010-05-11,,,,4700.00 ,4700.00 ,,,9200.00 ,,,56300.00 ,7013.50 ,3191.49 
2010-05-12,,,2887.50 ,4680.00 ,4700.00 ,,,9200.00 ,,,55990.00 ,6989.25 ,3101.55 
