指标名称,市场价:锌锭:0#:全国,市场价:稀土硅铁:FeSiRE32-A:宁夏,市场价:稀土硅铁:FeSiRE32-A:内蒙古,市场价:铝锭:A00:全国,市场价:电解铜:1#:全国,申万行业指数:稀土,申万行业指数:电机,申万行业指数:磁性材料,进口数量:钕铁硼合金磁粉(72029912):浙江:当月值,进口数量:电动机及发电机:当月值,进口金额:电动机及发电机:当月值,价格指数:五金材料:铜材,价格:废铜:废电机 Cu8%:天津,钢材价格指数:热轧卷板:2.75,钢材价格指数:冷轧薄板:1,钢材价格指数:镀锌板:0.5,钢材价格指数:板材,出口数量:洗衣机电机:当月值,出口数量:空调电机:当月值,出口数量:电动机及发电机:当月值,出口数量:冰箱压缩机:当月值,出口数量:变频旋转压缩机:当月值,出口平均单价:钕铁硼合金速凝永磁片(72029911):北京:当月值,出口平均单价:钕铁硼合金磁粉(72029912):日本:当月值,出口金额:电动机及发电机:当月值,产量:新能源汽车:累计值,产量:新能源汽车:当月值,产量:洗衣机电机:当月值,产量:空调电机:当月值,产量:节能与新能源汽车:当月值,产量:纯电动专用车:当月值,产量:纯电动客车:当月值,产量:纯电动乘用车:当月值,产量:插电式混合动力客车:当月值
2013-01-04,,20500.00 ,21000.00 ,,,9948.37 ,2600.06 ,3960.27 ,,,,,6750.00 ,,,,,,,,,,,,,,,,,,,,,
2013-01-05,,20500.00 ,21000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-06,,20500.00 ,21000.00 ,,,,,,,,,,,108.34 ,98.92 ,97.66 ,107.49 ,,,,,,,,,,,,,,,,,
2013-01-07,,20500.00 ,21000.00 ,,,9749.38 ,2662.32 ,3895.09 ,,,,,6750.00 ,,,,,,,,,,,,,,,,,,,,,
2013-01-08,,20500.00 ,21000.00 ,,,10047.39 ,2663.36 ,3980.82 ,,,,,6750.00 ,,,,,,,,,,,,,,,,,,,,,
2013-01-09,,20500.00 ,21000.00 ,,,9715.41 ,2714.06 ,3890.90 ,,,,,6650.00 ,,,,,,,,,,,,,,,,,,,,,
2013-01-10,,20500.00 ,21000.00 ,,,9699.32 ,2778.87 ,3939.66 ,,,,,6650.00 ,,,,,,,,,,,,,,,,,,,,,
2013-01-11,,20500.00 ,21000.00 ,,,9424.27 ,2791.84 ,3792.16 ,,,,94.80 ,6750.00 ,109.80 ,99.64 ,97.87 ,108.60 ,,,,,,,,,,,,,,,,,
2013-01-14,,20500.00 ,21000.00 ,,,9648.81 ,2922.11 ,3966.05 ,,,,,6750.00 ,,,,,,,,,,,,,,,,,,,,,
2013-01-15,,20500.00 ,21000.00 ,,,9810.61 ,2950.40 ,4143.25 ,,,,,6750.00 ,,,,,,,,,,,,,,,,,,,,,
2013-01-16,,20500.00 ,21000.00 ,,,9840.30 ,2926.39 ,4105.16 ,,,,,6650.00 ,,,,,,,,,,,,,,,,,,,,,
2013-01-17,,20500.00 ,21000.00 ,,,9520.54 ,2874.32 ,3992.41 ,,,,,6650.00 ,,,,,,,,,,,,,,,,,,,,,
2013-01-18,,20500.00 ,21000.00 ,,,9574.97 ,2910.69 ,4030.24 ,,,,95.56 ,6650.00 ,109.85 ,100.55 ,97.87 ,108.70 ,,,,,,,,,,,,,,,,,
2013-01-21,,20500.00 ,21000.00 ,,,9485.78 ,2955.75 ,3998.45 ,,,,,6650.00 ,,,,,,,,,,,,,,,,,,,,,
2013-01-22,,20500.00 ,21000.00 ,,,9306.65 ,2921.44 ,3936.83 ,,,,,6650.00 ,,,,,,,,,,,,,,,,,,,,,
2013-01-23,,20500.00 ,21000.00 ,,,9511.61 ,2896.05 ,3977.02 ,,,,,6650.00 ,,,,,,,,,,,,,,,,,,,,,
2013-01-24,,20500.00 ,21000.00 ,,,9285.01 ,2822.02 ,3915.84 ,,,,,6650.00 ,,,,,,,,,,,,,,,,,,,,,
2013-01-25,,20500.00 ,21000.00 ,,,9203.91 ,2805.90 ,3886.27 ,,,,95.54 ,6650.00 ,109.25 ,100.79 ,98.37 ,108.41 ,,,,,,,,,,,,,,,,,
2013-01-28,,20500.00 ,21000.00 ,,,9449.65 ,2853.36 ,4058.42 ,,,,,6650.00 ,,,,,,,,,,,,,,,,,,,,,
2013-01-29,,20500.00 ,21000.00 ,,,9589.62 ,2902.04 ,4098.15 ,,,,,6650.00 ,,,,,,,,,,,,,,,,,,,,,
2013-01-30,,20500.00 ,21000.00 ,,,9354.04 ,2872.68 ,4028.14 ,,,,,6650.00 ,,,,,,,,,,,,,,,,,,,,,
2013-01-31,,20500.00 ,21000.00 ,,,9360.97 ,2862.97 ,4082.64 ,4100.00 ,17336.00 ,37894.20 ,,6750.00 ,,,,,300.20 ,519.00 ,25341.00 ,261.70 ,20.70 ,55.11 ,35.10 ,78983.30 ,,,977.50 ,2229.00 ,2765.00 ,360.00 ,85.00 ,1070.00 ,
2013-02-01,,20500.00 ,21000.00 ,,,9083.49 ,2861.54 ,4039.80 ,,,,95.48 ,6750.00 ,109.80 ,101.57 ,98.63 ,108.98 ,,,,,,,,,,,,,,,,,
2013-02-04,,20500.00 ,21000.00 ,,,8958.63 ,2879.50 ,4019.24 ,,,,,6650.00 ,,,,,,,,,,,,,,,,,,,,,
2013-02-05,,20500.00 ,21000.00 ,,,8946.41 ,2881.54 ,4047.18 ,,,,,6650.00 ,,,,,,,,,,,,,,,,,,,,,
2013-02-06,,20500.00 ,21000.00 ,,,9115.19 ,2876.67 ,4137.98 ,,,,,6650.00 ,,,,,,,,,,,,,,,,,,,,,
2013-02-07,,20500.00 ,21000.00 ,,,8993.68 ,2847.44 ,4164.51 ,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-08,,20500.00 ,21000.00 ,,,9077.55 ,2889.86 ,4327.32 ,,,,,,111.78 ,102.66 ,99.46 ,110.76 ,,,,,,,,,,,,,,,,,
2013-02-16,,20500.00 ,21000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-17,,20500.00 ,21000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-18,,20500.00 ,21000.00 ,,,8998.03 ,2963.49 ,4274.29 ,,,,,6750.00 ,,,,,,,,,,,,,,,,,,,,,
2013-02-19,,20500.00 ,21000.00 ,,,8775.50 ,2922.67 ,4143.14 ,,,,,6750.00 ,,,,,,,,,,,,,,,,,,,,,
2013-02-20,,20500.00 ,21000.00 ,,,8750.34 ,2980.09 ,4185.53 ,,,,,6650.00 ,,,,,,,,,,,,,,,,,,,,,
2013-02-21,,20500.00 ,21000.00 ,,,8501.21 ,2963.13 ,3996.59 ,,,,,6650.00 ,,,,,,,,,,,,,,,,,,,,,
2013-02-22,,20500.00 ,21000.00 ,,,8915.12 ,2940.63 ,4045.34 ,,,,96.23 ,6550.00 ,112.79 ,103.87 ,100.25 ,111.85 ,,,,,,,,,,,,,,,,,
2013-02-25,,20500.00 ,21000.00 ,,,8898.61 ,2952.33 ,4024.74 ,,,,,6550.00 ,,,,,,,,,,,,,,,,,,,,,
2013-02-26,,20500.00 ,21000.00 ,,,8832.75 ,2887.80 ,3951.44 ,,,,,6550.00 ,,,,,,,,,,,,,,,,,,,,,
2013-02-27,,20500.00 ,21000.00 ,,,8888.65 ,2875.80 ,3960.21 ,,,,,6550.00 ,,,,,,,,,,,,,,,,,,,,,
2013-02-28,,20500.00 ,21000.00 ,,,9132.68 ,2941.36 ,4065.89 ,4208.00 ,12089.00 ,30726.80 ,,6650.00 ,,,,,260.00 ,418.80 ,18011.00 ,225.90 ,26.30 ,49.79 ,33.92 ,60595.00 ,,,694.80 ,1661.80 ,1840.00 ,87.00 ,32.00 ,469.00 ,
2013-03-01,,20500.00 ,21000.00 ,,,9150.42 ,2968.09 ,4038.15 ,,,,95.35 ,6550.00 ,110.73 ,103.93 ,99.92 ,110.62 ,,,,,,,,,,,,,,,,,
2013-03-04,,20500.00 ,21000.00 ,,,8927.25 ,2860.92 ,3868.32 ,,,,,6550.00 ,,,,,,,,,,,,,,,,,,,,,
2013-03-05,,20500.00 ,21000.00 ,,,9047.11 ,2910.21 ,3937.50 ,,,,,6550.00 ,,,,,,,,,,,,,,,,,,,,,
2013-03-06,,20500.00 ,21000.00 ,,,8982.19 ,3056.13 ,4030.65 ,,,,,6550.00 ,,,,,,,,,,,,,,,,,,,,,
2013-03-07,,20000.00 ,20500.00 ,,,8941.98 ,2978.72 ,3983.86 ,,,,,6550.00 ,,,,,,,,,,,,,,,,,,,,,
2013-03-08,,20000.00 ,20500.00 ,,,8934.26 ,2960.75 ,4021.56 ,,,,96.01 ,6550.00 ,109.09 ,103.65 ,100.14 ,109.59 ,,,,,,,,,,,,,,,,,
2013-03-11,,20000.00 ,20500.00 ,,,8741.79 ,2955.72 ,3927.19 ,,,,,6550.00 ,,,,,,,,,,,,,,,,,,,,,
2013-03-12,,20000.00 ,20500.00 ,,,8663.95 ,2862.91 ,3881.25 ,,,,,6550.00 ,,,,,,,,,,,,,,,,,,,,,
2013-03-13,,20000.00 ,20500.00 ,,,8737.63 ,2860.18 ,3891.04 ,,,,,6550.00 ,,,,,,,,,,,,,,,,,,,,,
2013-03-14,,20000.00 ,20500.00 ,,,8656.78 ,2893.19 ,3843.94 ,,,,,6550.00 ,,,,,,,,,,,,,,,,,,,,,
2013-03-15,,20000.00 ,20500.00 ,,,8629.61 ,2881.39 ,3828.18 ,,,,96.01 ,6550.00 ,107.69 ,102.91 ,100.23 ,108.50 ,,,,,,,,,,,,,,,,,
2013-03-18,,20000.00 ,20500.00 ,,,8268.58 ,2840.71 ,3604.55 ,,,,,6450.00 ,,,,,,,,,,,,,,,,,,,,,
2013-03-19,,20000.00 ,20500.00 ,,,8231.30 ,2850.20 ,3608.08 ,,,,,6450.00 ,,,,,,,,,,,,,,,,,,,,,
2013-03-20,,20000.00 ,20500.00 ,,,8524.79 ,2929.19 ,3751.12 ,,,,,6450.00 ,,,,,,,,,,,,,,,,,,,,,
2013-03-21,,20000.00 ,20500.00 ,,,8456.68 ,2966.88 ,3752.35 ,,,,,6550.00 ,,,,,,,,,,,,,,,,,,,,,
2013-03-22,,20000.00 ,20500.00 ,,,8477.84 ,2975.63 ,3722.06 ,,,,95.46 ,6550.00 ,105.89 ,102.93 ,100.17 ,107.64 ,,,,,,,,,,,,,,,,,
2013-03-25,,20000.00 ,20500.00 ,,,9007.26 ,2969.95 ,3824.66 ,,,,,6550.00 ,,,,,,,,,,,,,,,,,,,,,
2013-03-26,,20000.00 ,20500.00 ,,,8781.51 ,2960.65 ,3718.51 ,,,,,6550.00 ,,,,,,,,,,,,,,,,,,,,,
2013-03-27,,20000.00 ,20500.00 ,,,8817.35 ,3012.60 ,3728.61 ,,,,,6450.00 ,,,,,,,,,,,,,,,,,,,,,
2013-03-28,,20000.00 ,20500.00 ,,,8483.40 ,2945.76 ,3556.48 ,,,,,6450.00 ,,,,,,,,,,,,,,,,,,,,,
2013-03-29,,20000.00 ,20500.00 ,,,8368.46 ,2941.68 ,3520.70 ,,,,94.90 ,6450.00 ,105.37 ,101.91 ,100.23 ,107.18 ,,,,,,,,,,,,,,,,,
2013-03-31,,,,,,,,,4700.00 ,14344.00 ,36795.30 ,,,,,,,295.60 ,639.00 ,24896.00 ,350.10 ,30.70 ,85.22 ,32.15 ,77223.90 ,2991.00 ,,910.50 ,2922.00 ,2628.00 ,218.00 ,150.00 ,503.00 ,
2013-04-01,,20000.00 ,20500.00 ,,,8204.69 ,2949.12 ,3527.94 ,,,,,6350.00 ,,,,,,,,,,,,,,,,,,,,,
2013-04-02,,20000.00 ,20500.00 ,,,8199.76 ,2889.82 ,3507.55 ,,,,,6350.00 ,,,,,,,,,,,,,,,,,,,,,
2013-04-03,,20000.00 ,20500.00 ,,,8242.80 ,2845.40 ,3471.26 ,,,,,6350.00 ,,,,,,,,,,,,,,,,,,,,,
2013-04-05,,,,,,,,,,,,,,104.06 ,101.74 ,100.08 ,106.63 ,,,,,,,,,,,,,,,,,
2013-04-07,,20000.00 ,20500.00 ,,,,,,,,,,6350.00 ,,,,,,,,,,,,,,,,,,,,,
2013-04-08,,20000.00 ,20500.00 ,,,8022.05 ,2846.96 ,3433.50 ,,,,,6350.00 ,,,,,,,,,,,,,,,,,,,,,
2013-04-09,,20000.00 ,20500.00 ,,,8267.79 ,2879.59 ,3581.43 ,,,,,6350.00 ,,,,,,,,,,,,,,,,,,,,,
2013-04-10,,19500.00 ,20000.00 ,,,8248.04 ,2895.46 ,3555.01 ,,,,,6450.00 ,,,,,,,,,,,,,,,,,,,,,
2013-04-11,,19500.00 ,20000.00 ,,,8116.54 ,2875.69 ,3505.58 ,,,,,6450.00 ,,,,,,,,,,,,,,,,,,,,,
2013-04-12,,19500.00 ,20000.00 ,,,7972.06 ,2853.95 ,3490.66 ,,,,95.81 ,6450.00 ,104.06 ,101.74 ,100.08 ,106.63 ,,,,,,,,,,,,,,,,,
2013-04-15,,19000.00 ,19500.00 ,,,7840.87 ,2822.23 ,3393.16 ,,,,,6350.00 ,,,,,,,,,,,,,,,,,,,,,
2013-04-16,,19000.00 ,19500.00 ,,,7795.75 ,2845.86 ,3426.14 ,,,,,6250.00 ,,,,,,,,,,,,,,,,,,,,,
2013-04-17,,19000.00 ,19500.00 ,,,7775.01 ,2870.78 ,3418.83 ,,,,,6250.00 ,,,,,,,,,,,,,,,,,,,,,
2013-04-18,,19000.00 ,19500.00 ,,,7754.03 ,2886.86 ,3436.45 ,,,,,6050.00 ,,,,,,,,,,,,,,,,,,,,,
2013-04-19,,19000.00 ,19500.00 ,,,7992.37 ,2949.81 ,3581.48 ,,,,95.29 ,6050.00 ,103.18 ,100.93 ,99.98 ,105.91 ,,,,,,,,,,,,,,,,,
2013-04-22,,19000.00 ,19500.00 ,,,7924.30 ,2948.96 ,3627.79 ,,,,,6050.00 ,,,,,,,,,,,,,,,,,,,,,
2013-04-23,,19000.00 ,19500.00 ,,,7755.60 ,2880.08 ,3447.80 ,,,,,6050.00 ,,,,,,,,,,,,,,,,,,,,,
2013-04-24,,19000.00 ,19500.00 ,,,7917.81 ,2926.59 ,3547.33 ,,,,,6050.00 ,,,,,,,,,,,,,,,,,,,,,
2013-04-25,,19000.00 ,19500.00 ,,,7811.21 ,2841.10 ,3475.53 ,,,,,6150.00 ,,,,,,,,,,,,,,,,,,,,,
2013-04-26,,19000.00 ,19500.00 ,,,7731.45 ,2758.09 ,3534.90 ,,,,91.89 ,6150.00 ,102.79 ,100.79 ,99.90 ,105.58 ,,,,,,,,,,,,,,,,,
2013-04-27,,19000.00 ,19500.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-28,,19000.00 ,19500.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-30,,,,,,,,,5052.00 ,15676.00 ,34795.50 ,,,,,,,277.80 ,658.00 ,26359.00 ,314.90 ,39.80 ,43.32 ,33.20 ,83972.00 ,,,878.70 ,2980.00 ,2263.00 ,191.00 ,81.00 ,558.00 ,
2013-05-02,,19000.00 ,19500.00 ,,,7356.10 ,2795.14 ,3538.37 ,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-03,,19000.00 ,19500.00 ,,,7387.51 ,2911.74 ,3611.15 ,,,,,6250.00 ,100.96 ,100.25 ,99.36 ,104.29 ,,,,,,,,,,,,,,,,,
2013-05-06,,19000.00 ,19500.00 ,,,7767.87 ,3016.13 ,3856.01 ,,,,,6250.00 ,,,,,,,,,,,,,,,,,,,,,
2013-05-07,,19000.00 ,19500.00 ,,,8073.65 ,3053.70 ,3935.63 ,,,,,6250.00 ,,,,,,,,,,,,,,,,,,,,,
2013-05-08,,19000.00 ,19500.00 ,,,8007.81 ,3097.45 ,3982.46 ,,,,,6250.00 ,,,,,,,,,,,,,,,,,,,,,
2013-05-09,,19000.00 ,19500.00 ,,,7951.00 ,3130.71 ,3984.80 ,,,,,6250.00 ,,,,,,,,,,,,,,,,,,,,,
2013-05-10,,19000.00 ,19500.00 ,,,7891.77 ,3111.75 ,3920.32 ,,,,90.02 ,6250.00 ,100.34 ,99.98 ,99.23 ,103.88 ,,,,,,,,,,,,,,,,,
2013-05-13,,19000.00 ,19500.00 ,,,7996.23 ,3096.52 ,3978.59 ,,,,,6250.00 ,,,,,,,,,,,,,,,,,,,,,
2013-05-14,,19000.00 ,19500.00 ,,,7793.75 ,3084.96 ,3991.12 ,,,,,6250.00 ,,,,,,,,,,,,,,,,,,,,,
2013-05-15,,19000.00 ,19500.00 ,,,7788.87 ,3125.03 ,4091.39 ,,,,,6150.00 ,,,,,,,,,,,,,,,,,,,,,
2013-05-16,,19000.00 ,19500.00 ,,,7841.74 ,3091.53 ,4102.46 ,,,,,6150.00 ,,,,,,,,,,,,,,,,,,,,,
2013-05-17,,19000.00 ,19500.00 ,,,7982.28 ,3138.11 ,4129.47 ,,,,92.43 ,6150.00 ,99.71 ,99.47 ,98.43 ,103.20 ,,,,,,,,,,,,,,,,,
2013-05-20,,19000.00 ,19500.00 ,,,8103.66 ,3233.85 ,4338.28 ,,,,,6150.00 ,,,,,,,,,,,,,,,,,,,,,
2013-05-21,,19000.00 ,19500.00 ,,,8015.86 ,3248.86 ,4395.50 ,,,,,6250.00 ,,,,,,,,,,,,,,,,,,,,,
2013-05-22,,19000.00 ,19500.00 ,,,8086.65 ,3167.11 ,4315.74 ,,,,,6250.00 ,,,,,,,,,,,,,,,,,,,,,
2013-05-23,,19000.00 ,19500.00 ,,,7852.57 ,3164.82 ,4286.92 ,,,,,6150.00 ,,,,,,,,,,,,,,,,,,,,,
2013-05-24,,19000.00 ,19500.00 ,,,7929.08 ,3226.11 ,4492.91 ,,,,94.91 ,6150.00 ,98.28 ,98.94 ,97.85 ,102.16 ,,,,,,,,,,,,,,,,,
2013-05-27,,19000.00 ,19500.00 ,,,7788.70 ,3281.29 ,4513.03 ,,,,,6150.00 ,,,,,,,,,,,,,,,,,,,,,
2013-05-28,,19000.00 ,19500.00 ,,,7900.05 ,3236.75 ,4475.74 ,,,,,6150.00 ,,,,,,,,,,,,,,,,,,,,,
2013-05-29,,19000.00 ,19500.00 ,,,7881.50 ,3266.85 ,4523.10 ,,,,,6250.00 ,,,,,,,,,,,,,,,,,,,,,
2013-05-30,,19000.00 ,19500.00 ,,,7731.27 ,3283.78 ,4437.34 ,,,,,6150.00 ,,,,,,,,,,,,,,,,,,,,,
2013-05-31,,19000.00 ,19500.00 ,,,7643.90 ,3262.66 ,4339.71 ,6000.00 ,16691.00 ,37798.20 ,90.62 ,6250.00 ,96.77 ,97.85 ,96.85 ,100.74 ,300.80 ,656.00 ,27146.00 ,306.30 ,58.00 ,74.81 ,31.95 ,88437.40 ,,,754.80 ,2703.00 ,4741.00 ,112.00 ,405.00 ,669.00 ,
2013-06-03,,19000.00 ,19500.00 ,,,7612.16 ,3231.13 ,4212.73 ,,,,,6150.00 ,,,,,,,,,,,,,,,,,,,,,
2013-06-04,,19000.00 ,19500.00 ,,,7471.99 ,3219.42 ,4185.15 ,,,,,6150.00 ,,,,,,,,,,,,,,,,,,,,,
2013-06-05,,19000.00 ,19500.00 ,,,7583.37 ,3247.85 ,4203.79 ,,,,,6150.00 ,,,,,,,,,,,,,,,,,,,,,
2013-06-06,,19000.00 ,19500.00 ,,,7513.09 ,3191.50 ,4113.12 ,,,,,6150.00 ,,,,,,,,,,,,,,,,,,,,,
2013-06-07,,19000.00 ,19500.00 ,,,7374.08 ,3190.14 ,3926.45 ,,,,92.22 ,6150.00 ,95.08 ,97.24 ,95.98 ,99.39 ,,,,,,,,,,,,,,,,,
2013-06-08,,19000.00 ,19500.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-09,,19000.00 ,19500.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-13,,19000.00 ,19500.00 ,,,6919.07 ,3067.39 ,3825.50 ,,,,,6150.00 ,,,,,,,,,,,,,,,,,,,,,
2013-06-14,,19000.00 ,19500.00 ,,,6944.83 ,3191.19 ,3885.34 ,,,,,6150.00 ,,,,,,,,,,,,,,,,,,,,,
2013-06-15,,,,,,,,,,,,,,94.50 ,95.90 ,95.10 ,98.49 ,,,,,,,,,,,,,,,,,
2013-06-17,,19000.00 ,19500.00 ,,,6781.22 ,3160.02 ,3898.79 ,,,,,6150.00 ,,,,,,,,,,,,,,,,,,,,,
2013-06-18,,19000.00 ,19500.00 ,,,6818.21 ,3278.54 ,3902.05 ,,,,,6150.00 ,,,,,,,,,,,,,,,,,,,,,
2013-06-19,,19000.00 ,19500.00 ,,,7102.77 ,3304.91 ,4005.45 ,,,,,6150.00 ,,,,,,,,,,,,,,,,,,,,,
