"","time","actual","pred"
"1",2014 Q1,42381456.0482813,51924042.6526624
"2",2014 Q2,41385741.0232813,37580123.2735033
"3",2014 Q3,33640546.3667187,31047240.6277423
"4",2014 Q4,17884716.8729688,17587825.865084
"5",2015 Q1,28327556.3263542,18673281.255252
"6",2015 Q2,58075362.6801042,56420478.248507
"7",2015 Q3,19021498.8282292,33164372.0697093
"8",2015 Q4,-10525634.9890625,-5994951.04589341
"9",2016 Q1,20859834.2539062,11534568.997173
"10",2016 Q2,-17865137.2873438,-20971292.933767
"11",2016 Q3,-32480384.8785938,-22740394.6209291
"12",2016 Q4,33616466.7361667,31398018.0401725
"13",2017 Q1,24428788.4246667,19127497.9764606
