"","time","actual","pred"
"1",2014 Q1,892246745.035781,873391563.333799
"2",2014 Q2,1118804290.35516,1153290620.95643
"3",2014 Q3,1000702872.28516,936195240.81768
"4",2014 Q4,1112183574.42266,1100886943.35292
"5",2015 Q1,872215717.708906,890155274.818405
"6",2015 Q2,1194657464.15766,1130740388.80191
"7",2015 Q3,910329929.685469,932231780.270628
"8",2015 Q4,1157893440.73422,1192447205.61502
"9",2016 Q1,1023180731.36219,991255817.07538
"10",2016 Q2,1094828786.28531,1124259531.03978
"11",2016 Q3,842910427.165937,885516208.048254
"12",2016 Q4,632465210.199667,609208076.388603
"13",2017 Q1,551955524.352667,584796063.231957
