"","time","actual","pred"
"1",2014 Q1,-102300570.161,-141779462.936397
"2",2014 Q2,121156690.895,57442712.8254865
"3",2014 Q3,-10069108.5983333,55172327.2100007
"4",2014 Q4,170080698.233667,153273457.616479
"5",2015 Q1,-169101423.746563,-131523820.18578
"6",2015 Q2,-9874112.90968749,81531548.1234481
"7",2015 Q3,85156608.44875,117748674.030815
"8",2015 Q4,386891255.681875,346984315.21216
"9",2016 Q1,-82458735.0628125,-120779630.312384
"10",2016 Q2,180208743.344063,152517060.38044
"11",2016 Q3,213681842.518438,115848341.128038
"12",2016 Q4,315905394.174062,372619575.260965
"13",2017 Q1,-181074561.915625,-140852377.451439
