"","time","actual","pred"
"1",2014 Q1,892246745.035781,949200059.371859
"2",2014 Q2,1118804290.35516,1191542893.53759
"3",2014 Q3,1000702872.28516,1042510872.47549
"4",2014 Q4,1112183574.42266,1097685230.01733
"5",2015 Q1,872215717.708906,821383729.225871
"6",2015 Q2,1194657464.15766,1093843944.39061
"7",2015 Q3,910329929.685469,956604138.979478
"8",2015 Q4,1157893440.73422,1093432522.00115
"9",2016 Q1,1023180731.36219,988840407.721781
"10",2016 Q2,1094828786.28531,1105308424.22749
"11",2016 Q3,842910427.165937,871811368.915542
"12",2016 Q4,632465210.199667,576317508.493104
"13",2017 Q1,551955524.352667,615893614.393467
