指标名称,产量:空调:当月值,产量:家用电冰箱:当月值,产量:家用洗衣机:当月值,出口数量:洗碗机:当月值,出口数量:吸油烟机:当月值,产量:铜材:当月值,产量:氧化铝:当月值,产量:铝材:当月值,进口数量:未锻造的铜及铜材:当月值,价格:冷轧板卷:0.5mm:广州,含税价:镀锌薄板:0.5mm:北京,含税价:镀锌薄板:1mm:北京,期货结算价(活跃合约):焦煤,市场价:无烟煤(2号洗中块):全国,市场价:普通混煤(Q4500):全国,市场价:山西大混(Q5000):全国,进口数量:未锻造的铝及铝材:当月值,市场价:山西优混(Q5500):全国,市场价:大同混煤(Q5800):全国,煤炭运价(云洲船务报):印尼南加TABONEO锚地→连云港:5万-6万吨带吊杆和抓斗船舶,煤炭运价(云洲船务报):澳大利亚NEWCASTLE泊位→宁德:6万-7万吨不带吊杆和抓斗船舶,进口数量:废铜:当月值,平均价(不含税):铜精矿:20%:江西,居民消费水平:全体居民:农村居民,申万行业指数:白色家电,出口金额:中央空调:当月值,城市人均住宅建筑面积,库存:洗衣机:当月值,库存:冰箱:当月值,库存:家用空调:当月值,库存:滚筒洗衣机:当月值,库存:冰柜:当月值
2010-01-04,,,,,,,,,,5600.00 ,,,,,,,,,,,,,,,4477.65 ,,,,,,,
2010-01-05,,,,,,,,,,5600.00 ,,,,,,,,,,,,,,,4384.16 ,,,,,,,
2010-01-06,,,,,,,,,,5600.00 ,,,,,,,,,,,,,,,4305.32 ,,,,,,,
2010-01-07,,,,,,,,,,5650.00 ,5300.00 ,5050.00 ,,,,,,,,,,,,,4162.22 ,,,,,,,
2010-01-08,,,,,,,,,,5650.00 ,,,,,,,,,,,,,,,4223.84 ,,,,,,,
2010-01-11,,,,,,,,,,5650.00 ,,,,,,,,,,,,,,,4128.81 ,,,,,,,
2010-01-12,,,,,,,,,,5650.00 ,,,,,,,,,,,,,,,4217.75 ,,,,,,,
2010-01-13,,,,,,,,,,5650.00 ,,,,,,,,,,,,,,,4161.37 ,,,,,,,
2010-01-14,,,,,,,,,,5650.00 ,5250.00 ,5000.00 ,,,,,,,,,,,,,4302.18 ,,,,,,,
2010-01-15,,,,,,,,,,5650.00 ,,,,,,,,,,,,,,,4298.14 ,,,,,,,
2010-01-18,,,,,,,,,,5650.00 ,,,,,,,,,,,,,,,4282.06 ,,,,,,,
2010-01-19,,,,,,,,,,5650.00 ,,,,,,,,,,,,,,,4303.97 ,,,,,,,
2010-01-20,,,,,,,,,,5650.00 ,,,,,,,,,,,,,,,4161.05 ,,,,,,,
2010-01-21,,,,,,,,,,5650.00 ,5230.00 ,4960.00 ,,,,,,,,,,,,,4117.43 ,,,,,,,
2010-01-22,,,,,,,,,,5600.00 ,,,,,,,,,,,,,,,4025.05 ,,,,,,,
2010-01-25,,,,,,,,,,5550.00 ,,,,,,,,,,,,,,,3986.18 ,,,,,,,
2010-01-26,,,,,,,,,,5500.00 ,,,,,,,,,,,,,,,3944.99 ,,,,,,,
2010-01-27,,,,,,,,,,5500.00 ,,,,,,,,,,,,,,,3971.86 ,,,,,,,
2010-01-28,,,,,,,,,,5500.00 ,5180.00 ,4920.00 ,,,,,,,,,,,,,4031.11 ,,,,,,,
2010-01-29,,,,,,,,,,5500.00 ,,,,,,,,,,,,,,,3993.21 ,,,,,,,
2010-01-31,786.25 ,501.95 ,541.51 ,18.72 ,48.25 ,73.74 ,250.68 ,141.51 ,292095.00 ,,,,,,,,97633.00 ,,,,,337443.00 ,,,,,,353.34 ,102.17 ,852.46 ,,
2010-02-01,,,,,,,,,,5500.00 ,,,,,,,,,,,,,,,4030.55 ,,,,,,,
2010-02-02,,,,,,,,,,5500.00 ,,,,,,,,,,,,,,,4060.56 ,,,,,,,
2010-02-03,,,,,,,,,,5500.00 ,,,,,,,,,,,,,,,4109.31 ,,,,,,,
2010-02-04,,,,,,,,,,5500.00 ,5180.00 ,4920.00 ,,,,,,,,,,,,,4047.60 ,,,,,,,
2010-02-05,,,,,,,,,,5500.00 ,,,,,,,,,,,,,,,3945.14 ,,,,,,,
2010-02-08,,,,,,,,,,5500.00 ,,,,,,,,,,,,,,,3912.84 ,,,,,,,
2010-02-09,,,,,,,,,,5500.00 ,,,,,,,,,,,,,,,3874.57 ,,,,,,,
2010-02-10,,,,,,,,,,5500.00 ,,,,,,,,,,,,,,,3950.89 ,,,,,,,
2010-02-11,,,,,,,,,,5500.00 ,5180.00 ,4920.00 ,,,,,,,,,,,,,4020.36 ,,,,,,,
2010-02-12,,,,,,,,,,,,,,,,,,,,,,,,,4047.79 ,,,,,,,
2010-02-20,,,,,,,,,,5500.00 ,,,,,,,,,,,,,,,,,,,,,,
2010-02-21,,,,,,,,,,5520.00 ,,,,,,,,,,,,,,,,,,,,,,
2010-02-22,,,,,,,,,,5550.00 ,,,,,,,,,,,,,,,4035.10 ,,,,,,,
2010-02-23,,,,,,,,,,5550.00 ,,,,,,,,,,,,,,,4052.18 ,,,,,,,
2010-02-24,,,,,,,,,,5550.00 ,,,,,,,,,,,,,,,4167.27 ,,,,,,,
2010-02-25,,,,,,,,,,5500.00 ,5200.00 ,4980.00 ,,,,,,,,,,,,,4288.82 ,,,,,,,
2010-02-26,,,,,,,,,,5500.00 ,,,,,,,,,,,,,,,4322.54 ,,,,,,,
2010-02-28,656.90 ,474.00 ,403.00 ,11.82 ,33.36 ,59.30 ,235.80 ,156.30 ,322282.00 ,,,,,,,,64356.00 ,,,,,376634.00 ,,,,,,338.52 ,117.35 ,861.06 ,,
2010-03-01,,,,,,,,,,5500.00 ,,,,,,,,,,,,,,,4314.79 ,,,,,,,
2010-03-02,,,,,,,,,,5500.00 ,,,,,,,,,,,,,,,4320.75 ,,,,,,,
2010-03-03,,,,,,,,,,5500.00 ,,,,,,,,,,,,,,,4411.98 ,,,,,,,
2010-03-04,,,,,,,,,,5550.00 ,5250.00 ,4980.00 ,,,,,,,,,,,,,4276.40 ,,,,,,,
2010-03-05,,,,,,,,,,5550.00 ,,,,,,,,,,,,,,,4311.97 ,,,,,,,
2010-03-08,,,,,,,,,,5600.00 ,,,,,,,,,,,,,,,4327.52 ,,,,,,,
2010-03-09,,,,,,,,,,5600.00 ,,,,,,,,,,,,,,,4287.60 ,,,,,,,
2010-03-10,,,,,,,,,,5630.00 ,,,,,,,,,,,,,,,4241.07 ,,,,,,,
2010-03-11,,,,,,,,,,5700.00 ,5270.00 ,5000.00 ,,,,,,,,,,,,,4225.67 ,,,,,,,
2010-03-12,,,,,,,,,,5700.00 ,,,,,,,,,,,,,,,4197.50 ,,,,,,,
2010-03-15,,,,,,,,,,5750.00 ,,,,,,,,,,,,,,,4115.32 ,,,,,,,
2010-03-16,,,,,,,,,,5750.00 ,,,,,,,,,,,,,,,4150.45 ,,,,,,,
2010-03-17,,,,,,,,,,5750.00 ,,,,,,,,,,,,,,,4253.38 ,,,,,,,
2010-03-18,,,,,,,,,,5750.00 ,5400.00 ,5220.00 ,,,,,,,,,,,,,4276.78 ,,,,,,,
2010-03-19,,,,,,,,,,5750.00 ,,,,,,,,,,,,,,,4300.88 ,,,,,,,
2010-03-22,,,,,,,,,,5800.00 ,,,,,,,,,,,,,,,4347.22 ,,,,,,,
2010-03-23,,,,,,,,,,5850.00 ,,,,,,,,,,,,,,,4410.51 ,,,,,,,
2010-03-24,,,,,,,,,,5850.00 ,,,,,,,,,,,,,,,4425.23 ,,,,,,,
2010-03-25,,,,,,,,,,5850.00 ,5750.00 ,5400.00 ,,,,,,,,,,,,,4356.67 ,,,,,,,
2010-03-26,,,,,,,,,,5870.00 ,,,,,,,,,,,,,,,4427.68 ,,,,,,,
2010-03-29,,,,,,,,,,5900.00 ,,,,,,,,,,,,,,,4500.49 ,,,,,,,
2010-03-30,,,,,,,,,,5900.00 ,,,,,,,,,,,,,,,4503.45 ,,,,,,,
2010-03-31,1035.00 ,618.50 ,492.00 ,20.73 ,42.37 ,88.80 ,252.20 ,165.50 ,456240.00 ,5930.00 ,,,,,,,95046.00 ,,,,,364883.00 ,,,4522.76 ,,,319.08 ,119.34 ,812.56 ,,
2010-04-01,,,,,,,,,,5930.00 ,5750.00 ,5400.00 ,,,,,,,,,,,,,4581.53 ,,,,,,,
2010-04-02,,,,,,,,,,6100.00 ,,,,,,,,,,,,,,,4584.82 ,,,,,,,
2010-04-06,,,,,,,,,,6100.00 ,,,,,,,,,,,,,,,4492.39 ,,,,,,,
2010-04-07,,,,,,,,,,6100.00 ,,,,,,,,,,,,,,,4443.22 ,,,,,,,
2010-04-08,,,,,,,,,,6100.00 ,5750.00 ,5400.00 ,,,,,,,,,,,,,4432.82 ,,,,,,,
2010-04-09,,,,,,,,,,6100.00 ,,,,,,,,,,,,,,,4476.25 ,,,,,,,
2010-04-12,,,,,,,,,,6100.00 ,,,,,,,,,,,,,,,4474.36 ,,,,,,,
2010-04-13,,,,,,,,,,6100.00 ,,,,,,,,,,,,,,,4422.27 ,,,,,,,
2010-04-14,,,,,,,,,,6100.00 ,,,,,,,,,,,,,,,4442.91 ,,,,,,,
2010-04-15,,,,,,,,,,6100.00 ,5850.00 ,5500.00 ,,,,,,,,,,,,,4383.03 ,,,,,,,
2010-04-16,,,,,,,,,,6100.00 ,,,,,,,,,,,,,,,4417.62 ,,,,,,,
2010-04-19,,,,,,,,,,6100.00 ,,,,,,,,,,,,,,,4233.60 ,,,,,,,
2010-04-20,,,,,,,,,,6100.00 ,,,,,,,,,,,,,,,4144.16 ,,,,,,,
2010-04-21,,,,,,,,,,6100.00 ,,,,,,,,,,,,,,,4213.24 ,,,,,,,
2010-04-22,,,,,,,,,,6100.00 ,5900.00 ,5550.00 ,,,,,,,,,,,,,4281.80 ,,,,,,,
2010-04-23,,,,,,,,,,6100.00 ,,,,,,,,,,,,,,,4200.53 ,,,,,,,
2010-04-26,,,,,,,,,,6100.00 ,,,,,,,,,,,,,,,4113.54 ,,,,,,,
2010-04-27,,,,,,,,,,6100.00 ,,,,,,,,,,,,,,,4019.36 ,,,,,,,
2010-04-28,,,,,,,,,,6100.00 ,,,,,,,,,,,,,,,4025.43 ,,,,,,,
2010-04-29,,,,,,,,,,6050.00 ,5800.00 ,5450.00 ,,,,,,,,,,,,,3906.32 ,,,,,,,
2010-04-30,1208.40 ,788.70 ,468.90 ,21.77 ,47.92 ,101.90 ,255.40 ,178.40 ,436345.00 ,6050.00 ,,,,,,,93341.00 ,,,,,371705.00 ,,,3864.87 ,,,317.44 ,111.60 ,808.86 ,,
2010-05-04,,,,,,,,,,6050.00 ,,,,,,,,,,,,,,,3870.13 ,,,,,,,
2010-05-05,,,,,,,,,,6050.00 ,,,,,,,,,,,,,,,3931.90 ,,,,,,,
2010-05-06,,,,,,,,,,6050.00 ,5750.00 ,5400.00 ,,,,,,,,,,,,,3762.56 ,,,,,,,
2010-05-07,,,,,,,,,,6050.00 ,,,,,,,,,,,,,,,3548.27 ,,,,,,,
2010-05-10,,,,,,,,,,6050.00 ,,,,,,,,,,,,,,,3514.40 ,,,,,,,
2010-05-11,,,,,,,,,,6050.00 ,,,,,,,,,,,,,,,3462.87 ,,,,,,,
2010-05-12,,,,,,,,,,6000.00 ,,,,,,,,,,,,,,,3461.85 ,,,,,,,
2010-05-13,,,,,,,,,,6000.00 ,5750.00 ,5400.00 ,,,,,,,,,,,,,3572.86 ,,,,,,,
2010-05-14,,,,,,,,,,6000.00 ,,,,,,,,,,,,,,,3550.35 ,,,,,,,
2010-05-17,,,,,,,,,,5900.00 ,,,,,,,,,,,,,,,3378.15 ,,,,,,,
2010-05-18,,,,,,,,,,5900.00 ,,,,,,,,,,,,,,,3424.38 ,,,,,,,
2010-05-19,,,,,,,,,,5900.00 ,,,,,,,,,,,,,,,3450.88 ,,,,,,,
2010-05-20,,,,,,,,,,5900.00 ,5650.00 ,5300.00 ,,,,,,,,,,,,,3486.14 ,,,,,,,
2010-05-21,,,,,,,,,,5850.00 ,,,,,,,,,,,,,,,3552.87 ,,,,,,,
2010-05-24,,,,,,,,,,5850.00 ,,,,,,,,,,,,,,,3753.88 ,,,,,,,
2010-05-25,,,,,,,,,,5850.00 ,,,,,,,,,,,,,,,3654.18 ,,,,,,,
2010-05-26,,,,,,,,,,5850.00 ,,,,,,,,,,,,,,,3637.69 ,,,,,,,
2010-05-27,,,,,,,,,,5800.00 ,5600.00 ,5250.00 ,,,,,,,,,,,,,3673.10 ,,,,,,,
2010-05-28,,,,,,,,,,5800.00 ,,,,,,,,,,,,,,,3667.86 ,,,,,,,
2010-05-31,1254.90 ,772.60 ,424.10 ,22.64 ,57.00 ,96.50 ,242.20 ,184.90 ,396712.00 ,5800.00 ,,,,,,,94487.00 ,,,,,326867.00 ,,,3639.87 ,,,297.02 ,129.52 ,776.46 ,,
2010-06-01,,,,,,,,,,5750.00 ,,,,,,,,,,,,,,,3612.98 ,,,,,,,
2010-06-02,,,,,,,,,,5750.00 ,,,,,,,,,,,,,,,3674.72 ,,,,,,,
2010-06-03,,,,,,,,,,5750.00 ,5600.00 ,5250.00 ,,,,,,,,,,,,,3680.38 ,,,,,,,
2010-06-04,,,,,,,,,,5750.00 ,,,,,,,,,,,,,,,3671.15 ,,,,,,,
2010-06-07,,,,,,,,,,5750.00 ,,,,,,,,,,,,,,,3568.36 ,,,,,,,
2010-06-08,,,,,,,,,,5750.00 ,,,,,,,,,,,,,,,3599.76 ,,,,,,,
2010-06-09,,,,,,,,,,5750.00 ,,,,,,,,,,,,,,,3749.10 ,,,,,,,
2010-06-10,,,,,,,,,,5750.00 ,5550.00 ,5200.00 ,,,,,,,,,,,,,3773.40 ,,,,,,,
2010-06-11,,,,,,,,,,5750.00 ,,,,,,,,,,,,,,,3790.13 ,,,,,,,
2010-06-12,,,,,,,,,,5750.00 ,,,,,,,,,,,,,,,,,,,,,,
2010-06-13,,,,,,,,,,5750.00 ,,,,,,,,,,,,,,,,,,,,,,
2010-06-17,,,,,,,,,,5750.00 ,,,,,,,,,,,,,,,3779.22 ,,,,,,,
2010-06-18,,,,,,,,,,5750.00 ,,,,,,,,,,,,,,,3655.59 ,,,,,,,
2010-06-21,,,,,,,,,,5750.00 ,,,,,,,,,,,,,,,3744.31 ,,,,,,,
2010-06-22,,,,,,,,,,5750.00 ,,,,,,,,,,,,,,,3778.57 ,,,,,,,
2010-06-23,,,,,,,,,,5750.00 ,,,,,,,,,,,,,,,3763.38 ,,,,,,,
2010-06-24,,,,,,,,,,5750.00 ,5500.00 ,5150.00 ,,,,,,,,,,,,,3765.04 ,,,,,,,
2010-06-25,,,,,,,,,,5750.00 ,,,,,,,,,,,,,,,3716.95 ,,,,,,,
