指标名称,销量:变频洗衣机:当月值,出口数量:空调:当月值,出口数量:冰箱:当月值,出口数量:洗衣机:当月值,出口数量:微波炉:当月值,36大中城市日用工业消费品平均价格:冰箱:210-250立升,36大中城市日用工业消费品平均价格:空调机:1.5匹冷暖,36大中城市日用工业消费品平均价格:洗衣机:滚筒式(5kg),城镇居民人均可支配收入:累计值
2010-01-31,,2650000.00 ,210.00 ,118.00 ,387.00 ,,,,
2010-02-28,,3200000.00 ,,,,,,,
2010-03-31,,5670000.00 ,271.00 ,158.00 ,463.00 ,,,,5308.01 
2010-04-30,,5550000.00 ,290.00 ,138.00 ,416.00 ,,,,
2010-05-31,,5430000.00 ,323.00 ,148.00 ,466.00 ,,,,
2010-06-30,,4480000.00 ,313.00 ,146.00 ,450.00 ,,,,9757.11 
2010-07-31,,3590000.00 ,298.00 ,161.00 ,513.00 ,,,,
2010-08-31,,2840000.00 ,248.00 ,149.00 ,484.00 ,,,,
2010-09-30,,2200000.00 ,267.00 ,163.00 ,508.00 ,,,,14333.83 
2010-10-31,,1860000.00 ,214.00 ,148.00 ,414.00 ,,,,
2010-11-30,,2410000.00 ,222.00 ,181.00 ,430.00 ,,,,
2010-12-31,,2820000.00 ,227.00 ,171.00 ,451.00 ,,,,19109.44 
2011-01-31,,4430000.00 ,259.00 ,172.00 ,370.00 ,,,,
2011-02-28,,4130000.00 ,167.00 ,95.00 ,281.00 ,,,,
2011-03-31,,6620000.00 ,310.00 ,166.00 ,412.00 ,,,,5962.82 
2011-04-30,,6440000.00 ,340.00 ,169.00 ,428.00 ,,,,
2011-05-31,,5630000.00 ,344.00 ,169.00 ,428.00 ,,,,
2011-06-30,,4780000.00 ,324.00 ,161.00 ,482.00 ,,,,11041.49 
2011-07-31,,3380000.00 ,305.00 ,190.00 ,472.00 ,,,,
2011-08-31,,2360000.00 ,265.00 ,191.00 ,510.00 ,,,,
2011-09-30,,1700000.00 ,260.00 ,186.00 ,546.00 ,,,,16300.85 
2011-10-31,,1510000.00 ,226.00 ,199.00 ,471.00 ,,,,
2011-11-30,,1580000.00 ,231.00 ,196.00 ,522.00 ,,,,
2011-12-31,,2190000.00 ,241.00 ,215.00 ,469.00 ,,,,21809.78 
2012-01-31,45.00 ,3720000.00 ,226.00 ,176.00 ,364.00 ,,,,
2012-02-29,37.20 ,4790000.00 ,181.00 ,141.00 ,336.00 ,,,,
2012-03-31,46.90 ,6470000.00 ,291.00 ,195.00 ,477.00 ,,,,6796.31 
2012-04-30,49.50 ,6230000.00 ,311.00 ,174.00 ,443.00 ,,,,
2012-05-31,45.80 ,6170000.00 ,357.00 ,198.00 ,465.00 ,,,,
2012-06-30,41.00 ,4350000.00 ,336.00 ,207.00 ,490.00 ,,,,12508.54 
2012-07-31,42.20 ,2880000.00 ,305.00 ,200.00 ,472.00 ,,,,
2012-08-31,52.10 ,1830000.00 ,282.00 ,188.00 ,480.00 ,,,,
2012-09-30,61.30 ,1770000.00 ,309.00 ,220.00 ,529.00 ,,,,18426.60 
2012-10-31,59.20 ,1590000.00 ,244.00 ,206.00 ,465.00 ,,,,
2012-11-30,46.80 ,1900000.00 ,237.00 ,201.00 ,394.00 ,,,,
2012-12-31,50.40 ,2120000.00 ,245.00 ,177.00 ,466.00 ,,,,24564.70 
2013-01-31,63.30 ,4170000.00 ,277.00 ,178.00 ,447.00 ,3115.00 ,3563.00 ,2671.00 ,
2013-02-28,52.70 ,4570000.00 ,202.00 ,125.00 ,337.00 ,3108.00 ,3579.00 ,2684.00 ,
2013-03-31,69.00 ,6540000.00 ,291.00 ,187.00 ,467.00 ,3128.00 ,3583.00 ,2728.00 ,7427.30 
2013-04-30,70.60 ,6990000.00 ,326.00 ,178.00 ,451.00 ,,,,
2013-05-31,62.30 ,6080000.00 ,345.00 ,173.00 ,477.00 ,,,,
2013-06-30,60.20 ,4290000.00 ,328.00 ,166.00 ,439.00 ,3213.00 ,3562.00 ,2758.00 ,13649.10 
2013-07-31,58.70 ,3150000.00 ,345.00 ,181.00 ,468.00 ,,,,
2013-08-31,67.50 ,2140000.00 ,307.00 ,188.00 ,486.00 ,3181.00 ,3545.00 ,2716.00 ,
2013-09-30,67.80 ,1530000.00 ,294.00 ,189.00 ,436.00 ,,,,20169.00 
2013-10-31,67.80 ,1550000.00 ,267.00 ,183.00 ,511.00 ,3192.00 ,3560.00 ,2753.00 ,
2013-11-30,64.00 ,1640000.00 ,292.00 ,199.00 ,478.00 ,3188.00 ,3555.00 ,2736.00 ,
2013-12-31,66.40 ,1920000.00 ,271.00 ,180.00 ,437.00 ,3182.00 ,3545.00 ,2730.00 ,26955.00 
2014-01-31,75.40 ,4354974.00 ,317.06 ,197.08 ,512.27 ,3172.00 ,3497.00 ,2755.00 ,
2014-02-28,55.90 ,3687477.00 ,198.11 ,122.45 ,284.77 ,3179.00 ,3505.00 ,2776.00 ,
2014-03-31,72.70 ,6283035.00 ,304.86 ,185.75 ,436.93 ,3128.00 ,3583.00 ,2728.00 ,8155.00 
2014-04-30,76.00 ,6545627.00 ,380.94 ,201.35 ,449.13 ,3162.00 ,3479.00 ,2787.00 ,
2014-05-31,70.26 ,5010693.00 ,405.27 ,184.33 ,479.68 ,3156.00 ,3469.00 ,2755.00 ,
2014-06-30,70.20 ,3504912.00 ,361.31 ,183.77 ,420.39 ,3165.00 ,3470.00 ,2758.00 ,14959.00 
2014-07-31,69.60 ,3341366.00 ,387.95 ,195.67 ,524.99 ,3141.00 ,3426.00 ,2741.00 ,
