指标名称,现货价:镀锌板:1mm:全国,现货价:热轧普通薄板:3mm:全国,"车板价:主焦煤(A<10.5%,V21-25%,S<1%,G>75%,邯郸产):河北"
2010-01-01,5266.00 ,4082.00 ,1600.00 
2010-01-04,,,1600.00 
2010-01-05,,,1600.00 
2010-01-06,,,1600.00 
2010-01-07,,,1600.00 
2010-01-08,,,1600.00 
2010-01-11,,,1600.00 
2010-01-12,,,1600.00 
2010-01-13,,,1600.00 
2010-01-14,,,1600.00 
2010-01-15,5259.00 ,4047.00 ,1600.00 
2010-01-18,,,1600.00 
2010-01-19,,,1600.00 
2010-01-20,,,1600.00 
2010-01-21,,,1600.00 
2010-01-22,,,1600.00 
2010-01-25,,,1600.00 
2010-01-26,,,1600.00 
2010-01-27,,,1600.00 
2010-01-28,,,1600.00 
2010-01-29,,,1600.00 
2010-02-01,5247.00 ,4061.00 ,1600.00 
2010-02-02,,,1600.00 
2010-02-03,,,1570.00 
2010-02-04,,,1570.00 
2010-02-05,,,1570.00 
2010-02-08,,,1560.00 
2010-02-09,,,1560.00 
2010-02-10,,,1560.00 
2010-02-11,,,1560.00 
2010-02-12,,,1560.00 
2010-02-15,5259.00 ,4072.00 ,1560.00 
2010-02-16,,,1560.00 
2010-02-17,,,1560.00 
2010-02-18,,,1560.00 
2010-02-19,,,1560.00 
2010-02-22,,,1560.00 
2010-02-23,,,1560.00 
2010-02-24,,,1560.00 
2010-02-25,,,1560.00 
2010-02-26,,,1560.00 
2010-03-01,5320.00 ,4231.00 ,1560.00 
2010-03-02,,,1560.00 
2010-03-03,,,1560.00 
2010-03-04,,,1560.00 
2010-03-05,,,1560.00 
2010-03-08,,,1540.00 
2010-03-09,,,1510.00 
2010-03-10,,,1510.00 
2010-03-11,,,1510.00 
2010-03-12,,,1510.00 
2010-03-15,5440.00 ,4421.00 ,1510.00 
2010-03-16,,,1510.00 
2010-03-17,,,1510.00 
2010-03-18,,,1510.00 
2010-03-19,,,1510.00 
2010-03-22,,,1510.00 
2010-03-23,,,1510.00 
2010-03-24,,,1510.00 
2010-03-25,,,1510.00 
2010-03-26,,,1510.00 
2010-03-29,,,1510.00 
2010-03-30,,,1510.00 
2010-03-31,,,1510.00 
2010-04-01,5609.00 ,4672.00 ,1510.00 
2010-04-02,,,1510.00 
2010-04-05,,,1510.00 
2010-04-06,,,1510.00 
2010-04-07,,,1510.00 
2010-04-08,,,1510.00 
2010-04-09,,,1510.00 
2010-04-12,,,1510.00 
2010-04-13,,,1510.00 
2010-04-14,,,1510.00 
2010-04-15,5635.00 ,4698.00 ,1510.00 
2010-04-16,,,1510.00 
2010-04-19,,,1510.00 
2010-04-20,,,1510.00 
2010-04-21,,,1510.00 
2010-04-22,,,1510.00 
2010-04-23,,,1510.00 
2010-04-26,,,1510.00 
2010-04-27,,,1510.00 
2010-04-28,,,1510.00 
2010-04-29,,,1520.00 
2010-04-30,,,1520.00 
2010-05-01,5589.00 ,4646.00 ,
2010-05-03,,,1520.00 
2010-05-04,,,1520.00 
2010-05-05,,,1520.00 
2010-05-06,,,1520.00 
2010-05-07,,,1520.00 
2010-05-10,,,1520.00 
2010-05-11,,,1520.00 
2010-05-12,,,1520.00 
2010-05-13,,,1520.00 
2010-05-14,,,1520.00 
2010-05-15,5468.00 ,4551.00 ,
2010-05-17,,,1520.00 
2010-05-18,,,1520.00 
2010-05-19,,,1520.00 
2010-05-20,,,1520.00 
2010-05-21,,,1520.00 
2010-05-24,,,1520.00 
2010-05-25,,,1520.00 
2010-05-26,,,1520.00 
2010-05-27,,,1520.00 
2010-05-28,,,1520.00 
2010-05-31,,,1520.00 
2010-06-01,5387.00 ,4462.00 ,1520.00 
2010-06-02,,,1520.00 
2010-06-03,,,1520.00 
2010-06-04,,,1520.00 
2010-06-07,,,1520.00 
2010-06-08,,,1520.00 
2010-06-09,,,1520.00 
2010-06-10,,,1520.00 
2010-06-11,,,1520.00 
2010-06-14,,,1520.00 
2010-06-15,5313.00 ,4369.00 ,1520.00 
2010-06-16,,,1520.00 
2010-06-17,,,1520.00 
2010-06-18,,,1520.00 
2010-06-21,,,1520.00 
2010-06-22,,,1520.00 
2010-06-23,,,1520.00 
2010-06-24,,,1520.00 
2010-06-25,,,1520.00 
2010-06-28,,,1520.00 
2010-06-29,,,1520.00 
2010-06-30,,,1520.00 
2010-07-01,5173.00 ,4224.00 ,1520.00 
2010-07-02,,,1520.00 
2010-07-05,,,1520.00 
2010-07-06,,,1520.00 
2010-07-07,,,1520.00 
2010-07-08,,,1520.00 
2010-07-09,,,1520.00 
2010-07-12,,,1520.00 
2010-07-13,,,1520.00 
2010-07-14,,,1520.00 
2010-07-15,5195.00 ,4355.00 ,1520.00 
2010-07-16,,,1520.00 
2010-07-19,,,1520.00 
2010-07-20,,,1520.00 
2010-07-21,,,1520.00 
2010-07-22,,,1520.00 
2010-07-23,,,1520.00 
2010-07-26,,,1520.00 
2010-07-27,,,1510.00 
2010-07-28,,,1490.00 
2010-07-29,,,1490.00 
2010-07-30,,,1460.00 
2010-08-01,5278.00 ,4421.00 ,
2010-08-02,,,1460.00 
2010-08-03,,,1460.00 
2010-08-04,,,1460.00 
2010-08-05,,,1460.00 
2010-08-06,,,1460.00 
2010-08-09,,,1460.00 
2010-08-10,,,1460.00 
2010-08-11,,,1460.00 
2010-08-12,,,1460.00 
2010-08-13,,,1460.00 
2010-08-15,5329.00 ,4404.00 ,
2010-08-16,,,1460.00 
2010-08-17,,,1460.00 
2010-08-18,,,1460.00 
2010-08-19,,,1460.00 
2010-08-20,,,1460.00 
2010-08-23,,,1460.00 
2010-08-24,,,1460.00 
2010-08-25,,,1460.00 
2010-08-26,,,1460.00 
2010-08-27,,,1460.00 
2010-08-30,,,1460.00 
2010-08-31,,,1460.00 
2010-09-01,5430.00 ,4570.00 ,1460.00 
2010-09-02,,,1460.00 
2010-09-03,,,1460.00 
2010-09-06,,,1460.00 
2010-09-07,,,1460.00 
2010-09-08,,,1460.00 
2010-09-09,,,1460.00 
2010-09-10,,,1460.00 
2010-09-13,,,1460.00 
2010-09-14,,,1460.00 
2010-09-15,5426.00 ,4508.00 ,1460.00 
2010-09-16,,,1460.00 
2010-09-17,,,1460.00 
2010-09-20,,,1460.00 
2010-09-21,,,1460.00 
2010-09-22,,,1460.00 
2010-09-23,,,1460.00 
2010-09-24,,,1460.00 
2010-09-27,,,1460.00 
2010-09-28,,,1460.00 
2010-09-29,,,1460.00 
2010-09-30,,,1460.00 
2010-10-01,5424.00 ,4521.00 ,1460.00 
2010-10-04,,,1460.00 
2010-10-05,,,1460.00 
2010-10-06,,,1460.00 
2010-10-07,,,1460.00 
2010-10-08,,,1460.00 
2010-10-11,,,1460.00 
2010-10-12,,,1460.00 
2010-10-13,,,1460.00 
2010-10-14,,,1460.00 
2010-10-15,5441.00 ,4506.00 ,1460.00 
2010-10-18,,,1460.00 
2010-10-19,,,1460.00 
2010-10-20,,,1460.00 
2010-10-21,,,1460.00 
2010-10-22,,,1490.00 
2010-10-25,,,1490.00 
2010-10-26,,,1520.00 
2010-10-27,,,1520.00 
2010-10-28,,,1520.00 
2010-10-29,,,1520.00 
2010-11-01,5501.00 ,4584.00 ,1520.00 
2010-11-02,,,1520.00 
2010-11-03,,,1520.00 
2010-11-04,,,1520.00 
2010-11-05,,,1520.00 
2010-11-08,,,1520.00 
2010-11-09,,,1520.00 
2010-11-10,,,1520.00 
2010-11-11,,,1520.00 
2010-11-12,,,1520.00 
2010-11-15,5515.00 ,4572.00 ,1520.00 
2010-11-16,,,1520.00 
2010-11-17,,,1520.00 
2010-11-18,,,1520.00 
2010-11-19,,,1520.00 
2010-11-22,,,1520.00 
2010-11-23,,,1520.00 
2010-11-24,,,1520.00 
2010-11-25,,,1520.00 
2010-11-26,,,1520.00 
2010-11-29,,,1520.00 
