指标名称,产量:冰箱压缩机:当月值,出口数量:空调器压缩机:当月值,产量:集成电路:当月值
2010-01-31,,124.62 ,429755.19 
2010-02-28,,120.20 ,397000.00 
2010-03-31,,174.61 ,538000.00 
2010-04-30,,145.27 ,515000.00 
2010-05-31,,174.80 ,534000.00 
2010-06-30,,179.01 ,586000.00 
2010-07-31,,142.63 ,577000.00 
2010-08-31,,136.02 ,575000.00 
2010-09-30,,92.47 ,595000.00 
2010-10-31,,89.08 ,584000.00 
2010-11-30,,109.86 ,566000.00 
2010-12-31,,158.75 ,604000.00 
2011-01-31,,172.66 ,746732.26 
2011-02-28,,135.90 ,631000.00 
2011-03-31,,200.39 ,637000.00 
2011-04-30,,184.20 ,735000.00 
2011-05-31,,170.07 ,698000.00 
2011-06-30,,142.18 ,727000.00 
2011-07-31,,138.05 ,676000.00 
2011-08-31,,99.23 ,658000.00 
2011-09-30,,78.91 ,626000.00 
2011-10-31,,111.42 ,568000.00 
2011-11-30,,113.74 ,602000.00 
2011-12-31,,157.12 ,633000.00 
2012-01-31,725.20 ,166.97 ,553982.34 
2012-02-29,832.60 ,176.90 ,746152.81 
2012-03-31,954.20 ,208.54 ,868000.00 
2012-04-30,965.70 ,171.26 ,924000.00 
2012-05-31,947.40 ,179.90 ,895000.00 
2012-06-30,962.80 ,164.64 ,890000.00 
2012-07-31,992.00 ,119.40 ,868000.00 
2012-08-31,982.70 ,103.53 ,860000.00 
2012-09-30,908.00 ,124.15 ,833000.00 
2012-10-31,863.00 ,111.73 ,833000.00 
2012-11-30,945.90 ,129.55 ,865000.00 
2012-12-31,970.00 ,190.30 ,724000.00 
2013-01-31,1014.50 ,211.87 ,755000.00 
2013-02-28,785.90 ,193.33 ,662000.00 
2013-03-31,1144.80 ,269.47 ,723000.00 
2013-04-30,1180.20 ,226.95 ,702000.00 
2013-05-31,1101.70 ,208.43 ,784698.28 
2013-06-30,999.80 ,167.44 ,810652.32 
2013-07-31,967.10 ,173.95 ,759437.29 
2013-08-31,913.40 ,149.45 ,770836.10 
2013-09-30,879.40 ,128.46 ,779381.58 
2013-10-31,673.60 ,128.02 ,734786.64 
2013-11-30,856.00 ,154.88 ,770867.37 
2013-12-31,992.70 ,186.36 ,748227.82 
2014-01-31,963.20 ,267.07 ,
2014-02-28,778.00 ,196.52 ,
2014-03-31,1201.50 ,238.77 ,746000.00 
2014-04-30,1222.60 ,248.86 ,797950.51 
2014-05-31,1129.30 ,232.40 ,858011.28 
2014-06-30,1019.30 ,194.89 ,904495.48 
2014-07-31,1063.30 ,174.28 ,938696.30 
2014-08-31,984.10 ,161.23 ,933000.00 
2014-09-30,908.70 ,149.87 ,935000.00 
2014-10-31,763.50 ,148.47 ,913000.00 
2014-11-30,886.90 ,154.68 ,943035.40 
2014-12-31,1087.40 ,212.05 ,1011000.00 
2015-01-31,1084.00 ,274.14 ,
2015-02-28,749.50 ,229.96 ,
2015-03-31,1157.70 ,255.19 ,850000.00 
2015-04-30,1251.30 ,247.92 ,894000.00 
2015-05-31,1191.40 ,215.12 ,925000.00 
2015-06-30,1069.10 ,174.89 ,960000.00 
2015-07-31,1043.20 ,139.77 ,971359.40 
2015-08-31,961.00 ,106.06 ,952000.00 
2015-09-30,899.20 ,133.18 ,988000.00 
2015-10-31,853.80 ,133.18 ,939000.00 
2015-11-30,952.00 ,169.54 ,1019000.00 
2015-12-31,1155.30 ,212.12 ,1128000.00 
2016-01-31,1202.50 ,261.12 ,
2016-02-29,854.10 ,240.26 ,
2016-03-31,1311.40 ,315.61 ,1048000.00 
2016-04-30,1299.90 ,262.78 ,1034000.00 
2016-05-31,1168.60 ,290.69 ,1101000.00 
2016-06-30,1072.70 ,249.24 ,1172000.00 
2016-07-31,1095.60 ,195.59 ,1138000.00 
2016-08-31,1144.30 ,175.71 ,1149000.00 
2016-09-30,1145.00 ,158.05 ,1163000.00 
2016-10-31,929.40 ,155.13 ,1195000.00 
2016-11-30,1218.20 ,214.87 ,1252000.00 
2016-12-31,1362.80 ,246.50 ,1400000.00 
2017-01-31,1088.20 ,280.39 ,
2017-02-28,1100.00 ,250.22 ,
2017-03-31,1472.40 ,334.01 ,1363000.00 
2017-04-30,1364.70 ,295.71 ,1294000.00 
2017-05-31,1271.60 ,283.30 ,1360000.00 
2017-06-30,1278.80 ,244.57 ,1450000.00 
2017-07-31,1304.50 ,,1330000.00 
