"","time","actual","pred"
"1",2013 Q2,231045733.278333,244489831.63511
"2",2013 Q3,275702039.513265,270760658.432496
"3",2013 Q4,148578186.713719,151251913.263364
"4",2014 Q1,222908087.831458,204940332.6406
"5",2014 Q2,292766218.969035,289675836.750035
"6",2014 Q3,306006861.1916,319669411.486943
"7",2014 Q4,206167519.214375,187319289.465817
"8",2015 Q1,240030645.90934,241818984.066756
"9",2015 Q2,296876585.490636,294621569.785908
"10",2015 Q3,284254176.466923,273774953.558547
"11",2015 Q4,138972970.593175,164754559.537929
"12",2016 Q1,297395087.313019,306462334.327074
"13",2016 Q2,353708286.005182,345609585.572135
"14",2016 Q3,336452629.496574,343223124.932406
"15",2016 Q4,296927415.310625,287320329.564783
"16",2017 Q1,329952859.804643,332052588.082001
