"","time","actual","pred"
"1",2013 Q2,3097813996.40118,2989611283.18528
"2",2013 Q3,3421972751.80776,3300640440.43068
"3",2013 Q4,2206578494.06663,2328266613.01378
"4",2014 Q1,3246478517.41208,3230013634.8501
"5",2014 Q2,3267360896.13417,3483063781.25522
"6",2014 Q3,3701196007.9136,3542241712.4422
"7",2014 Q4,2600633281.84309,2740163388.14746
"8",2015 Q1,3092707826.93802,3122720872.19734
"9",2015 Q2,3034231593.82682,2945763292.2603
"10",2015 Q3,3138821870.38692,3199905325.43659
"11",2015 Q4,2488665717.90107,2442857795.14034
"12",2016 Q1,3033743851.03906,2947008850.84175
"13",2016 Q2,3078797122.42782,3049507078.99786
"14",2016 Q3,3635676494.56194,3675625809.87382
"15",2016 Q4,3542497939.45161,3506929054.8213
"16",2017 Q1,3892443868.76357,3975301297.98131
