"","time","actual","pred"
"1",2013 Q2,136121064.754518,125016243.473106
"2",2013 Q3,286431229.319388,335001800.016079
"3",2013 Q4,-42535946.94525,46571383.9009348
"4",2014 Q1,1043156798.82146,781419159.038595
"5",2014 Q2,209840545.037857,164578511.493883
"6",2014 Q3,237760422.7136,347562675.615544
"7",2014 Q4,134466344.824271,275383074.370498
"8",2015 Q1,911924673.241415,978465970.492029
"9",2015 Q2,535842221.367818,530951779.674523
"10",2015 Q3,580406550.745962,427960183.28349
"11",2015 Q4,565272927.555484,434758994.067616
"12",2016 Q1,426813052.084151,708138661.659489
"13",2016 Q2,416447904.083273,481544624.145856
"14",2016 Q3,439163001.138241,407188022.297895
"15",2016 Q4,294589989.098214,177187149.109916
"16",2017 Q1,508734283.495,462706828.695946
