"","time","actual","pred"
"1",2013 Q2,3327627613.35316,3187743968.50423
"2",2013 Q3,3755067929.56429,3452491039.80726
"3",2013 Q4,2263212261.68457,2736769940.1222
"4",2014 Q1,3553190668.89833,3474536817.12438
"5",2014 Q2,3590667071.87851,3772469596.26454
"6",2014 Q3,4011284967.771,3594299017.04795
"7",2014 Q4,2782766344.37597,2807295198.59363
"8",2015 Q1,3347172941.48132,3066533545.6061
"9",2015 Q2,3274115490.80375,3585784987.92948
"10",2015 Q3,3451030972.80769,3515897694.61323
"11",2015 Q4,2618653573.20302,2686899401.84107
"12",2016 Q1,3345414318.45434,3190052524.76573
"13",2016 Q2,3482523468.13791,3448547201.0474
"14",2016 Q3,3992061948.39889,3998253210.74742
"15",2016 Q4,3804622812.65464,4081421353.10175
"16",2017 Q1,4230260392.86625,4230677279.21726
