指标名称,36大中城市日用工业消费品平均价格:白酒:500ml左右52度高档,36大中城市日用工业消费品平均价格:白酒:500ml左右52度中低档,白酒(折65度):销量:累计值,产量:白酒:当月值,价格:白酒:30年青花汾酒(53度):500ml:京东,价格:白酒:飞天茅台(53度):500ml:京东,价格:白酒:剑南春(52度):500ml:京东,价格:白酒:水井坊(52度):500ml:京东,价格:白酒:五粮液(52度):500ml:京东,价格:白酒:习酒窖藏1988(52度):500ml:京东,价格:白酒:洋河梦之蓝(M3)(52度):500ml:京东,价格:白酒:泸州老窖(52度):500ml:京东,申万行业指数:白酒
2010-01-04,,,,,,,,,,,,,9007.35 
2010-01-05,,,,,,,,,,,,,9023.49 
2010-01-06,,,,,,,,,,,,,8853.13 
2010-01-07,,,,,,,,,,,,,8633.63 
2010-01-08,,,,,,,,,,,,,8614.02 
2010-01-11,,,,,,,,,,,,,8549.82 
2010-01-12,,,,,,,,,,,,,8771.82 
2010-01-13,,,,,,,,,,,,,8644.38 
2010-01-14,,,,,,,,,,,,,9016.66 
2010-01-15,,,,,,,,,,,,,9047.01 
2010-01-18,,,,,,,,,,,,,9141.04 
2010-01-19,,,,,,,,,,,,,9058.97 
2010-01-20,,,,,,,,,,,,,8779.90 
2010-01-21,,,,,,,,,,,,,8800.17 
2010-01-22,,,,,,,,,,,,,8615.00 
2010-01-25,,,,,,,,,,,,,8692.47 
2010-01-26,,,,,,,,,,,,,8622.50 
2010-01-27,,,,,,,,,,,,,8422.04 
2010-01-28,,,,,,,,,,,,,8588.37 
2010-01-29,,,,,,,,,,,,,8646.08 
2010-01-31,,,,74.57 ,,,,,,,,,
2010-02-01,,,,,,,,,,,,,8720.86 
2010-02-02,,,,,,,,,,,,,8574.47 
2010-02-03,,,,,,,,,,,,,8565.77 
2010-02-04,,,,,,,,,,,,,8644.96 
2010-02-05,,,,,,,,,,,,,8628.42 
2010-02-08,,,,,,,,,,,,,8637.10 
2010-02-09,,,,,,,,,,,,,8628.06 
2010-02-10,,,,,,,,,,,,,8689.55 
2010-02-11,,,,,,,,,,,,,8778.79 
2010-02-12,,,,,,,,,,,,,8778.81 
2010-02-22,,,,,,,,,,,,,8597.76 
2010-02-23,,,,,,,,,,,,,8463.15 
2010-02-24,,,,,,,,,,,,,8557.43 
2010-02-25,,,,,,,,,,,,,8599.59 
2010-02-26,,,,,,,,,,,,,8502.45 
2010-02-28,,,,64.78 ,,,,,,,,,
2010-03-01,,,,,,,,,,,,,8526.94 
2010-03-02,,,,,,,,,,,,,8510.80 
2010-03-03,,,,,,,,,,,,,8518.15 
2010-03-04,,,,,,,,,,,,,8433.19 
2010-03-05,,,,,,,,,,,,,8427.33 
2010-03-08,,,,,,,,,,,,,8399.37 
