"","time","actual","pred"
"1",2014 Q1,590562859.926111,568554683.286568
"2",2014 Q2,392345985.148333,361335289.204441
"3",2014 Q3,362489233.229444,397898615.569984
"4",2014 Q4,359656298.366111,327644713.074652
"5",2015 Q1,628572054.392778,661388155.566377
"6",2015 Q2,389199752.548333,395282482.614718
"7",2015 Q3,426636173.077222,414043885.21445
"8",2015 Q4,444010959.537778,445345917.20522
"9",2016 Q1,739145479.271111,743899262.825968
"10",2016 Q2,411445599.007778,444772591.187864
"11",2016 Q3,449366769.187778,463106170.148822
"12",2016 Q4,499031463.701111,493071151.724476
"13",2017 Q1,909772140.320556,885891850.090905
