"","time","actual","pred"
"1",2014 Q1,1001157698.35542,1025837742.59078
"2",2014 Q2,869339098.717639,869546499.360212
"3",2014 Q3,795472337.499305,772101293.052298
"4",2014 Q4,1047836523.53542,1028069014.81242
"5",2015 Q1,1117342427.77125,1162555953.09796
"6",2015 Q2,894171045.490694,880946811.454415
"7",2015 Q3,823789510.461806,859607626.767278
"8",2015 Q4,1080507481.20681,1064696645.12945
"9",2016 Q1,1276965498.215,1221441208.2947
"10",2016 Q2,949135289.075,962152122.468706
"11",2016 Q3,998616293.787778,986169221.929313
"12",2016 Q4,1282466902.80389,1318045247.60425
"13",2017 Q1,1498336765.05333,1483967485.41155
