"","time","actual","pred"
"1",2014 Q1,79995906.3308333,71838649.441585
"2",2014 Q2,249902805.273611,276776199.326773
"3",2014 Q3,426074648.859167,629901897.540732
"4",2014 Q4,339560768.179167,212194195.891474
"5",2015 Q1,434994952.524444,355141734.055834
"6",2015 Q2,223968105.196667,368982405.851231
"7",2015 Q3,766712656.299444,804813907.533036
"8",2015 Q4,520467012.631111,256872964.308517
"9",2016 Q1,698684858.036667,586461764.106055
"10",2016 Q2,631125560.491111,754735032.002234
"11",2016 Q3,1743686538.52389,1501758038.60873
"12",2016 Q4,630059085.667778,853695835.33932
"13",2017 Q1,602417908.414444,674478182.422811
