"","time","actual","pred"
"1",2011 Q1,1420936149.99216,1331890442.68664
"2",2011 Q2,853333944.402857,1140201639.92384
"3",2011 Q3,990696998.338261,1020808548.69362
"4",2011 Q4,309261519.882019,24384791.3561325
"5",2012 Q1,741042226.767368,1013485335.45348
"6",2012 Q2,369248930.333636,342802472.727245
"7",2012 Q3,818674607.937536,872927206.301782
"8",2012 Q4,527600320.135455,388554107.518008
"9",2013 Q1,748691068.76125,579941756.607527
"10",2013 Q2,440496981.950855,562860688.619665
"11",2013 Q3,1002302522.5736,755861118.852377
"12",2013 Q4,437476325.311695,373755387.458255
"13",2014 Q1,589725596.291481,481890551.908254
"14",2014 Q2,629115285.449919,571533814.339183
"15",2014 Q3,910430349.982083,670105717.245388
"16",2014 Q4,5832054.80479838,-7903113.01552313
"17",2015 Q1,81529255.4053086,440742921.948787
"18",2015 Q2,1095927103.55164,993090323.487965
"19",2015 Q3,207294545.345357,553892945.936161
"20",2015 Q4,359091398.741359,405131490.001406
"21",2016 Q1,405453310.102593,736053422.713934
"22",2016 Q2,2198248252.93362,1975881559.52463
"23",2016 Q3,920960393.874103,976763881.021609
"24",2016 Q4,787743158.951641,882282765.978716
"25",2017 Q1,1153798202.54542,917970727.076926
