"","time","actual","pred"
"1",2011 Q1,35955071400.9357,31240620238.7932
"2",2011 Q2,25250543022.8612,26220557236.4818
"3",2011 Q3,29504770185.8322,31965689332.8163
"4",2011 Q4,13998400997.2265,17924823965.9726
"5",2012 Q1,37315249916.1005,30567588450.2699
"6",2012 Q2,22722503030.6267,24153443101.6114
"7",2012 Q3,31099296110.4045,30018130289.7509
"8",2012 Q4,16544968136.993,18215794488.6399
"9",2013 Q1,31344951334.4712,30050372712.5455
"10",2013 Q2,21731673058.3961,23864155996.0074
"11",2013 Q3,31883102052.23,30771868577.5493
"12",2013 Q4,15271338212.3572,19735596811.5236
"13",2014 Q1,26548933946.7344,31033901773.0581
"14",2014 Q2,26294121711.4848,24711678558.5939
"15",2014 Q3,34844287586.4192,30675297740.8506
"16",2014 Q4,14268394100.9531,15484312515.4512
"17",2015 Q1,20972508596.1258,25141369889.4171
"18",2015 Q2,22151449660.7817,20575154331.3884
"19",2015 Q3,21379628240.7429,24118574409.8276
"20",2015 Q4,13309212645.04,10604997277.9641
"21",2016 Q1,18067432219.0596,22385472979.4194
"22",2016 Q2,18900581833.2888,17525883093.3564
"23",2016 Q3,21646937311.0951,24155960949.2573
"24",2016 Q4,21790125965.4275,13216914998.4461
"25",2017 Q1,27176767946.5213,25614089503.1171
