"","time","actual","pred"
"1",2011 Q1,883260597.153137,666055256.649084
"2",2011 Q2,882169751.089722,1836633679.24873
"3",2011 Q3,2808937887.03204,2233263021.2311
"4",2011 Q4,1472959769.98587,1378949322.56264
"5",2012 Q1,-1804694920.27737,-1323406056.48383
"6",2012 Q2,1790229743.97773,872054205.701359
"7",2012 Q3,2150452062.60159,2543097117.90376
"8",2012 Q4,1407867586.97639,1755322040.08762
"9",2013 Q1,516189841.337083,198235982.198805
"10",2013 Q2,732629781.583816,1060227081.63419
"11",2013 Q3,2008406398.5952,2235439289.70381
"12",2013 Q4,1355175676.85797,1346182497.87258
"13",2014 Q1,588598440.776049,331389052.046013
"14",2014 Q2,1582635159.95847,1580843717.24199
"15",2014 Q3,2198736136.88125,2160642469.27536
"16",2014 Q4,815176037.269113,716783507.112262
"17",2015 Q1,454023040.263457,780392919.960352
"18",2015 Q2,2522303806.57422,1770939887.443
"19",2015 Q3,1956711476.67952,2163238366.06997
"20",2015 Q4,1317411331.45908,1520973837.1523
"21",2016 Q1,1763302006.94111,1515600025.85042
"22",2016 Q2,1654244070.5,1790781242.34374
"23",2016 Q3,2328119125.87679,1775600259.72563
"24",2016 Q4,3009410830.32805,2770196283.98244
"25",2017 Q1,952056009.07125,1666876642.9782
