"","time","actual","pred"
"1",2011 Q1,37771321413.7714,34041602019.6268
"2",2011 Q2,26250749615.2397,27533293415.3241
"3",2011 Q3,30746054098.1178,37279581908.9548
"4",2011 Q4,14372561819.3265,16337169419.2355
"5",2012 Q1,38284832348.5895,35097651053.7446
"6",2012 Q2,22763174421.3904,23802952141.1628
"7",2012 Q3,32185525508.8372,26099105714.3466
"8",2012 Q4,17204018594.8272,16443529049.993
"9",2013 Q1,32409157873.5842,35416602437.4047
"10",2013 Q2,21959412332.8946,22668971806.4956
"11",2013 Q3,33136147514.2532,29073807209.9111
"12",2013 Q4,15397342657.5685,17890518029.401
"13",2014 Q1,27332790695.4315,28759004670.1018
"14",2014 Q2,26418841838.4409,22018896372.0993
"15",2014 Q3,35813292470.9942,31255046081.2966
"16",2014 Q4,13913427460.6406,16442659063.9795
"17",2015 Q1,21048627324.8399,23115461423.0102
"18",2015 Q2,22482478901.8951,24133020890.9251
"19",2015 Q3,21577770885.7168,27907656402.3827
"20",2015 Q4,13003554804.9033,11989548124.658
"21",2016 Q1,18561130334.403,18530939030.2721
"22",2016 Q2,19231838908.5,19791267971.8931
"23",2016 Q3,22416692907.6078,21230799063.9381
"24",2016 Q4,21314677524.2193,19375049596.6613
"25",2017 Q1,28426800191.3092,27788089550.4835
