指标名称,产量:石油:世界总量:当月值,Wind行业指数:石油、天然气与供消费用燃料,申万行业指数:石油化工
2010-01-04,,4815.01 ,4183.38 
2010-01-05,,4893.86 ,4210.58 
2010-01-06,,4833.08 ,4122.38 
2010-01-07,,4724.08 ,4014.26 
2010-01-08,,4670.24 ,3979.34 
2010-01-11,,4643.81 ,3961.65 
2010-01-12,,4727.98 ,4048.14 
2010-01-13,,4521.54 ,3909.98 
2010-01-14,,4562.41 ,3938.24 
2010-01-15,,4579.42 ,3976.67 
2010-01-18,,4548.44 ,3944.05 
2010-01-19,,4590.19 ,3978.52 
2010-01-20,,4393.23 ,3795.77 
2010-01-21,,4326.69 ,3762.45 
2010-01-22,,4248.16 ,3716.89 
2010-01-25,,4225.96 ,3696.52 
2010-01-26,,4056.71 ,3551.82 
2010-01-27,,4023.87 ,3504.80 
2010-01-28,,4040.63 ,3514.54 
2010-01-29,,4012.74 ,3489.22 
2010-01-31,86664.62 ,,
2010-02-01,,3886.72 ,3406.16 
2010-02-02,,3881.55 ,3392.75 
2010-02-03,,4034.84 ,3465.91 
2010-02-04,,3978.63 ,3423.47 
2010-02-05,,3860.83 ,3341.10 
2010-02-08,,3854.80 ,3310.04 
2010-02-09,,3877.25 ,3324.32 
2010-02-10,,3939.45 ,3373.08 
2010-02-11,,3946.90 ,3386.99 
2010-02-12,,4014.11 ,3437.70 
2010-02-22,,3971.18 ,3405.11 
2010-02-23,,3908.09 ,3364.89 
2010-02-24,,3964.51 ,3418.13 
2010-02-25,,4024.46 ,3464.76 
2010-02-26,,4002.95 ,3466.67 
2010-02-28,87283.63 ,,
2010-03-01,,4053.11 ,3500.78 
2010-03-02,,3997.64 ,3465.31 
2010-03-03,,4024.01 ,3477.47 
2010-03-04,,3928.40 ,3394.61 
2010-03-05,,3919.42 ,3394.28 
2010-03-08,,3951.65 ,3416.70 
2010-03-09,,3999.83 ,3435.09 
2010-03-10,,3999.35 ,3454.69 
2010-03-11,,4041.72 ,3518.31 
2010-03-12,,3980.41 ,3464.18 
2010-03-15,,3906.28 ,3414.11 
2010-03-16,,3935.83 ,3467.86 
2010-03-17,,4003.09 ,3516.44 
2010-03-18,,4010.07 ,3514.17 
2010-03-19,,4061.94 ,3559.01 
2010-03-22,,4075.03 ,3560.78 
2010-03-23,,4072.07 ,3550.66 
2010-03-24,,4062.14 ,3547.26 
2010-03-25,,4017.91 ,3517.44 
2010-03-26,,4105.13 ,3608.16 
2010-03-29,,4215.97 ,3672.54 
2010-03-30,,4220.20 ,3658.79 
2010-03-31,87628.10 ,4151.25 ,3598.29 
2010-04-01,,4201.56 ,3636.09 
2010-04-02,,4272.71 ,3677.74 
2010-04-06,,4261.71 ,3636.81 
2010-04-07,,4229.65 ,3605.87 
2010-04-08,,4128.59 ,3537.37 
2010-04-09,,4170.34 ,3564.47 
2010-04-12,,4101.03 ,3493.26 
2010-04-13,,4182.96 ,3566.70 
2010-04-14,,4179.79 ,3557.70 
2010-04-15,,4244.45 ,3609.59 
2010-04-16,,4157.90 ,3541.82 
2010-04-19,,3922.08 ,3360.01 
2010-04-20,,3874.96 ,3297.72 
2010-04-21,,3946.58 ,3328.47 
2010-04-22,,3893.70 ,3265.26 
