"","report.corp_name.index.","report.report_period.index.","report.净利润.index."
"1","北京时尚控股有限责任公司",2010-03-31 08:00:00,22995552.68
"2","北京时尚控股有限责任公司",2010-06-30 08:00:00,138720653.11
"3","北京时尚控股有限责任公司",2010-09-30 08:00:00,236345662.26
"4","北京时尚控股有限责任公司",2010-12-31 08:00:00,261277880.36
"5","北京时尚控股有限责任公司",2011-03-31 08:00:00,24584517.95
"6","北京时尚控股有限责任公司",2011-06-30 08:00:00,99515447.11
"7","北京时尚控股有限责任公司",2011-09-30 08:00:00,206032547.91
"8","北京时尚控股有限责任公司",2011-12-31 08:00:00,231042470.4
"9","北京时尚控股有限责任公司",2012-03-31 08:00:00,26506461.73
"10","北京时尚控股有限责任公司",2012-06-30 08:00:00,94509623.32
"11","北京时尚控股有限责任公司",2012-09-30 08:00:00,168566588.71
"12","北京时尚控股有限责任公司",2012-12-31 08:00:00,231613802.95
"13","北京时尚控股有限责任公司",2013-03-31 08:00:00,31925023.3
"14","北京时尚控股有限责任公司",2013-06-30 08:00:00,115370508.46
"15","北京时尚控股有限责任公司",2013-09-30 08:00:00,203566143.56
"16","北京时尚控股有限责任公司",2013-12-31 08:00:00,258072879.97
"17","北京时尚控股有限责任公司",2014-03-31 08:00:00,10288251.69
"18","北京时尚控股有限责任公司",2014-06-30 08:00:00,134869970.55
"19","北京时尚控股有限责任公司",2014-09-30 08:00:00,248106164.29
"20","北京时尚控股有限责任公司",2014-12-31 08:00:00,282438175.37
"21","北京时尚控股有限责任公司",2015-03-31 08:00:00,45029118.19
"22","北京时尚控股有限责任公司",2015-06-30 08:00:00,150738308.18
"23","北京时尚控股有限责任公司",2015-09-30 08:00:00,239531370.2
"24","北京时尚控股有限责任公司",2015-12-31 08:00:00,315078660.88
"25","北京时尚控股有限责任公司",2016-03-31 08:00:00,25654234.76
"26","北京时尚控股有限责任公司",2016-06-30 08:00:00,85374546.55
"27","北京时尚控股有限责任公司",2016-09-30 08:00:00,126266527.26
"28","北京时尚控股有限责任公司",2016-12-31 08:00:00,106889463.44
"29","北京时尚控股有限责任公司",2017-03-31 00:00:00,19264896.77
"30","中国中纺集团公司",2011-12-31 00:00:00,382818650.14
"31","中国中纺集团公司",2012-03-31 00:00:00,124120778.44
"32","中国中纺集团公司",2012-06-30 00:00:00,264400067.16
"33","中国中纺集团公司",2012-09-30 00:00:00,376481376.68
"34","中国中纺集团公司",2012-12-31 00:00:00,663330441.67
"35","中国中纺集团公司",2013-03-31 00:00:00,89054761.38
"36","中国中纺集团公司",2013-06-30 00:00:00,268504910.53
"37","中国中纺集团公司",2013-09-30 00:00:00,337044151.76
"38","中国中纺集团公司",2013-12-31 00:00:00,497748013.23
"39","中国中纺集团公司",2014-03-31 00:00:00,66564113.77
"40","中国中纺集团公司",2014-06-30 00:00:00,160795702.27
"41","中国中纺集团公司",2014-09-30 00:00:00,216513795.17
"42","天津天纺投资控股有限公司",2010-12-31 00:00:00,27823799.82
"43","天津天纺投资控股有限公司",2011-12-31 00:00:00,24624974.22
"44","天津天纺投资控股有限公司",2012-12-31 00:00:00,25756113.31
"45","天津天纺投资控股有限公司",2013-03-31 00:00:00,7973799.74
"46","天津天纺投资控股有限公司",2013-06-30 00:00:00,17925013.38
"47","天津天纺投资控股有限公司",2013-09-30 00:00:00,27578691.14
"48","天津天纺投资控股有限公司",2013-12-31 00:00:00,32922796.14
"49","天津天纺投资控股有限公司",2014-03-31 00:00:00,7214966.93
"50","天津天纺投资控股有限公司",2014-06-30 00:00:00,16277650.38
"51","天津天纺投资控股有限公司",2014-09-30 00:00:00,25909832.08
"52","天津天纺投资控股有限公司",2014-12-31 00:00:00,37548377.01
"53","天津天纺投资控股有限公司",2015-03-31 00:00:00,10540666.24
"54","天津天纺投资控股有限公司",2015-06-30 00:00:00,23800416.45
"55","天津天纺投资控股有限公司",2015-09-30 00:00:00,26627952.77
"56","天津天纺投资控股有限公司",2015-12-31 00:00:00,41650521.56
"57","天津天纺投资控股有限公司",2016-03-31 00:00:00,13378464.54
"58","天津天纺投资控股有限公司",2016-06-30 00:00:00,31554767.04
"59","天津天纺投资控股有限公司",2016-09-30 00:00:00,49575558.35
"60","天津天纺投资控股有限公司",2016-12-31 00:00:00,60805485.78
"61","天津天纺投资控股有限公司",2017-03-31 00:00:00,10579377.01
"62","内蒙古天首科技发展股份有限公司",2010-03-31 00:00:00,6853358.99
"63","内蒙古天首科技发展股份有限公司",2010-06-30 00:00:00,17774274.3
"64","内蒙古天首科技发展股份有限公司",2010-09-30 00:00:00,28972427.45
"65","内蒙古天首科技发展股份有限公司",2010-12-31 00:00:00,32929115.63
"66","内蒙古天首科技发展股份有限公司",2011-03-31 00:00:00,3337412.01
"67","内蒙古天首科技发展股份有限公司",2011-06-30 00:00:00,6142454.9
"68","内蒙古天首科技发展股份有限公司",2011-09-30 00:00:00,6142454.9
