指标名称,出口价格指数(HS2):第58章特种机织物;簇绒织物;花边;装饰毯;装饰带;刺绣品,出口价格指数(HS2):第59章浸渍、涂布、包裹或层压的纺织物;工业用纺织品,出口价格指数(HS2):第60章针织物及钩编织物,出口价格指数(HS2):第64章鞋靴、护腿和类似品及其零件,出口价格指数(HS2):第51章羊毛;动物细毛或粗毛;马毛、纱线及其机织物,现货价:棉花:中等级:布基纳法索RUDY,现货价:粗麻布:纽约,"市场价:全棉坯布:47""21*21 90*50","市场价:人棉坯布:50""30*30 68*68","市场价:涤棉坯布:T/C65/35 21*21 63""108*58","市场价:棉氨弹力布:64""32*32+40D 133*56斜纹","市场价:全棉牛仔布:47""10*7 70*42 3/1","市场价:亚麻粘混纺布:55/45 63""51*47 11*11","市场价:涤棉床上用品布:T/C80/20 82"" 30*30 76*54",产品价格指数:坯布:32支纯棉斜纹布,柯桥纺织:价格指数:坯布类:天然纤维,柯桥纺织:价格指数:坯布类:化学纤维,柯桥纺织:价格指数:坯布类:混纺纤维,中国通州家纺价格指数:宽幅斜纹布,市场价:涤纶长丝牛津布(150D*300D)):盛泽地区,溢流染加工费:牛津布(210克以上):盛泽地区,中国盛泽化纤价格指数:化纤面料:涤纶弹丝牛津布,产量:布:当月值,产量:纱:当月值,产量:棉布:当月值,产量:色织布(含牛仔布):当月值,产量:化学纤维布:当月值,产量:棉混纺布:当月值,产量:印染布:当月值,产量:亚麻布(含亚麻≥55%):当月值,产量:无纺布(无纺织物):当月值,产量:绒线(毛线):当月值,产量:毛机织物(呢绒):当月值,现货价:羊毛纤维(64S):美国,市场价:16支兔羊毛纱80/20,南京进口羊毛价格综合指数,进口数量:羊毛:当月值,纯化纤布:产量:累计值,市场价:腈纶曲珠纱:最低价,柯桥纺织:价格指数:原料类:涤纶,申万行业指数:毛纺,申万行业指数:棉纺,出口金额:毛纺机织物:当月值,申万行业指数:印染
2010-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5519.00 ,,,,,,,,
2010-01-04,,,,,,79.75 ,0.60 ,4.25 ,3.86 ,6.60 ,7.65 ,6.70 ,8.88 ,6.20 ,,107.36 ,93.57 ,91.81 ,99.76 ,2.80 ,,95.85 ,,,,,,,,,,,,2.48 ,,,,,,79.59 ,1933.66 ,2194.06 ,,1326.56 
2010-01-05,,,,,,80.25 ,0.60 ,,,,,,,,,,,,100.53 ,2.80 ,,95.72 ,,,,,,,,,,,,2.48 ,,,,,,,1938.52 ,2199.99 ,,1339.70 
2010-01-06,,,,,,78.25 ,0.60 ,,,,,,,,,,,,100.43 ,2.80 ,,95.74 ,,,,,,,,,,,,2.48 ,,,,,,,1933.04 ,2180.64 ,,1332.54 
2010-01-07,,,,,,78.75 ,0.60 ,,,,,,,,,,,,98.92 ,2.80 ,,95.74 ,,,,,,,,,,,,2.48 ,,,,,,,1892.53 ,2130.20 ,,1299.37 
2010-01-08,,,,,,78.25 ,0.60 ,,,,,,,,,,,,98.00 ,2.80 ,,95.71 ,,,,,,,,,,,,,,5542.00 ,,,,,1913.48 ,2144.67 ,,1305.60 
2010-01-11,,,,,,78.00 ,0.60 ,4.25 ,3.86 ,6.60 ,7.65 ,6.70 ,8.88 ,6.20 ,,107.51 ,92.11 ,91.11 ,97.64 ,2.80 ,,95.71 ,,,,,,,,,,,,,,,,,,79.86 ,1914.91 ,2190.31 ,,1336.63 
2010-01-12,,,,,,79.75 ,0.60 ,,,,,,,,,,,,97.24 ,,,95.71 ,,,,,,,,,,,,,89000.00 ,,,,26300.00 ,,1957.89 ,2257.36 ,,1355.41 
2010-01-13,,,,,,78.25 ,0.60 ,,,,,,,,,,,,97.42 ,2.80 ,,95.57 ,,,,,,,,,,,,,,,,,,,1939.10 ,2247.52 ,,1357.83 
2010-01-14,,,,,,79.00 ,0.60 ,,,,,,,,,,,,97.33 ,,,95.57 ,,,,,,,,,,,,,,,,,,,1980.49 ,2307.88 ,,1382.20 
2010-01-15,,,,,,78.50 ,0.60 ,,,,,,,,,,,,97.60 ,2.80 ,,95.57 ,,,,,,,,,,,,,,5673.00 ,,,,,2003.96 ,2325.66 ,,1377.37 
2010-01-18,,,,,,77.50 ,,,,,,,,,,107.32 ,92.01 ,89.96 ,97.85 ,2.80 ,,95.54 ,,,,,,,,,,,,,89000.00 ,,,,26300.00 ,80.01 ,2048.91 ,2374.19 ,,1398.29 
2010-01-19,,,,,,77.50 ,0.60 ,,,,,,,,,,,,97.44 ,2.80 ,,95.54 ,,,,,,,,,,,,,,,,,,,2024.92 ,2370.81 ,,1407.25 
2010-01-20,,,,,,77.00 ,0.60 ,,,,,,,,,,,,96.74 ,2.80 ,,95.73 ,,,,,,,,,,,,,,,,,,,1996.34 ,2297.11 ,,1348.84 
2010-01-21,,,,,,76.25 ,0.60 ,,,,,,,,,,,,96.59 ,2.80 ,,95.73 ,,,,,,,,,,,,,,,,,,,2047.04 ,2318.22 ,,1392.67 
2010-01-22,,,,,,77.25 ,0.60 ,,,,,,,,,,,,96.00 ,2.80 ,,95.73 ,,,,,,,,,,,,,,5815.00 ,,,,,1997.11 ,2273.05 ,,1329.84 
2010-01-25,,,,,,76.75 ,0.60 ,4.25 ,3.85 ,6.60 ,7.65 ,6.70 ,8.88 ,6.20 ,,107.36 ,91.72 ,90.14 ,95.19 ,2.80 ,,95.68 ,,,,,,,,,,,,,,,,,,80.11 ,1954.24 ,2219.00 ,,1308.69 
2010-01-26,,,,,,76.25 ,0.60 ,,,,,,,,,,,,95.56 ,,,95.70 ,,,,,,,,,,,,,89000.00 ,,,,26300.00 ,,1865.71 ,2115.82 ,,1257.97 
2010-01-27,,,,,,75.75 ,0.60 ,4.25 ,3.85 ,6.60 ,7.65 ,6.70 ,8.88 ,6.20 ,,,,,93.94 ,,,95.70 ,,,,,,,,,,,,,,,,,,,1836.19 ,2101.73 ,,1240.97 
2010-01-28,,,,,,75.50 ,0.60 ,,,,,,,,,,,,93.68 ,,,95.70 ,,,,,,,,,,,,,,,,,,,1855.51 ,2128.83 ,,1254.63 
2010-01-29,,,,,,75.50 ,0.60 ,,,,,,,,,,,,93.38 ,,,95.73 ,,,,,,,,,,,,,,5814.00 ,,,,,1863.49 ,2146.22 ,,1261.72 
2010-01-31,107.80 ,107.00 ,99.60 ,100.30 ,102.90 ,,,,,,,,,,,,,,,,,,45.81 ,195.35 ,253666.75 ,20087.00 ,125142.02 ,79272.87 ,409891.39 ,3013.27 ,122057.89 ,19215.43 ,3413.06 ,,,,26549.00 ,,,,,,2623.10 ,
2010-02-01,,,,,,75.50 ,0.60 ,4.25 ,3.85 ,6.60 ,7.65 ,6.70 ,8.88 ,6.20 ,,107.40 ,91.65 ,89.97 ,94.04 ,,,95.73 ,,,,,,,,,,,,,89000.00 ,,,,26300.00 ,80.35 ,1830.62 ,2102.79 ,,1228.07 
2010-02-02,,,,,,75.50 ,0.55 ,,,,,,,,,,,,93.05 ,2.80 ,,95.67 ,,,,,,,,,,,,,,,,,,,1820.84 ,2080.01 ,,1224.06 
2010-02-03,,,,,,76.50 ,0.55 ,,,,,,,,,,,,95.42 ,2.80 ,,95.67 ,,,,,,,,,,,,,,,,,,,1871.44 ,2123.32 ,,1268.16 
2010-02-04,,,,,,77.00 ,0.55 ,4.25 ,3.85 ,6.60 ,7.65 ,6.70 ,8.88 ,6.20 ,,,,,96.03 ,2.80 ,,95.67 ,,,,,,,,,,,,,,,,,,,1910.70 ,2159.35 ,,1274.76 
2010-02-05,,,,,,76.50 ,0.55 ,,,,,,,,,,,,94.88 ,2.80 ,,95.62 ,,,,,,,,,,,,,,5804.00 ,,,,,1878.75 ,2116.17 ,,1244.75 
2010-02-08,,,,,,75.00 ,0.55 ,4.25 ,3.85 ,6.60 ,7.65 ,6.70 ,8.88 ,6.20 ,,107.09 ,91.63 ,90.07 ,93.23 ,,,95.53 ,,,,,,,,,,,,,89000.00 ,,,,26300.00 ,80.44 ,1941.86 ,2113.98 ,,1249.78 
2010-02-09,,,,,,77.50 ,0.55 ,,,,,,,,,,,,92.79 ,,,95.48 ,,,,,,,,,,,,,,,,,,,1935.31 ,2109.10 ,,1252.60 
2010-02-10,,,,,,79.75 ,0.55 ,,,,,,,,,,,,87.71 ,,,95.36 ,,,,,,,,,,,,,,,,,,,1925.65 ,2137.21 ,,1263.13 
2010-02-11,,,,,,80.25 ,0.55 ,,,,,,,,,,,,,,,95.31 ,,,,,,,,,,,,,,,,,,,1907.43 ,2122.13 ,,1255.71 
2010-02-12,,,,,,80.25 ,0.55 ,,,,,,,,,,,,,,,95.31 ,,,,,,,,,,,,,,,,,,,1935.30 ,2150.37 ,,1265.22 
2010-02-15,,,,,,81.25 ,,,,,,,,,,,,,,,,95.19 ,,,,,,,,,,,,,,,,,,,,,,
2010-02-16,,,,,,81.25 ,0.55 ,,,,,,,,,,,,,,,95.14 ,,,,,,,,,,,,,,,,,,,,,,
2010-02-17,,,,,,82.50 ,0.55 ,,,,,,,,,,,,,,,95.08 ,,,,,,,,,,,,,,,,,,,,,,
2010-02-18,,,,,,82.50 ,0.55 ,,,,,,,,,,,,,,,94.97 ,,,,,,,,,,,,,,,,,,,,,,
2010-02-19,,,,,,84.00 ,0.55 ,,,,,,,,,,,,,,,94.91 ,,,,,,,,,,,,,,,,,,,,,,
