"","time","actual","pred"
"1",2011 Q1,77156908.1084105,63283120.6722707
"2",2011 Q2,71951624.2760031,71400823.8684562
"3",2011 Q3,53379186.5176698,62883411.8385406
"4",2011 Q4,43555378.4254091,33100755.4210979
"5",2012 Q1,38822997.2882486,34848031.4711972
"6",2012 Q2,46310138.9982486,51462651.5097427
"7",2012 Q3,46403130.3755367,45104991.5298675
"8",2012 Q4,21553139.2626316,35112074.6570854
"9",2013 Q1,50969282.7490058,46326278.6870364
"10",2013 Q2,57014178.5895322,61574508.3726971
"11",2013 Q3,65811821.2588304,56239183.3617879
"12",2013 Q4,68989433.3042857,51222036.489481
"13",2014 Q1,38936196.4767857,43123835.9920194
"14",2014 Q2,61245494.4461111,52798771.3755396
"15",2014 Q3,46813395.5558333,55353753.0243228
"16",2014 Q4,41080094.8539423,52540644.2151536
"17",2015 Q1,57875734.2445261,54826063.7309361
"18",2015 Q2,76628976.2270752,71686635.6510358
"19",2015 Q3,60457162.7017167,65894241.7942387
"20",2015 Q4,40826830.21225,48865095.5763905
"21",2016 Q1,55182805.0808844,67752965.3680387
"22",2016 Q2,86415793.1721088,93308849.0082052
"23",2016 Q3,74406754.5171528,73409872.3361197
"24",2016 Q4,107194189.939792,77666610.3865838
"25",2017 Q1,50448404.2352273,69643844.4793728
