"","time","actual","pred"
"1",2011 Q1,1546140456.31471,1504765758.65417
"2",2011 Q2,1504372309.45341,1521426691.16207
"3",2011 Q3,1525576212.8236,1497518026.87526
"4",2011 Q4,1585787963.00614,1631714466.61373
"5",2012 Q1,1389364672.55181,1381310299.4084
"6",2012 Q2,1504082185.11181,1506871516.70541
"7",2012 Q3,1492899696.76969,1561923653.1383
"8",2012 Q4,1708371957.52167,1688567538.06036
"9",2013 Q1,1485793220.93564,1424738427.36137
"10",2013 Q2,1561749560.3974,1590064355.40615
"11",2013 Q3,1565049510.36003,1523479606.88876
"12",2013 Q4,1622801729.33098,1639079667.45622
"13",2014 Q1,1463636387.50515,1426543198.57677
"14",2014 Q2,1645674030.22933,1574330481.54447
"15",2014 Q3,1572079086.15252,1584881775.89083
"16",2014 Q4,1441565665.72663,1451735071.49365
"17",2015 Q1,1300215492.56059,1368918930.90591
"18",2015 Q2,1407353117.32294,1498493691.73557
"19",2015 Q3,1498032382.1392,1492246781.23945
"20",2015 Q4,1593975989.8162,1542733380.46382
"21",2016 Q1,1438028605.31694,1468526722.72894
"22",2016 Q2,1613178639.21571,1580198686.47498
"23",2016 Q3,1795543056.98927,1799508438.43715
"24",2016 Q4,1868491886.19635,1860909371.40362
"25",2017 Q1,1726673396.97136,1735950672.09371
