"corp_name","report_period","营业总收入"
"北京时尚控股有限责任公司",2010-03-31 08:00:00,1347067077.13
"北京时尚控股有限责任公司",2010-06-30 08:00:00,3075036206.02
"北京时尚控股有限责任公司",2010-09-30 08:00:00,4973594869.07
"北京时尚控股有限责任公司",2010-12-31 08:00:00,6940310083.66
"北京时尚控股有限责任公司",2011-03-31 08:00:00,1571819358.67
"北京时尚控股有限责任公司",2011-06-30 08:00:00,3408285848.08
"北京时尚控股有限责任公司",2011-09-30 08:00:00,5214040468.5
"北京时尚控股有限责任公司",2011-12-31 08:00:00,7648366198.26
"北京时尚控股有限责任公司",2012-03-31 08:00:00,1496185382.02
"北京时尚控股有限责任公司",2012-06-30 08:00:00,3109845419.02
"北京时尚控股有限责任公司",2012-09-30 08:00:00,4879110111.06
"北京时尚控股有限责任公司",2012-12-31 08:00:00,7328842976.68
"北京时尚控股有限责任公司",2013-03-31 08:00:00,1730445098.57
"北京时尚控股有限责任公司",2013-06-30 08:00:00,3573481271.47
"北京时尚控股有限责任公司",2013-09-30 08:00:00,5392732969.82
"北京时尚控股有限责任公司",2013-12-31 08:00:00,7657545369.76
"北京时尚控股有限责任公司",2014-03-31 08:00:00,1482640045.49
"北京时尚控股有限责任公司",2014-06-30 08:00:00,3712804743.88
"北京时尚控股有限责任公司",2014-09-30 08:00:00,6108094747.48
"北京时尚控股有限责任公司",2014-12-31 08:00:00,9158094613.49
"北京时尚控股有限责任公司",2015-03-31 08:00:00,1870127159.13
"北京时尚控股有限责任公司",2015-06-30 08:00:00,4117929874.58
"北京时尚控股有限责任公司",2015-09-30 08:00:00,7005663605.72
"北京时尚控股有限责任公司",2015-12-31 08:00:00,11488675114.24
"北京时尚控股有限责任公司",2016-03-31 08:00:00,2161805107.03
"北京时尚控股有限责任公司",2016-06-30 08:00:00,5100762344.14
"北京时尚控股有限责任公司",2016-09-30 08:00:00,8109987524.55
"北京时尚控股有限责任公司",2016-12-31 08:00:00,11528817998.28
"北京时尚控股有限责任公司",2017-03-31 00:00:00,3019070114.79
"中国中纺集团公司",2011-12-31 00:00:00,34835194947.51
"中国中纺集团公司",2012-03-31 00:00:00,8808861826.78
"中国中纺集团公司",2012-06-30 00:00:00,19995211229.03
"中国中纺集团公司",2012-09-30 00:00:00,29833991440.1
"中国中纺集团公司",2012-12-31 00:00:00,44468417284.3
"中国中纺集团公司",2013-03-31 00:00:00,10813473060
"中国中纺集团公司",2013-06-30 00:00:00,22922466227.74
"中国中纺集团公司",2013-09-30 00:00:00,34164794962.28
"中国中纺集团公司",2013-12-31 00:00:00,46782391235.36
"中国中纺集团公司",2014-03-31 00:00:00,13153849801.3
"中国中纺集团公司",2014-06-30 00:00:00,28227049434.65
"中国中纺集团公司",2014-09-30 00:00:00,39400032056.76
"探路者控股集团股份有限公司",2010-03-31 00:00:00,67809552.45
"探路者控股集团股份有限公司",2010-06-30 00:00:00,154014301.79
"探路者控股集团股份有限公司",2010-09-30 00:00:00,254685042.77
"探路者控股集团股份有限公司",2010-12-31 00:00:00,434057101.3
"探路者控股集团股份有限公司",2011-03-31 00:00:00,115924715.63
"探路者控股集团股份有限公司",2011-06-30 00:00:00,249331750.23
"探路者控股集团股份有限公司",2011-09-30 00:00:00,429820218.8
"探路者控股集团股份有限公司",2011-12-31 00:00:00,753703565.8
