"","time","actual","pred"
"1",2011 Q1,72241495.1140678,69890326.7328428
"2",2011 Q2,60355405.2261429,60422260.3607741
"3",2011 Q3,72918556.1813757,67641804.444807
"4",2011 Q4,53787462.6576238,62242661.5823117
"5",2012 Q1,56291600.2448529,49763580.669932
"6",2012 Q2,52859577.1108411,52117939.7198178
"7",2012 Q3,57061363.6993421,55977083.5093215
"8",2012 Q4,44190667.5369907,42397584.2230145
"9",2013 Q1,57846393.3013699,51200635.355884
"10",2013 Q2,55616995.2882452,62593962.8657372
"11",2013 Q3,69482906.2135897,76979023.4748374
"12",2013 Q4,51876567.2717632,54909936.1023585
"13",2014 Q1,66420178.7974459,58565771.8394111
"14",2014 Q2,70050853.0723113,74458612.3215256
"15",2014 Q3,52337944.0829412,56488240.8743611
"16",2014 Q4,52543083.8655,52144715.4693108
"17",2015 Q1,85703044.1222619,84161051.1692935
"18",2015 Q2,96098401.6278646,86616246.0455156
"19",2015 Q3,59280167.4794961,64316556.4062083
"20",2015 Q4,53694963.97564,56417674.132039
"21",2016 Q1,89194876.946506,88619148.3924586
"22",2016 Q2,78276275.2132143,81143932.2701965
"23",2016 Q3,58150260.2478723,67405497.166848
"24",2016 Q4,98529776.1220707,79922189.9288876
"25",2017 Q1,77702438.596383,86114818.9380181
