"","time","actual","pred"
"1",2011 Q1,941827106.253333,932171228.134168
"2",2011 Q2,864583088.660865,844891963.761164
"3",2011 Q3,1057398092.75804,1174628802.80216
"4",2011 Q4,1052704385.03635,1054361523.5018
"5",2012 Q1,1048597888.73505,1005361916.71352
"6",2012 Q2,1058458972.41906,999368395.963958
"7",2012 Q3,1124084823.83886,1127654457.80673
"8",2012 Q4,980674817.581549,1016537937.14855
"9",2013 Q1,1265848957.7458,1280227254.26216
"10",2013 Q2,1010563871.30952,1105651478.50781
"11",2013 Q3,1135827816.26547,1114096208.62414
"12",2013 Q4,966732279.749813,974352030.373772
"13",2014 Q1,1163706317.21485,1083236512.24
"14",2014 Q2,988655160.568491,1023546298.17194
"15",2014 Q3,1293592904.04867,1283137089.63722
"16",2014 Q4,939771146.205129,988326618.907027
"17",2015 Q1,1059004468.70512,1134585084.37108
"18",2015 Q2,1211613886.93818,1175360827.92941
"19",2015 Q3,1154444716.2945,1073181075.81808
"20",2015 Q4,1009017816.88268,985564771.904092
"21",2016 Q1,1134228692.02386,1147783687.94772
"22",2016 Q2,1103388990.36321,1084329303.80234
"23",2016 Q3,1029294151.75053,1120430594.37801
"24",2016 Q4,1403820710.20293,1289255169.58278
"25",2017 Q1,1196504890.16894,1176305719.43115
