"","time","actual","pred"
"1",2011 Q1,-74658611.5388251,-40877312.1792793
"2",2011 Q2,32314996.8586111,10441561.5470944
"3",2011 Q3,70908351.8809524,29665109.6519985
"4",2011 Q4,40332123.1481533,59662307.2397455
"5",2012 Q1,39902400.6488889,49177174.4054604
"6",2012 Q2,85566431.4560185,101145289.460415
"7",2012 Q3,79009089.0332675,94186670.9658805
"8",2012 Q4,114381045.284083,142947770.797037
"9",2013 Q1,17414746.9572444,23568010.0083621
"10",2013 Q2,47979418.4874279,31761709.9354908
"11",2013 Q3,139040075.074701,81898043.0007654
"12",2013 Q4,114716497.835688,130252592.526292
"13",2014 Q1,16216545.8514286,22186869.6394431
"14",2014 Q2,42368030.9499524,69305500.223563
"15",2014 Q3,117262314.614215,71402859.4067737
"16",2014 Q4,138319562.527271,140282575.293932
"17",2015 Q1,75408009.9380159,77154738.9855318
"18",2015 Q2,126343438.873421,134202724.816777
"19",2015 Q3,70340567.4536047,111192881.320193
"20",2015 Q4,141814435.25968,123569800.801089
"21",2016 Q1,29227262.1327711,9991992.59799058
"22",2016 Q2,71776292.5287245,91669411.5935988
"23",2016 Q3,25508026.3069123,71809768.0514174
"24",2016 Q4,264298902.0057,217147519.402479
"25",2017 Q1,29186473.3161702,1230857.39202457
