"","time","variable","value"
"1",2011 Q1,"actual",1014332868.23017
"2",2011 Q2,"actual",917116396.401048
"3",2011 Q3,"actual",1133479733.13762
"4",2011 Q4,"actual",1098386899.1763
"5",2012 Q1,"actual",1108116661.26725
"6",2012 Q2,"actual",1107937509.6075
"7",2012 Q3,"actual",1172468296.71789
"8",2012 Q4,"actual",1005103640.13398
"9",2013 Q1,"actual",1372188707.96171
"10",2013 Q2,"actual",1069137004.91276
"11",2013 Q3,"actual",1226506867.77329
"12",2013 Q4,"actual",992343144.315803
"13",2014 Q1,"actual",1231712863.50416
"14",2014 Q2,"actual",1041470596.64727
"15",2014 Q3,"actual",1435456949.0669
"16",2014 Q4,"actual",899730583.876042
"17",2015 Q1,"actual",1127669420.08405
"18",2015 Q2,"actual",1283371044.6399
"19",2015 Q3,"actual",1214730097.42907
"20",2015 Q4,"actual",1036161760.3008
"21",2016 Q1,"actual",1208320435.86253
"22",2016 Q2,"actual",1161986593.4551
"23",2016 Q3,"actual",1074020379.08255
"24",2016 Q4,"actual",1454717787.02581
"25",2017 Q1,"actual",1266161408.71011
"26",2011 Q1,"pred",999591549.731335
"27",2011 Q2,"pred",952994835.274773
"28",2011 Q3,"pred",1085508740.06044
"29",2011 Q4,"pred",1138696660.46717
"30",2012 Q1,"pred",1099476250.12286
"31",2012 Q2,"pred",1068554459.93446
"32",2012 Q3,"pred",1191750451.76104
"33",2012 Q4,"pred",1014707617.06585
"34",2013 Q1,"pred",1404284123.76424
"35",2013 Q2,"pred",1022146483.07674
"36",2013 Q3,"pred",1197539685.361
"37",2013 Q4,"pred",1073303062.81742
"38",2014 Q1,"pred",1249776800.93512
"39",2014 Q2,"pred",1059280673.21407
"40",2014 Q3,"pred",1396096061.23546
"41",2014 Q4,"pred",960593886.055478
"42",2015 Q1,"pred",1045815070.14092
"43",2015 Q2,"pred",1235683637.68517
"44",2015 Q3,"pred",1282001985.01824
"45",2015 Q4,"pred",976739465.861271
"46",2016 Q1,"pred",1211037453.07304
"47",2016 Q2,"pred",1193533573.09759
"48",2016 Q3,"pred",1148447605.69809
"49",2016 Q4,"pred",1314940651.49457
"50",2017 Q1,"pred",1330126866.37329
