"corp_name","report_period","营业总收入"
"宁波亚洲浆纸业有限公司",2010-12-31,4861691291.59
"宁波亚洲浆纸业有限公司",2011-09-30,3397006195.61
"宁波亚洲浆纸业有限公司",2011-12-31,4796310735.2
"宁波亚洲浆纸业有限公司",2012-03-31,1023618763.55
"宁波亚洲浆纸业有限公司",2012-06-30,2232316841.78
"宁波亚洲浆纸业有限公司",2012-09-30,3210516248
"宁波亚洲浆纸业有限公司",2012-12-31,4411910303.6
"宁波亚洲浆纸业有限公司",2013-03-31,958994540.16
"宁波亚洲浆纸业有限公司",2013-06-30,1934055564.96
"宁波亚洲浆纸业有限公司",2013-09-30,2860998645.78
"宁波亚洲浆纸业有限公司",2013-12-31,3806884364.67
"宁波亚洲浆纸业有限公司",2014-03-31,829696346.01
"宁波亚洲浆纸业有限公司",2014-06-30,1707564962.3
"宁波亚洲浆纸业有限公司",2014-09-30,2432234130.72
"宁波亚洲浆纸业有限公司",2014-12-31,3322233478.04
"宁波亚洲浆纸业有限公司",2015-03-31,803680275.54
"宁波亚洲浆纸业有限公司",2015-12-31,3660429584.7
"宁波亚洲浆纸业有限公司",2016-03-31,787715978.02
"宁波亚洲浆纸业有限公司",2016-12-31,3618260713.62
"中冶纸业集团有限公司",2010-12-31,7969167941.82
"中冶纸业集团有限公司",2011-12-31,12746657081.78
"中冶纸业集团有限公司",2012-12-31,10367257696.46
"玖龙纸业(天津)有限公司",2010-12-31,1662884111.08
"玖龙纸业(天津)有限公司",2011-12-31,1963040065.85
"玖龙纸业(天津)有限公司",2012-12-31,4009713419.77
"玖龙纸业(天津)有限公司",2013-03-31,1122890949.66
"玖龙纸业(天津)有限公司",2013-06-30,2255747682.27
"玖龙纸业(天津)有限公司",2013-09-30,3540712278.56
"玖龙纸业(天津)有限公司",2013-12-31,5445818081.86
"玖龙纸业(天津)有限公司",2014-03-31,1245155632.19
"玖龙纸业(天津)有限公司",2014-06-30,2646033340.59
"玖龙纸业(天津)有限公司",2014-09-30,4244469159.78
"玖龙纸业(天津)有限公司",2014-12-31,5718897172.39
"玖龙纸业(天津)有限公司",2015-03-31,1405609888.13
"玖龙纸业(天津)有限公司",2015-06-30,2962210878.54
"玖龙纸业(天津)有限公司",2015-09-30,4531095588.01
"玖龙纸业(天津)有限公司",2015-12-31,6081191888.51
"玖龙纸业(天津)有限公司",2016-03-31,1460623575.67
"玖龙纸业(天津)有限公司",2016-06-30,2915585115.39
"玖龙纸业(天津)有限公司",2016-09-30,4573456436.45
"玖龙纸业(天津)有限公司",2016-12-31,6593266453.52
"玖龙纸业(天津)有限公司",2017-03-31,1458741005.72
"牡丹江恒丰纸业股份有限公司",2010-03-31,288698364.27
"牡丹江恒丰纸业股份有限公司",2010-06-30,555915479.89
"牡丹江恒丰纸业股份有限公司",2010-09-30,849566666.96
"牡丹江恒丰纸业股份有限公司",2010-12-31,1187216298.55
"牡丹江恒丰纸业股份有限公司",2011-03-31,314677841.97
