指标名称,进口数量:漂针木浆:当月值,进口数量:漂阔木浆:当月值,现货价:漂针木浆:北木:山东,现货价:漂阔木浆:金鱼:山东,(停止)国内平均价:天津:阔叶木化学浆:金鱼,"(停止)外商平均价:阔叶木化学浆:鹦鹉(巴西,CFR)",(停止)国内平均价:天津:针叶木化学浆:IP,"(停止)外商平均价:针叶木化学浆:北木(加拿大,CFR)",工业增加值:造纸及纸制品业:当月同比,工业增加值:印刷和记录媒介的复制业:当月同比,产量:机制纸及纸板:当月值,产量:新闻纸:当月值,产量:机制纸及纸板:当月同比,申万行业指数:造纸,行业市净率:造纸及纸制品业,国内平均价:铜版纸:北京:东帆(105g),国内平均价:白卡纸:广东:博汇:山东博汇(250g),出口交货值:造纸及纸制品业:当月值,HS:出口金额:当月值:第十类 木浆等;废纸;纸、纸板及其制品,产量:箱纸板:当月值,产量:纸制品:当月值,申万行业指数:物流,社会消费品零售总额:当月值,申万行业指数:出版
2010-01-04,,,,,,690.00 ,5100.00 ,730.00 ,,,,,,1962.65 ,,,,,,,,3947.61 ,,2064.88 
2010-01-05,,,,,,,,,,,,,,1977.35 ,,,,,,,,3988.06 ,,2100.14 
2010-01-06,,,,,,,,,,,,,,1975.40 ,,,,,,,,3957.54 ,,2087.36 
2010-01-07,,,,,,,,,,,,,,1942.72 ,,,,,,,,3850.53 ,,2059.40 
2010-01-08,,,,,,,,,,,,,,1964.14 ,,,,,,,,3885.32 ,,2086.00 
2010-01-11,,,,,,690.00 ,5100.00 ,730.00 ,,,,,,1963.39 ,,,,,,,,3924.27 ,,2139.84 
2010-01-12,,,,,,,,,,,,,,2007.60 ,,,,,,,,4027.07 ,,2169.90 
2010-01-13,,,,,,,,,,,,,,1990.98 ,,,,,,,,4012.10 ,,2222.41 
2010-01-14,,,,,,,,,,,,,,2039.38 ,,,,,,,,4107.36 ,,2286.87 
2010-01-15,,,,,,,,,,,,,,2063.56 ,,,,,,,,4135.39 ,,2253.23 
2010-01-18,,,,,,690.00 ,5500.00 ,760.00 ,,,,,,2089.34 ,,,,,,,,4216.30 ,,2290.76 
2010-01-19,,,,,,,,,,,,,,2111.70 ,,,,,,,,4207.15 ,,2294.00 
2010-01-20,,,,,,,,,,,,,,2038.81 ,,,,,,,,4031.33 ,,2216.97 
2010-01-21,,,,,,,,,,,,,,2039.25 ,,,,,,,,4058.68 ,,2219.81 
2010-01-22,,,,,,,,,,,,,,1984.80 ,,,,,,,,3944.20 ,,2167.29 
2010-01-25,,,,,,690.00 ,5500.00 ,760.00 ,,,,,,1965.90 ,,,,,,,,3857.75 ,,2155.23 
2010-01-26,,,,,,,,,,,,,,1887.70 ,,,,,,,,3732.21 ,,2045.33 
2010-01-27,,,,,,,,,,,,,,1864.85 ,,,,,,,,3682.61 ,,2029.63 
2010-01-28,,,,,,,,,,,,,,1879.81 ,,,,,,,,3706.90 ,,2074.50 
2010-01-29,,,,,,,,,,,,,,1886.17 ,,,,,,,,3728.70 ,,2101.49 
2010-01-31,,,,,,,,,,,745.58 ,37.00 ,40.45 ,,,,,40.40 ,834709.00 ,1044996.31 ,3043565.13 ,,12718.10 ,
2010-02-01,,,,,,690.00 ,5500.00 ,760.00 ,,,,,,1867.88 ,,,,,,,,3623.05 ,,2108.83 
2010-02-02,,,,,,,,,,,,,,1858.86 ,,,,,,,,3596.27 ,,2086.15 
2010-02-03,,,,,,,,,,,,,,1900.44 ,,,,,,,,3645.80 ,,2090.57 
2010-02-04,,,,,,,,,,,,,,1918.82 ,,,,,,,,3726.95 ,,2166.76 
2010-02-05,,,,,,,,,,,,,,1863.05 ,,,,,,,,3693.04 ,,2106.95 
2010-02-08,,,,,,720.00 ,5500.00 ,760.00 ,,,,,,1855.90 ,,,,,,,,3722.00 ,,2119.17 
2010-02-09,,,,,,,,,,,,,,1867.14 ,,,,,,,,3707.80 ,,2090.97 
2010-02-10,,,,,,,,,,,,,,1905.53 ,,,,,,,,3769.71 ,,2128.98 
2010-02-11,,,,,,,,,,,,,,1912.62 ,,,,,,,,3716.50 ,,2133.44 
2010-02-12,,,,,,,,,,,,,,1928.73 ,,,,,,,,3782.15 ,,2161.21 
2010-02-22,,,,,,720.00 ,5500.00 ,760.00 ,,,,,,1927.30 ,,,,,,,,3783.92 ,,2129.20 
2010-02-23,,,,,,,,,,,,,,1983.38 ,,,,,,,,3837.36 ,,2134.91 
2010-02-24,,,,,,,,,,,,,,1990.48 ,,,,,,,,3919.41 ,,2202.84 
2010-02-25,,,,,,,,,,,,,,2005.83 ,,,,,,,,3966.17 ,,2236.15 
2010-02-26,,,,,,,,,,,,,,2037.83 ,,,,,,,,3948.24 ,,2255.27 
2010-02-28,,,,,,,,,15.60 ,2.40 ,668.90 ,28.90 ,16.30 ,,,,,37.60 ,702230.00 ,850684.24 ,2744304.01 ,,12334.20 ,
2010-03-01,,,,,,750.00 ,6125.00 ,790.00 ,,,,,,2057.72 ,,,,,,,,4001.77 ,,2276.43 
2010-03-02,,,,,,,,,,,,,,2035.57 ,,,,,,,,4004.26 ,,2256.69 
2010-03-03,,,,,,,,,,,,,,2058.28 ,,,,,,,,4057.36 ,,2269.02 
2010-03-04,,,,,,,,,,,,,,1984.80 ,,,,,,,,3900.63 ,,2191.87 
2010-03-05,,,,,,,,,,,,,,1981.09 ,,,,,,,,3953.65 ,,2179.64 
2010-03-08,,,,,,750.00 ,7200.00 ,790.00 ,,,,,,2001.18 ,,,,,,,,4036.72 ,,2219.85 
2010-03-09,,,,,,,,,,,,,,2001.97 ,,,,,,,,4025.69 ,,2215.77 
2010-03-10,,,,,,,,,,,,,,2013.83 ,,,,,,,,4002.22 ,,2189.95 
2010-03-11,,,,,,,,,,,,,,2027.89 ,,,,,,,,3977.68 ,,2169.15 
2010-03-12,,,,,,,,,,,,,,1996.75 ,,,,,,,,3915.06 ,,2133.78 
