指标名称,产量:机制纸及纸板:当月值,产量:新闻纸:当月值,上海:规模以上工业总产值:造纸及纸制品业:当月值,PPI:造纸工业:当月同比,PPIRM:木材及纸浆类:当月同比,市场价:纸浆:漂白化学浆:全国,进口数量:纸浆:当月值,进口金额:纸及纸板(未切成形的):当月值,出口价格指数(SITC2):纸浆及废纸,出口价格指数:造纸及纸制品业,申万行业指数:造纸,Wind行业指数:纸与林木产品,企业家信心指数:预期指数:造纸及纸制品业,市场价:瓦楞纸:高强:全国,用电量占比:造纸及纸制品业,国废到厂价(不含税):旧报纸:东莞,国废到厂价(不含税):黄板纸:A级:东莞,国废到厂价(不含税):黄板纸:A级:广州,国废到厂价(不含税):旧报纸:江苏,国内平均价:华北:箱板纸,出厂平均价:瓦楞纸:玖龙:华东,出厂平均价:瓦楞纸:玖龙:华南,HS:出口金额:当月值:第十类 木浆等;废纸;纸、纸板及其制品
2010-01-04,,,,,,,,,,,1962.65 ,1673.97 ,,,,,,,,,,,
2010-01-05,,,,,,,,,,,1977.35 ,1680.55 ,,,,,,,,,,,
2010-01-06,,,,,,,,,,,1975.40 ,1682.03 ,,,,,,,,,,,
2010-01-07,,,,,,,,,,,1942.72 ,1651.44 ,,,,,,,,,,,
2010-01-08,,,,,,,,,,,1964.14 ,1667.83 ,,,,,,,,,,,
2010-01-11,,,,,,,,,,,1963.39 ,1672.64 ,,,,,,,,,,,
2010-01-12,,,,,,,,,,,2007.60 ,1710.61 ,,,,,,,,,,,
2010-01-13,,,,,,,,,,,1990.98 ,1694.64 ,,,,,,,,,,,
2010-01-14,,,,,,,,,,,2039.38 ,1740.66 ,,,,,,,,,,,
2010-01-15,,,,,,,,,,,2063.56 ,1762.08 ,,,,,,,,,,,
2010-01-18,,,,,,,,,,,2089.34 ,1788.42 ,,,,,,,,,,,
2010-01-19,,,,,,,,,,,2111.70 ,1799.78 ,,,,,,,,,,,
2010-01-20,,,,,,,,,,,2038.81 ,1735.07 ,,,,,,,,,,,
2010-01-21,,,,,,,,,,,2039.25 ,1741.52 ,,,,,,,,,,,
2010-01-22,,,,,,,,,,,1984.80 ,1688.29 ,,,,,,,,,,,
2010-01-25,,,,,,,,,,,1965.90 ,1672.41 ,,,,,,,,,,,
2010-01-26,,,,,,,,,,,1887.70 ,1605.44 ,,,,,,,,,,,
2010-01-27,,,,,,,,,,,1864.85 ,1585.81 ,,,,,,,,,,,
2010-01-28,,,,,,,,,,,1879.81 ,1596.56 ,,,,,,,,,,,
2010-01-29,,,,,,,,,,,1886.17 ,1607.54 ,,,,,,,,,,,
2010-01-31,745.58 ,37.00 ,,-1.00 ,-0.24 ,,108.00 ,27398.40 ,103.90 ,108.20 ,,,,,1.36 ,,,,,,,,834709.00 
2010-02-01,,,,,,,,,,,1867.88 ,1589.51 ,,,,,,,,,,,
2010-02-02,,,,,,,,,,,1858.86 ,1580.63 ,,,,,,,,,,,
2010-02-03,,,,,,,,,,,1900.44 ,1610.42 ,,,,,,,,,,,
2010-02-04,,,,,,,,,,,1918.82 ,1625.44 ,,,,,,,,,,,
2010-02-05,,,,,,,,,,,1863.05 ,1586.38 ,,,,,,,,,,,
2010-02-08,,,,,,,,,,,1855.90 ,1578.61 ,,,,,,,,,,,
2010-02-09,,,,,,,,,,,1867.14 ,1585.19 ,,,,,,,,,,,
2010-02-10,,,,,,,,,,,1905.53 ,1614.76 ,,,,,,,,,,,
2010-02-11,,,,,,,,,,,1912.62 ,1616.45 ,,,,,,,,,,,
2010-02-12,,,,,,,,,,,1928.73 ,1630.19 ,,,,,,,,,,,
2010-02-22,,,,,,,,,,,1927.30 ,1635.44 ,,,,,,,,,,,
2010-02-23,,,,,,,,,,,1983.38 ,1680.71 ,,,,,,,,,,,
2010-02-24,,,,,,,,,,,1990.48 ,1693.92 ,,,,,,,,,,,
2010-02-25,,,,,,,,,,,2005.83 ,1705.43 ,,,,,,,,,,,
2010-02-26,,,,,,,,,,,2037.83 ,1727.16 ,,,,,,,,,,,
2010-02-28,668.90 ,28.90 ,,0.14 ,-0.04 ,,75.00 ,20349.50 ,115.30 ,102.10 ,,,,,1.37 ,,,,,,,,702230.00 
2010-03-01,,,,,,,,,,,2057.72 ,1744.63 ,,,,,,,,,,,
2010-03-02,,,,,,,,,,,2035.57 ,1734.23 ,,,,,,,,,,,
2010-03-03,,,,,,,,,,,2058.28 ,1757.46 ,,,,,,,,,,,
2010-03-04,,,,,,,,,,,1984.80 ,1687.95 ,,,,,,,,,,,
2010-03-05,,,,,,,,,,,1981.09 ,1684.68 ,,,,,,,,,,,
2010-03-08,,,,,,,,,,,2001.18 ,1703.29 ,,,,,,,,,,,
2010-03-09,,,,,,,,,,,2001.97 ,1701.63 ,,,,,,,,,,,
2010-03-10,,,,,,,,,,,2013.83 ,1705.36 ,,,,,,,,,,,
2010-03-11,,,,,,,,,,,2027.89 ,1708.91 ,,,,,,,,,,,
2010-03-12,,,,,,,,,,,1996.75 ,1679.87 ,,,,,,,,,,,
2010-03-15,,,,,,,,,,,1971.51 ,1659.94 ,,,,,,,,,,,
2010-03-16,,,,,,,,,,,1983.19 ,1669.94 ,,,,,,,,,,,
2010-03-17,,,,,,,,,,,2045.75 ,1720.81 ,,,,,,,,,,,
2010-03-18,,,,,,,,,,,2050.27 ,1727.33 ,,,,,,,,,,,
2010-03-19,,,,,,,,,,,2067.09 ,1740.76 ,,,,,,,,,,,
2010-03-22,,,,,,,,,,,2072.67 ,1747.45 ,,,,,,,,,,,
2010-03-23,,,,,,,,,,,2024.50 ,1713.80 ,,,,,,,,,,,
2010-03-24,,,,,,,,,,,2023.86 ,1714.06 ,,,,,,,,,,,
