"","time","actual","pred"
"1",2011 Q1,45615285.7192929,61535986.4222595
"2",2011 Q2,47538172.3908081,40059064.2190471
"3",2011 Q3,47017977.8512626,28277596.8623116
"4",2011 Q4,-8024345.9489394,8102099.18179747
"5",2012 Q1,13904802.6470602,10751514.3734828
"6",2012 Q2,20405224.0953935,17401255.5196977
"7",2012 Q3,12707403.7721991,20891078.3046873
"8",2012 Q4,27808522.3372917,24034917.5540416
"9",2013 Q1,31273825.5954167,18879615.8733592
"10",2013 Q2,46493471.1572857,43720342.0649464
"11",2013 Q3,46913225.339,35789919.6462753
"12",2013 Q4,52979009.1207143,45616998.5784021
"13",2014 Q1,35367615.0940909,44006726.7354616
"14",2014 Q2,46809627.8322727,49154774.0264297
"15",2014 Q3,23509740.4898485,41010090.096441
"16",2014 Q4,41194460.5204688,43587271.4656774
"17",2015 Q1,35318768.6120313,34494045.3023366
"18",2015 Q2,57635301.4997396,55001154.8628122
"19",2015 Q3,54971560.5975521,60826097.0183971
"20",2015 Q4,64306211.0306989,59566353.627586
"21",2016 Q1,65687757.601371,70519600.0491238
"22",2016 Q2,86404061.3956389,99949267.6782054
"23",2016 Q3,100683408.201306,99008534.3230556
"24",2016 Q4,120995284.361972,115267616.105407
"25",2017 Q1,137975603.095,128040054.517534
