"","time","actual","pred"
"1",2011 Q1,1339286707.23806,1304396631.97526
"2",2011 Q2,1415246804.55533,1409384169.1647
"3",2011 Q3,1481819835.13972,1475271251.88008
"4",2011 Q4,1528443076.42689,1547346188.85149
"5",2012 Q1,1495221551.23616,1425831773.144
"6",2012 Q2,1562335602.98116,1514060551.49228
"7",2012 Q3,1544930658.62866,1576810425.23014
"8",2012 Q4,1595609777.48764,1645519662.67964
"9",2013 Q1,1413405952.63535,1451945278.44322
"10",2013 Q2,1592693768.10721,1614351652.88784
"11",2013 Q3,1606271403.83693,1618051687.95502
"12",2013 Q4,1722018035.42121,1717665211.92164
"13",2014 Q1,1595355353.46848,1614479125.30089
"14",2014 Q2,1721984283.40515,1711041432.47696
"15",2014 Q3,1759177976.64197,1722161539.5133
"16",2014 Q4,1812234924.00297,1796936870.03157
"17",2015 Q1,1566772559.28406,1598705263.64388
"18",2015 Q2,1725176434.29615,1704231469.14322
"19",2015 Q3,1746307333.87271,1730669695.97406
"20",2015 Q4,1808091256.1657,1865437403.49028
"21",2016 Q1,1653584537.12344,1734764685.3362
"22",2016 Q2,1815630667.35833,1844073157.01688
"23",2016 Q3,1860768811.66083,1873975717.31465
"24",2016 Q4,2112092185.57994,2043844748.54476
"25",2017 Q1,1922378980.91077,1855882884.05287
