"","time","actual","pred"
"1",2011 Q1,61140861.7272475,308618.37934497
"2",2011 Q2,72618461.6863384,-16924937.5239653
"3",2011 Q3,-44645958.6059946,-67759854.2776221
"4",2011 Q4,35428084.0081061,29746813.274824
"5",2012 Q1,66644436.502963,121932871.152973
"6",2012 Q2,202669392.516019,261198583.460963
"7",2012 Q3,101147885.967269,146378225.884501
"8",2012 Q4,346453618.665417,226203804.053149
"9",2013 Q1,39651245.2554861,12654683.7889448
"10",2013 Q2,16671639.1756429,175111147.324905
"11",2013 Q3,74091151.4210714,-61574329.8816008
"12",2013 Q4,188531868.925357,154878893.983341
"13",2014 Q1,122699963.391818,149011293.170975
"14",2014 Q2,252994764.657879,247836106.976262
"15",2014 Q3,56705358.8265152,116685510.910361
"16",2014 Q4,324380174.983594,294822219.44587
"17",2015 Q1,-298439.024687493,78047966.8617851
"18",2015 Q2,104880939.536354,111939852.107719
"19",2015 Q3,-131064354.143333,-147806578.120647
"20",2015 Q4,19339943.5752689,129814122.184825
"21",2016 Q1,-6962660.91201613,79318705.4017406
"22",2016 Q2,273526616.934361,347073591.805634
"23",2016 Q3,250321983.849028,143040290.070025
"24",2016 Q4,594483958.340694,415911860.031983
"25",2017 Q1,-104672899.791923,-31111422.9978176
