"","time","actual","pred"
"1",2011 Q1,1376015101.45672,1342971743.11035
"2",2011 Q2,1456783499.22944,1430308937.68859
"3",2011 Q3,1507440222.3552,1450878787.59291
"4",2011 Q4,1497247743.91439,1445401402.37081
"5",2012 Q1,1490028679.94153,1466192517.37313
"6",2012 Q2,1570194681.81736,1610666899.65566
"7",2012 Q3,1537668012.71319,1623632030.91645
"8",2012 Q4,1581516257.94458,1600560597.84291
"9",2013 Q1,1432851113.91083,1514322426.85124
"10",2013 Q2,1630876380.20714,1633423920.76384
"11",2013 Q3,1643794475.17829,1628370230.85483
"12",2013 Q4,1736980352.89286,1671989476.93234
"13",2014 Q1,1608101905.19712,1623873571.24785
"14",2014 Q2,1740654976.90803,1685987750.9542
"15",2014 Q3,1762077375.47879,1696354563.16004
"16",2014 Q4,1770051122.12188,1751978211.68232
"17",2015 Q1,1590570754.74367,1658656330.56984
"18",2015 Q2,1767301640.18055,1788087800.65344
"19",2015 Q3,1782459377.96367,1825277942.93432
"20",2015 Q4,1808155737.16895,1858874079.47233
"21",2016 Q1,1700064815.68121,1792064013.26458
"22",2016 Q2,1894218678.01147,1911554546.63827
"23",2016 Q3,1954215638.30631,1963141546.53689
"24",2016 Q4,2211190896.43531,2108244358.95091
"25",2017 Q1,2075976499.52115,2043622251.26158
