指标名称,产量:粗钢:当月值,产量:钢材:当月值
2010/1/31,5253.78 ,6176.13 
2010/2/28,5035.70 ,5559.20 
2010/3/31,5496.80 ,6824.20 
2010/4/30,5540.30 ,6910.70 
2010/5/31,5614.30 ,7121.80 
2010/6/30,5376.60 ,7143.60 
2010/7/31,5174.30 ,6767.30 
2010/8/31,5163.60 ,6968.30 
2010/9/30,4794.50 ,6542.60 
2010/10/31,5030.40 ,6529.30 
2010/11/30,5017.30 ,6589.30 
2010/12/31,5152.40 ,6784.30 
2011/1/31,5987.11 ,6733.35 
2011/2/28,5430.70 ,6353.60 
2011/3/31,5941.80 ,7602.20 
2011/4/30,5903.20 ,7315.30 
2011/5/31,6024.50 ,7637.30 
2011/6/30,5993.20 ,7872.70 
2011/7/31,5930.00 ,7571.70 
2011/8/31,5875.20 ,7700.00 
2011/9/30,5670.00 ,7635.60 
2011/10/31,5467.30 ,7306.90 
2011/11/30,4988.30 ,7010.20 
2011/12/31,5216.40 ,7106.70 
2012/1/31,5673.26 ,6802.61 
2012/2/29,5588.30 ,7127.05 
2012/3/31,6158.10 ,8332.80 
2012/4/30,6057.50 ,8106.90 
2012/5/31,6123.40 ,8167.10 
2012/6/30,6021.30 ,8447.40 
2012/7/31,6169.30 ,8122.30 
2012/8/31,5870.30 ,7880.50 
2012/9/30,5794.60 ,8043.70 
2012/10/31,5909.60 ,8181.00 
2012/11/30,5747.10 ,8123.10 
2012/12/31,5765.60 ,8137.50 
2013/1/31,6362.20 ,8159.90 
2013/2/28,6183.00 ,7666.80 
2013/3/31,6629.60 ,8961.40 
2013/4/30,6565.00 ,8760.60 
2013/5/31,6703.45 ,9119.18 
2013/6/30,6466.39 ,9083.13 
2013/7/31,6547.22 ,9074.60 
2013/8/31,6627.66 ,9193.48 
2013/9/30,6542.40 ,9355.08 
2013/10/31,6508.12 ,9280.46 
2013/11/30,6087.94 ,9032.16 
2013/12/31,6235.35 ,9041.11 
2014/1/31,6872.75 ,8707.95 
2014/2/28,6207.65 ,7865.25 
2014/3/31,7024.70 ,9506.50 
2014/4/30,6883.77 ,9249.90 
2014/5/31,7043.24 ,9682.33 
2014/6/30,6929.39 ,9804.41 
2014/7/31,6832.41 ,9476.31 
2014/8/31,6891.01 ,9497.53 
2014/9/30,6754.05 ,9574.98 
2014/10/31,6752.00 ,9525.00 
2014/11/30,6330.00 ,9205.00 
2014/12/31,6809.10 ,9822.00 
2015/1/31,6858.36 ,8830.80 
2015/2/28,6172.00 ,7976.20 
2015/3/31,6948.30 ,9756.00 
2015/4/30,6891.00 ,9641.00 
2015/5/31,6995.30 ,9848.00 
2015/6/30,6894.60 ,9843.00 
2015/7/31,6583.60 ,9230.00 
2015/8/31,6694.40 ,9449.00 
2015/9/30,6611.80 ,9469.00 
2015/10/31,6612.54 ,9426.91 
2015/11/30,6331.50 ,9396.10 
2015/12/31,6437.20 ,9528.10 
2016/3/31,7065.30 ,9922.50 
2016/4/30,6942.10 ,9667.60 
2016/5/31,7050.40 ,9946.10 
2016/6/30,6946.90 ,10071.50 
2016/7/31,6680.70 ,9593.60 
2016/8/31,6857.10 ,9790.60 
2016/9/30,6817.00 ,9809.30 
2016/10/31,6850.80 ,9767.90 
2016/11/30,6629.00 ,9540.40 
2016/12/31,6721.87 ,9571.14 
2017/3/31,7199.50 ,9676.40 
2017/4/30,7277.70 ,9489.80 
2017/5/31,7225.90 ,9578.20 
2017/6/30,7323.00 ,9757.00 
2017/7/31,7402.00 ,9667.00 
