指标名称,平均价:进口铁矿石,期货结算价(活跃合约):焦炭,价格:球团矿:62%:干基含税现汇出厂价:铜陵,车板价:连云港:澳大利亚:PB块矿:62.5%,市场价:无烟煤(2号洗中块):全国,消耗量:锰矿:全国:当月值,进口金额:按重量计氟化钙含量≤97%的萤石(25292100):当月同比,产量:天然气:当月值,价格:废钢,产量:生铁:当月值,进口金额:烧结用矿粉:当月值,产量:煤气:当月值,国家铁路:货运周转量:钢铁及有色金属
2010-01-01,,,,,,,,,2650.00 ,,,,
2010-01-04,,,1040.00 ,980.00 ,,,,,2650.00 ,,,,
2010-01-05,,,1115.00 ,1000.00 ,,,,,2650.00 ,,,,
2010-01-06,,,1115.00 ,1040.00 ,,,,,2650.00 ,,,,
2010-01-07,,,1115.00 ,1065.00 ,,,,,2650.00 ,,,,
2010-01-08,,,1115.00 ,1065.00 ,,,,,2650.00 ,,,,
2010-01-11,,,1115.00 ,1065.00 ,,,,,2650.00 ,,,,
2010-01-12,,,1115.00 ,1070.00 ,,,,,2650.00 ,,,,
2010-01-13,,,1115.00 ,1080.00 ,,,,,2650.00 ,,,,
2010-01-14,,,1115.00 ,1080.00 ,,,,,2650.00 ,,,,
2010-01-15,,,1115.00 ,1080.00 ,,,,,2650.00 ,,,,
2010-01-18,,,1115.00 ,1080.00 ,,,,,2650.00 ,,,,
2010-01-19,,,1115.00 ,1080.00 ,,,,,2700.00 ,,,,
2010-01-20,,,1115.00 ,1070.00 ,,,,,2700.00 ,,,,
2010-01-21,,,1115.00 ,1070.00 ,,,,,2700.00 ,,,,
2010-01-22,,,1115.00 ,1070.00 ,,,,,2700.00 ,,,,
2010-01-25,,,1115.00 ,1070.00 ,,,,,2700.00 ,,,,
2010-01-26,,,1120.00 ,1070.00 ,,,,,2700.00 ,,,,
2010-01-27,,,1120.00 ,1070.00 ,,,,,2700.00 ,,,,
2010-01-28,,,1120.00 ,1080.00 ,,,,,2700.00 ,,,,
2010-01-29,,,1120.00 ,1080.00 ,,,,,2700.00 ,,,,
2010-01-31,89.89 ,,,,,,217.46 ,82.87 ,,4973.49 ,28.92 ,3399248.68 ,
2010-02-01,,,1120.00 ,1080.00 ,,,,,2700.00 ,,,,
2010-02-02,,,1120.00 ,1085.00 ,,,,,2700.00 ,,,,
2010-02-03,,,1120.00 ,1085.00 ,,,,,2700.00 ,,,,
2010-02-04,,,1150.00 ,1085.00 ,,,,,2700.00 ,,,,
2010-02-05,,,1150.00 ,1085.00 ,,,,,2700.00 ,,,,
2010-02-08,,,1150.00 ,1085.00 ,,,,,2700.00 ,,,,
2010-02-09,,,1150.00 ,1085.00 ,,,,,2650.00 ,,,,
2010-02-10,,,1150.00 ,1085.00 ,,,,,2650.00 ,,,,
2010-02-11,,,1150.00 ,1085.00 ,,,,,2650.00 ,,,,
2010-02-12,,,,1085.00 ,,,,,,,,,
2010-02-20,,,1150.00 ,1085.00 ,,,,,,,,,
2010-02-21,,,1150.00 ,1085.00 ,,,,,,,,,
2010-02-22,,,1150.00 ,1085.00 ,,,,,2650.00 ,,,,
2010-02-23,,,1150.00 ,1110.00 ,,,,,2650.00 ,,,,
2010-02-24,,,1150.00 ,1130.00 ,,,,,2650.00 ,,,,
2010-02-25,,,1150.00 ,1130.00 ,,,,,2650.00 ,,,,
2010-02-26,,,1150.00 ,1130.00 ,,,,,2650.00 ,,,,
2010-02-28,95.94 ,,,,,,96.12 ,75.83 ,,4750.10 ,32.11 ,2863952.77 ,
2010-03-01,,,1185.00 ,1140.00 ,,,,,2650.00 ,,,,
2010-03-02,,,1185.00 ,1145.00 ,,,,,2650.00 ,,,,
2010-03-03,,,1185.00 ,1145.00 ,,,,,2650.00 ,,,,
2010-03-04,,,1185.00 ,1145.00 ,,,,,2650.00 ,,,,
2010-03-05,,,1185.00 ,1145.00 ,,,,,2650.00 ,,,,
2010-03-08,,,1185.00 ,1145.00 ,,,,,2700.00 ,,,,
2010-03-09,,,1200.00 ,1145.00 ,,,,,2700.00 ,,,,
2010-03-10,,,1200.00 ,1145.00 ,,,,,2700.00 ,,,,
2010-03-11,,,1200.00 ,1150.00 ,,,,,2700.00 ,,,,
2010-03-12,,,1200.00 ,1155.00 ,,,,,2700.00 ,,,,
2010-03-15,,,1200.00 ,1165.00 ,,,,,2700.00 ,,,,
2010-03-16,,,1200.00 ,1165.00 ,,,,,2700.00 ,,,,
2010-03-17,,,1200.00 ,1145.00 ,,,,,2700.00 ,,,,
2010-03-18,,,1260.00 ,1210.00 ,,,,,2700.00 ,,,,
2010-03-19,,,1260.00 ,1210.00 ,,,,,2750.00 ,,,,
2010-03-22,,,1260.00 ,1210.00 ,,,,,2750.00 ,,,,
2010-03-23,,,1260.00 ,1240.00 ,,,,,2750.00 ,,,,
2010-03-24,,,1315.00 ,1250.00 ,,,,,2750.00 ,,,,
2010-03-25,,,1315.00 ,1250.00 ,,,,,2750.00 ,,,,
2010-03-26,,,1315.00 ,1250.00 ,,,,,2750.00 ,,,,
2010-03-29,,,1315.00 ,1250.00 ,,,,,2750.00 ,,,,
2010-03-30,,,1315.00 ,1260.00 ,,,,,2750.00 ,,,,
2010-03-31,101.49 ,,1315.00 ,1260.00 ,,,-29.07 ,83.65 ,2750.00 ,5215.90 ,40.27 ,3086874.29 ,
2010-04-01,,,1450.00 ,1260.00 ,,,,,2750.00 ,,,,
2010-04-02,,,1450.00 ,1310.00 ,,,,,2750.00 ,,,,
2010-04-06,,,1450.00 ,1310.00 ,,,,,,,,,
2010-04-07,,,1450.00 ,1310.00 ,,,,,2850.00 ,,,,
2010-04-08,,,1450.00 ,1310.00 ,,,,,2850.00 ,,,,
2010-04-09,,,1450.00 ,1320.00 ,,,,,2860.00 ,,,,
2010-04-12,,,1450.00 ,1335.00 ,,,,,2860.00 ,,,,
2010-04-13,,,1520.00 ,1390.00 ,,,,,2860.00 ,,,,
2010-04-14,,,1520.00 ,1430.00 ,,,,,2950.00 ,,,,
2010-04-15,,,1520.00 ,1435.00 ,,,,,2950.00 ,,,,
2010-04-16,,,1520.00 ,1435.00 ,,,,,2950.00 ,,,,
2010-04-19,,,1520.00 ,1485.00 ,,,,,2950.00 ,,,,
2010-04-20,,,1625.00 ,1485.00 ,,,,,,,,,
2010-04-21,,,1625.00 ,1540.00 ,,,,,2930.00 ,,,,
2010-04-22,,,1625.00 ,1540.00 ,,,,,2930.00 ,,,,
2010-04-23,,,1625.00 ,1540.00 ,,,,,2930.00 ,,,,
2010-04-26,,,1625.00 ,1540.00 ,,,,,2930.00 ,,,,
2010-04-27,,,1625.00 ,1540.00 ,,,,,2930.00 ,,,,
2010-04-28,,,1625.00 ,1540.00 ,,,,,,,,,
2010-04-29,,,1625.00 ,1540.00 ,,,,,2930.00 ,,,,
2010-04-30,111.26 ,,1625.00 ,1540.00 ,,,81.66 ,76.21 ,,5162.30 ,43.81 ,3230472.51 ,
2010-05-04,,,1625.00 ,1540.00 ,,,,,,,,,
2010-05-05,,,1625.00 ,1540.00 ,,,,,2910.00 ,,,,
2010-05-06,,,1625.00 ,1540.00 ,,,,,,,,,
2010-05-07,,,1625.00 ,1540.00 ,,,,,2910.00 ,,,,
2010-05-10,,,1625.00 ,1540.00 ,,,,,,,,,
2010-05-11,,,1625.00 ,1540.00 ,,,,,,,,,
2010-05-12,,,1625.00 ,1490.00 ,,,,,,,,,
2010-05-13,,,1625.00 ,1470.00 ,,,,,,,,,
2010-05-14,,,1625.00 ,1460.00 ,,,,,2780.00 ,,,,
2010-05-17,,,,1460.00 ,,,,,,,,,
2010-05-18,,,1550.00 ,1450.00 ,,,,,,,,,
2010-05-19,,,1550.00 ,1445.00 ,,,,,,,,,
2010-05-20,,,1550.00 ,1420.00 ,,,,,,,,,
2010-05-21,,,1550.00 ,1400.00 ,,,,,2730.00 ,,,,
2010-05-24,,,1550.00 ,1390.00 ,,,,,,,,,
2010-05-25,,,1465.00 ,1390.00 ,,,,,,,,,
2010-05-26,,,1465.00 ,1370.00 ,,,,,,,,,
2010-05-27,,,1465.00 ,1370.00 ,,,,,,,,,
2010-05-28,,,1465.00 ,1370.00 ,,,,,2730.00 ,,,,
2010-05-31,128.52 ,,1465.00 ,1370.00 ,,,139.72 ,73.45 ,,5226.30 ,44.50 ,2954076.15 ,
2010-06-01,,,1465.00 ,1370.00 ,,,,,,,,,
2010-06-02,,,1440.00 ,1370.00 ,,,,,,,,,
2010-06-03,,,1440.00 ,1370.00 ,,,,,,,,,
2010-06-04,,,1440.00 ,1370.00 ,,,,,2730.00 ,,,,
2010-06-07,,,1440.00 ,,,,,,,,,,
2010-06-08,,,1440.00 ,1370.00 ,,,,,2700.00 ,,,,
2010-06-09,,,1440.00 ,1370.00 ,,,,,,,,,
2010-06-10,,,1440.00 ,1370.00 ,,,,,,,,,
2010-06-11,,,1440.00 ,1370.00 ,,,,,2680.00 ,,,,
2010-06-12,,,1440.00 ,1370.00 ,,,,,,,,,
2010-06-13,,,1440.00 ,1370.00 ,,,,,,,,,
2010-06-17,,,1440.00 ,1370.00 ,,,,,,,,,
2010-06-18,,,1440.00 ,1350.00 ,,,,,2680.00 ,,,,
2010-06-21,,,,1350.00 ,,,,,,,,,
