时间,汽车制造:主营业务收入:累计值,铁路、船舶、航空航天和其他运输设备制造业:主营业务收入:累计值,电气机械及器材制造业:主营业务收入:累计值
2010-02,56067429.90 ,70758849.20 ,47438679.30 
2010-05,161784172.80 ,207555596.80 ,148107264.20 
2010-08,259272578.80 ,339248439.70 ,257617832.50 
2010-11,371085092.00 ,489310562.80 ,377081210.20 
2011-02,67972726.80 ,86598989.00 ,60075504.10 
2011-03,109726621.60 ,142189015.50 ,98387764.10 
2011-04,149320332.70 ,193229530.40 ,137462198.40 
2011-05,186730046.50 ,243406049.50 ,178357888.20 
2011-06,225614033.60 ,298960584.60 ,226099963.60 
2011-07,261291688.70 ,346768018.60 ,266461448.40 
2011-08,299026631.20 ,397103632.80 ,309473058.50 
2011-09,341709097.50 ,454375397.00 ,355451028.30 
2011-10,382700853.20 ,508406178.40 ,398099016.90 
2011-11,427328903.30 ,567077040.40 ,445937124.40 
2011-12,474193677.20 ,636549754.90 ,496081421.20 
2012-02,70329186.50 ,18807037.60 ,65274298.50 
2012-03,117905073.40 ,32304487.50 ,109079303.60 
2012-04,159340057.00 ,44907524.90 ,151067008.40 
2012-05,200274026.00 ,57212847.50 ,194920748.70 
2012-06,243496527.00 ,74010023.30 ,243942012.10 
2012-07,282665246.20 ,85034732.40 ,286512091.00 
2012-08,324953630.30 ,97423793.50 ,330271639.30 
2012-09,369295082.90 ,112012693.00 ,377156861.00 
2012-10,410572415.40 ,125308985.30 ,423743408.60 
2012-11,457150073.30 ,139229012.40 ,474289153.80 
2012-12,505315545.80 ,160136042.60 ,532872347.20 
2013-02,80511768.00 ,19293306.60 ,74142996.40 
2013-03,132475641.60 ,33836732.40 ,124713430.60 
2013-04,182473488.80 ,45160222.70 ,173381380.10 
2013-05,232819078.30 ,57223112.80 ,225567268.90 
2013-06,285227755.90 ,73104736.70 ,279979158.70 
2013-07,330164395.80 ,84480066.70 ,328144819.20 
2013-08,377574584.20 ,96087046.80 ,377773636.40 
2013-09,431690620.10 ,111730378.70 ,431270138.40 
2013-10,484830443.20 ,126114956.60 ,485623608.80 
2013-11,543138448.70 ,141571682.20 ,544759795.20 
2013-12,605400049.00 ,165451196.50 ,610181388.50 
2014-02,94571283.10 ,18281303.60 ,82760385.40 
2014-03,153263758.80 ,31134954.00 ,138864586.80 
2014-04,208172575.40 ,42568195.60 ,190619556.90 
2014-05,263382236.60 ,54890057.70 ,246764922.00 
2014-06,319915626.00 ,70084939.20 ,308855659.00 
2014-07,371114874.90 ,81207977.90 ,362218758.80 
2014-08,422000079.80 ,93498512.00 ,415890823.10 
2014-09,479281263.90 ,107515222.10 ,477408184.20 
2014-10,537427082.90 ,121660661.30 ,534512037.20 
2014-11,596859310.20 ,137459392.10 ,596508707.80 
2014-12,666770114.90 ,155683571.80 ,665787860.20 
2015-02,101106202.00 ,20500006.80 ,87947231.80 
2015-03,161716390.60 ,34167159.20 ,145396865.20 
2015-04,218518288.90 ,46445429.40 ,198326148.90 
2015-05,274969428.70 ,58814472.20 ,255620616.80 
2015-06,333220506.70 ,74120276.30 ,320123766.90 
2015-07,384041661.20 ,86933622.80 ,376270778.00 
2015-08,434549618.20 ,99524503.40 ,433965525.00 
2015-09,493268723.80 ,114093946.50 ,496967068.60 
2015-10,556019739.00 ,128454986.80 ,557291883.90 
2015-11,626172000.00 ,143324000.00 ,621036000.00 
2015-12,701569000.00 ,162805000.00 ,694750000.00 
2016-02,109474000.00 ,20937000.00 ,91861000.00 
2016-03,177258000.00 ,34783000.00 ,153922000.00 
2016-04,239747000.00 ,46831000.00 ,210570000.00 
2016-05,301133000.00 ,59580000.00 ,269975000.00 
2016-06,367595000.00 ,75343000.00 ,339570000.00 
2016-07,427346000.00 ,88163000.00 ,397857000.00 
2016-08,488088000.00 ,100721000.00 ,457809000.00 
2016-09,561069000.00 ,115187000.00 ,521645000.00 
2016-10,633238000.00 ,128982000.00 ,585348000.00 
2016-11,714554000.00 ,144362000.00 ,654839000.00 
2016-12,801858000.00 ,164080000.00 ,733577000.00 
2017-02,127041000.00 ,20709000.00 ,99242000.00 
2017-03,203337000.00 ,35594000.00 ,167695000.00 
2017-04,270322000.00 ,48596000.00 ,230157000.00 
2017-05,338522000.00 ,62182000.00 ,298820000.00 
2017-06,412831000.00 ,79786000.00 ,377957000.00 
