,Myspic综合钢价指数,MySpic指数:长材,MySpic指数:扁平,钢材价格综合指数,MySpic指数:螺纹,MySpic指数:线材,MySpic指数:型材,MySpic指数:中厚,MySpic指数:热卷,MySpic指数:窄带,MySpic指数:冷板,MySpic指数:镀锌,MySpic指数:无缝管,MySpic指数:焊管,产量:焦炭:当月值,申万行业指数:焦炭加工,期货结算价(活跃合约):焦炭,期货结算价(活跃合约):焦煤,市场价(不含税):废钢:6-8mm:唐山,市场价(不含税):废钢:6-8mm:马鞍山,固定资产投资完成额:黑色金属矿采选业:累计值,固定资产投资完成额:制造业:黑色金属冶炼及压延加工业:累计值,螺纹钢:主要钢厂产能:全国,产能:粗钢,产能利用率:粗钢,淘汰落后产能:炼铁:任务完成量:全国,产量:铁矿石原矿量:当月值,进口金额:铁矿砂及其精矿:当月值,平均价:进口铁矿石,期货结算价(活跃合约):螺纹钢,期货结算价(活跃合约):线材,期货结算价(活跃合约):铁矿石,期货结算价(活跃合约):热轧卷板,期货结算价(活跃合约):锰硅,期货结算价(活跃合约):硅铁,铁矿石价格指数:62%Fe:CFR中国北方,MyIpic指数:进口矿:综合,MyIpic指数:国产矿:综合,价格:废钢,价格:钢坯,必和必拓:产量:铁矿石:当季值,淡水河谷:产量:铁矿石:当季值,力拓:产量:铁矿石:当季值,FMG:产量:铁矿石:当季值,到厂价(含税):二级冶金焦:上海,净出口数量:粗钢:当月值,出口平均单价:钢材:当月值,GDP:现价:房地产业:当季值,固定资产投资完成额:房地产业:累计值,固定资产投资完成额:基础设施建设投资:累计值,公共投资:重点基础设施建设投资,上海:规模以上工业总产值:电气机械及器材制造业:当月值,上海:规模以上工业总产值:铁路、船舶、航空航天和其他运输设备制造业:当月值,上海:规模以上工业总产值:汽车制造业:当月值,钢材:产量:累计值,钢材:销量:累计值,库存:螺纹钢,库存:线材,库存:热卷(板),库存:中板,库存:冷轧,房地产开发计划总投资:累计值,库存:汽车,螺纹钢:独联体:最高价(FOB),螺纹钢:美国:最高价(CIF),螺纹钢:日本:最高价(FOB),螺纹钢:西欧:平均价(FOB),唐山钢厂:高炉开工数,波罗的海干散货指数(BDI),唐山钢厂:产能利用率,唐山钢厂:在产产能
2010-01-01,143.20 ,155.50 ,131.20 ,,152.70 ,158.90 ,,144.50 ,140.60 ,,131.80 ,102.80 ,,,,,,,,,,,,,,,,,,,,,,,,,119.20 ,114.40 ,2650.00 ,3600.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,146.20 ,157.70 ,133.10 ,,154.80 ,161.00 ,,145.70 ,141.90 ,,132.40 ,103.20 ,,,,2793.66 ,,,2550.00 ,,,,,,,,,,,4576.00 ,4350.00 ,,,,,,,,2650.00 ,3400.00 ,,,,,,,,,,,,,,,,,,,,,,,,440.00 ,,,,,3140.00 ,,
2010-01-05,146.70 ,158.40 ,133.50 ,,155.50 ,161.80 ,,146.20 ,142.40 ,,132.70 ,103.30 ,,,,2932.37 ,,,2550.00 ,,,,,,,,,,,4590.00 ,4352.00 ,,,,,,,,2650.00 ,3420.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270.00 ,,
2010-01-06,147.30 ,159.20 ,133.80 ,,156.00 ,163.00 ,,146.60 ,142.50 ,,133.10 ,103.90 ,,,,2970.73 ,,,2550.00 ,,,,,,,,,,,4620.00 ,4372.00 ,,,,,,,,2650.00 ,3450.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,355.00 ,,3259.00 ,,
2010-01-07,147.90 ,159.90 ,134.40 ,,156.70 ,163.60 ,,147.60 ,143.30 ,,133.30 ,104.00 ,,,,2895.08 ,,,2550.00 ,,,,,,,,,,,4539.00 ,4310.00 ,,,,,,,,2650.00 ,3500.00 ,,,,,,,,,,,,,,,,,,,,,,,,,445.00 ,,,,3149.00 ,,
2010-01-08,147.30 ,159.40 ,133.80 ,,155.90 ,163.40 ,,147.50 ,142.10 ,,133.10 ,103.90 ,,,,2883.01 ,,,2600.00 ,,,,,,,,,,,4456.00 ,4259.00 ,,,,,,128.00 ,120.00 ,2650.00 ,3500.00 ,,,,,,,,,,,,,,,,,470.51 ,118.68 ,428.29 ,122.15 ,123.99 ,,,,,,,123.00 ,3140.00 ,,
2010-01-11,147.00 ,158.50 ,134.00 ,,154.80 ,162.70 ,,147.50 ,142.50 ,,133.10 ,103.90 ,,,,2865.80 ,,,2700.00 ,,,,,,,,,,,4502.00 ,4300.00 ,,,,,,,,2650.00 ,3500.00 ,,,,,,,,,,,,,,,,,,,,,,,,455.00 ,,,,,3148.00 ,,
2010-01-12,147.10 ,158.40 ,134.20 ,,154.70 ,162.70 ,,147.50 ,142.90 ,,133.10 ,104.00 ,,,,2905.34 ,,,2700.00 ,,,,,,,,,,,4503.00 ,4293.00 ,,,,,,,,2650.00 ,3500.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3160.00 ,,
2010-01-13,147.10 ,158.50 ,134.00 ,,154.70 ,163.00 ,,147.50 ,142.30 ,,133.30 ,104.30 ,,,,2845.41 ,,,2700.00 ,,,,,,,,,,,4420.00 ,4215.00 ,,,,,,,,2650.00 ,3500.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,365.00 ,,3175.00 ,,
2010-01-14,147.00 ,158.40 ,134.10 ,,154.60 ,162.80 ,,147.50 ,142.60 ,,133.20 ,104.30 ,,,,2875.75 ,,,2650.00 ,,,,,,,,,,,4448.00 ,4246.00 ,,,,,,,,2650.00 ,3450.00 ,,,,,,,,,,,,,,,,,,,,,,,,,505.00 ,,,,3235.00 ,,
