"","time","actual","pred"
"1",2011 Q1,12666637884.4869,12636472952.7758
"2",2011 Q2,14001555067.8654,14058533763.2539
"3",2011 Q3,13811073881.178,14947084553.3898
"4",2011 Q4,14179338437.5788,13816881460.0802
"5",2012 Q1,12683701479.0864,12327860022.414
"6",2012 Q2,13386502668.9992,13366233622.9581
"7",2012 Q3,12652153804.1814,12851483831.8981
"8",2012 Q4,13029434899.468,12984915294.8443
"9",2013 Q1,12684173834.3204,12527337982.8933
"10",2013 Q2,13382284458.8187,12809737847.8643
"11",2013 Q3,13447944962.2085,13386150342.2185
"12",2013 Q4,13910802838.8439,14012123865.1855
"13",2014 Q1,12648111266.6377,12360707004.1497
"14",2014 Q2,13338870133.2803,13096419115.3318
"15",2014 Q3,12842204034.4736,12812443580.613
"16",2014 Q4,12349865227.6151,12670447190.9158
"17",2015 Q1,10870766729.3289,10597747241.3567
"18",2015 Q2,10952550350.2995,10885568233.8992
"19",2015 Q3,10654538605.2973,10410825634.4633
"20",2015 Q4,11005756900.489,10474630489.2602
"21",2016 Q1,8808641971.14268,10086823942.6253
"22",2016 Q2,9932165879.47964,10588393129.428
"23",2016 Q3,10139483484.6269,10076487288.3669
"24",2016 Q4,12865522575.307,12917031690.7752
"25",2017 Q1,13797650942.2622,13339392236.3147
