"","time","variable","value"
"1",2010 Q2,"actual",322870648.219239
"2",2010 Q3,"actual",141610939.480109
"3",2010 Q4,"actual",243608849.671268
"4",2011 Q1,"actual",207893004.84331
"5",2011 Q2,"actual",297446812.554282
"6",2011 Q3,"actual",181249670.859907
"7",2011 Q4,"actual",-95861608.0494444
"8",2012 Q1,"actual",-132050668.986733
"9",2012 Q2,"actual",-34868004.8004667
"10",2012 Q3,"actual",-273872968.744533
"11",2012 Q4,"actual",-248047163.975067
"12",2013 Q1,"actual",-14833364.3547444
"13",2013 Q2,"actual",-39853703.3184778
"14",2013 Q3,"actual",28883070.9949201
"15",2013 Q4,"actual",-16476544.0803767
"16",2014 Q1,"actual",-69980543.2338889
"17",2014 Q2,"actual",2579745.89597222
"18",2014 Q3,"actual",79145256.6304286
"19",2014 Q4,"actual",-230288612.002174
"20",2015 Q1,"actual",-147507745.283345
"21",2015 Q2,"actual",-129464551.46935
"22",2015 Q3,"actual",-593103722.696057
"23",2015 Q4,"actual",-1573066365.28637
"24",2016 Q1,"actual",-275222940.390025
"25",2016 Q2,"actual",168950590.846821
"26",2016 Q3,"actual",78648520.5401344
"27",2016 Q4,"actual",-46154933.0924561
"28",2017 Q1,"actual",372654640.239216
"29",2010 Q2,"pred",80847292.77867
"30",2010 Q3,"pred",-36956692.2797245
"31",2010 Q4,"pred",172243407.931098
"32",2011 Q1,"pred",114338164.491842
"33",2011 Q2,"pred",419858067.894691
"34",2011 Q3,"pred",304605248.869072
"35",2011 Q4,"pred",73189192.2629429
"36",2012 Q1,"pred",-68654161.8277952
"37",2012 Q2,"pred",39279571.1526853
"38",2012 Q3,"pred",-235680665.567774
"39",2012 Q4,"pred",-7396999.3316471
"40",2013 Q1,"pred",-37348190.5627929
"41",2013 Q2,"pred",-25351030.9696692
"42",2013 Q3,"pred",-181226729.643565
"43",2013 Q4,"pred",-193908871.29502
"44",2014 Q1,"pred",-28827191.5690862
"45",2014 Q2,"pred",188221971.902848
"46",2014 Q3,"pred",129969047.226923
"47",2014 Q4,"pred",-166741893.407612
"48",2015 Q1,"pred",-186258396.971698
"49",2015 Q2,"pred",-328469226.747757
"50",2015 Q3,"pred",-519945821.122245
"51",2015 Q4,"pred",-1085956447.09872
"52",2016 Q1,"pred",-514315562.892632
"53",2016 Q2,"pred",-63635045.2546458
"54",2016 Q3,"pred",-5588589.61767834
"55",2016 Q4,"pred",-247873614.314418
"56",2017 Q1,"pred",616471476.975805
