"","time","actual","pred"
"1",2011 Q2,610054094.717454,520626652.623402
"2",2011 Q3,507566719.959676,578004586.697199
"3",2011 Q4,1052126425.80208,1037579075.03795
"4",2012 Q1,269504779.521344,300059663.754986
"5",2012 Q2,431819367.688811,344979073.612831
"6",2012 Q3,468044720.915144,584308857.839354
"7",2012 Q4,1158834084.31017,1079235362.85983
"8",2013 Q1,399325152.5514,257681501.133746
"9",2013 Q2,504739693.272733,670851243.097176
"10",2013 Q3,466037769.06,576031450.127283
"11",2013 Q4,790574425.705616,807755287.218131
"12",2014 Q1,540537224.25684,546208136.535474
"13",2014 Q2,1187018291.54059,1158390493.95822
"14",2014 Q3,901690810.502964,601734428.590498
"15",2014 Q4,787893257.510254,907349254.176966
"16",2015 Q1,346210017.110543,431835883.879043
"17",2015 Q2,592185162.920919,698458414.126629
"18",2015 Q3,553866178.484216,504394169.819629
"19",2015 Q4,454454519.06793,776579404.725611
"20",2016 Q1,441480933.327929,378094591.798779
"21",2016 Q2,795229732.093436,758991895.340686
"22",2016 Q3,656044322.148038,539918576.762718
"23",2016 Q4,1409279592.30342,1191680007.96344
"24",2017 Q1,560202966.290392,633972229.382331
