"","time","actual","pred"
"1",2011 Q1,12912178859.312,13025335901.3119
"2",2011 Q2,14274386201.6188,14235371250.1146
"3",2011 Q3,14019723366.4792,14813684182.9716
"4",2011 Q4,13965341159.905,13900351715.0834
"5",2012 Q1,12528650682.3592,12709637159.0273
"6",2012 Q2,13275636890.589,13036376029.1611
"7",2012 Q3,12304679173.4001,12531358215.2645
"8",2012 Q4,12588714364.203,12369526792.5439
"9",2013 Q1,12659654849.2009,12672793615.4531
"10",2013 Q2,13317168684.1102,13088367577.6181
"11",2013 Q3,13414918874.5932,13135449399.1288
"12",2013 Q4,13672259114.5794,13560577778.7922
"13",2014 Q1,12567315030.1411,13085382816.0432
"14",2014 Q2,13285873271.0916,13038025294.6498
"15",2014 Q3,12878285574.806,12517327955.7103
"16",2014 Q4,11993813812.9295,11858288758.0074
"17",2015 Q1,10674525531.2143,10347172739.2484
"18",2015 Q2,10684524871.7773,10032020922.0662
"19",2015 Q3,9840089643.8996,9949661373.45341
"20",2015 Q4,9278328295.91477,9470506882.68229
"21",2016 Q1,8482262168.97919,8798980668.6992
"22",2016 Q2,10360353208.0577,11162735729.0071
"23",2016 Q3,11175016575.0213,11232491302.507
"24",2016 Q4,12248380447.5112,12582701575.9972
"25",2017 Q1,14140742968.9871,13388697986.1385
