"","corp_name","report_period","营业总收入"
"31112","鹏欣环球资源股份有限公司",2010-03-31,196135073.73
"31113","鹏欣环球资源股份有限公司",2010-06-30,408238124.42
"31114","鹏欣环球资源股份有限公司",2010-09-30,606935030.86
"31115","鹏欣环球资源股份有限公司",2010-12-31,810887859.69
"31116","鹏欣环球资源股份有限公司",2011-03-31,95417088.17
"31117","鹏欣环球资源股份有限公司",2011-06-30,149269524.03
"31118","鹏欣环球资源股份有限公司",2011-09-30,296052247.15
"31119","鹏欣环球资源股份有限公司",2011-12-31,392268150.45
"31120","鹏欣环球资源股份有限公司",2012-03-31,81067529.92
"31121","鹏欣环球资源股份有限公司",2012-06-30,204408808.42
"31122","鹏欣环球资源股份有限公司",2012-09-30,627939012.65
"31123","鹏欣环球资源股份有限公司",2012-12-31,1461864916.87
"31124","鹏欣环球资源股份有限公司",2013-03-31,619729145.89
"31125","鹏欣环球资源股份有限公司",2013-06-30,1119224968.69
"31126","鹏欣环球资源股份有限公司",2013-09-30,1483568176.95
"31127","鹏欣环球资源股份有限公司",2013-12-31,2218849131.16
"31128","鹏欣环球资源股份有限公司",2014-03-31,701232733.94
"31129","鹏欣环球资源股份有限公司",2014-06-30,1296924531.33
"31130","鹏欣环球资源股份有限公司",2014-09-30,1888702061.86
"31131","鹏欣环球资源股份有限公司",2014-12-31,2155634449.85
"31132","鹏欣环球资源股份有限公司",2015-03-31,402068776.39
"31133","鹏欣环球资源股份有限公司",2015-06-30,844815896.83
"31134","鹏欣环球资源股份有限公司",2015-09-30,1370499652.01
"31135","鹏欣环球资源股份有限公司",2015-12-31,1788060950.19
"31136","鹏欣环球资源股份有限公司",2016-03-31,588711029.96
"31137","鹏欣环球资源股份有限公司",2016-06-30,1349284065.72
"31138","鹏欣环球资源股份有限公司",2016-09-30,2027181544.08
"31139","鹏欣环球资源股份有限公司",2016-12-31,2560087944.36
"31140","鹏欣环球资源股份有限公司",2017-03-31,843858637.43
"49857","浙江海亮股份有限公司",2010-03-31,1962220291.97
"49858","浙江海亮股份有限公司",2010-06-30,4531853614.34
"49859","浙江海亮股份有限公司",2010-09-30,6843816980.44
"49860","浙江海亮股份有限公司",2010-12-31,9052592859.38
"49861","浙江海亮股份有限公司",2011-03-31,2497372592.79
"49862","浙江海亮股份有限公司",2011-06-30,5770714243.8
"49863","浙江海亮股份有限公司",2011-09-30,8767155043.18
"49864","浙江海亮股份有限公司",2011-12-31,11877884365.59
"49865","浙江海亮股份有限公司",2012-03-31,3050873956.48
"49866","浙江海亮股份有限公司",2012-06-30,5460795632.63
"49867","浙江海亮股份有限公司",2012-09-30,7867352606.95
"49868","浙江海亮股份有限公司",2012-12-31,10349952665.33
"49869","浙江海亮股份有限公司",2013-03-31,2981981694.86
"49870","浙江海亮股份有限公司",2013-06-30,7231273084.47
"49871","浙江海亮股份有限公司",2013-09-30,10202460391.29
"49872","浙江海亮股份有限公司",2013-12-31,13094760298.1
"49873","浙江海亮股份有限公司",2014-03-31,2640775744.8
"49874","浙江海亮股份有限公司",2014-06-30,6063499975.69
"49875","浙江海亮股份有限公司",2014-09-30,9184140612.69
"49876","浙江海亮股份有限公司",2014-12-31,12061447691.98
"49877","浙江海亮股份有限公司",2015-03-31,2618790523.04
"49878","浙江海亮股份有限公司",2015-06-30,6374620503.94
"49879","浙江海亮股份有限公司",2015-09-30,10036289973.28
"49880","浙江海亮股份有限公司",2015-12-31,13616345105.04
"49881","浙江海亮股份有限公司",2016-03-31,3042939208.18
"49882","浙江海亮股份有限公司",2016-06-30,7438905018.67
"49883","浙江海亮股份有限公司",2016-09-30,12800159235.6
"49884","浙江海亮股份有限公司",2016-12-31,17999619717.57
"49885","浙江海亮股份有限公司",2017-03-31,4913234119.85
"53050","宁波博威合金材料股份有限公司",2010-06-30,954517604.26
"53051","宁波博威合金材料股份有限公司",2010-12-31,2016082538.64
"53052","宁波博威合金材料股份有限公司",2011-03-31,512027210.69
"53053","宁波博威合金材料股份有限公司",2011-06-30,1175945787.33
"53054","宁波博威合金材料股份有限公司",2011-09-30,1769325028.07
"53055","宁波博威合金材料股份有限公司",2011-12-31,2380071458.26
