指标名称,"车板价:主焦煤(A<10.5%,V27%,S<1%,G>80%,乌海产):内蒙古"
2010-01-01,1081.00 
2010-01-04,1082.00 
2010-01-05,1081.00 
2010-01-06,1081.00 
2010-01-07,1081.00 
2010-01-08,1081.00 
2010-01-11,1082.00 
2010-01-12,1082.00 
2010-01-13,1082.00 
2010-01-14,1082.00 
2010-01-15,1082.00 
2010-01-18,1082.00 
2010-01-19,1082.00 
2010-01-20,1082.00 
2010-01-21,1082.00 
2010-01-22,1082.00 
2010-01-25,1082.00 
2010-01-26,1082.00 
2010-01-27,1082.00 
2010-01-28,1082.00 
2010-01-29,1082.00 
2010-02-01,1082.00 
2010-02-02,1082.00 
2010-02-03,1082.00 
2010-02-04,1082.00 
2010-02-05,1083.00 
2010-02-08,1209.00 
2010-02-09,1211.00 
2010-02-10,1211.00 
2010-02-11,1211.00 
2010-02-12,1211.00 
2010-02-15,1211.00 
2010-02-16,1213.00 
2010-02-17,1213.00 
2010-02-18,1213.00 
2010-02-19,1213.00 
2010-02-22,1213.00 
2010-02-23,1213.00 
2010-02-24,1213.00 
2010-02-25,1213.00 
2010-02-26,1213.00 
2010-03-01,1213.00 
2010-03-02,1213.00 
2010-03-03,1213.00 
2010-03-04,1213.00 
2010-03-05,1213.00 
2010-03-08,1213.00 
2010-03-09,1213.00 
2010-03-10,1213.00 
2010-03-11,1213.00 
2010-03-12,1213.00 
2010-03-15,1213.00 
2010-03-16,1213.00 
2010-03-17,1213.00 
2010-03-18,1213.00 
2010-03-19,1213.00 
2010-03-22,1213.00 
2010-03-23,1213.00 
2010-03-24,1213.00 
2010-03-25,1213.00 
2010-03-26,1213.00 
2010-03-29,1213.00 
2010-03-30,1213.00 
2010-03-31,1213.00 
2010-04-01,1213.00 
2010-04-02,1213.00 
2010-04-05,1213.00 
2010-04-06,1213.00 
2010-04-07,1213.00 
2010-04-08,1213.00 
2010-04-09,1213.00 
2010-04-12,1213.00 
2010-04-13,1213.00 
2010-04-14,1213.00 
2010-04-15,1213.00 
2010-04-16,1213.00 
2010-04-19,1213.00 
2010-04-20,1213.00 
2010-04-21,1213.00 
2010-04-22,1213.00 
2010-04-23,1213.00 
2010-04-26,1213.00 
2010-04-27,1213.00 
2010-04-28,1213.00 
2010-04-29,1213.00 
2010-04-30,1213.00 
2010-05-03,1213.00 
2010-05-04,1213.00 
2010-05-05,1213.00 
2010-05-06,1213.00 
2010-05-07,1213.00 
2010-05-10,1213.00 
2010-05-11,1213.00 
2010-05-12,1213.00 
2010-05-13,1213.00 
2010-05-14,1213.00 
2010-05-17,1213.00 
2010-05-18,1213.00 
2010-05-19,1213.00 
2010-05-20,1213.00 
2010-05-21,1213.00 
2010-05-24,1213.00 
2010-05-25,1213.00 
2010-05-26,1213.00 
2010-05-27,1213.00 
2010-05-28,1213.00 
2010-05-31,1213.00 
2010-06-01,1213.00 
2010-06-02,1213.00 
2010-06-03,1213.00 
2010-06-04,1213.00 
2010-06-07,1213.00 
2010-06-08,1213.00 
2010-06-09,1213.00 
2010-06-10,1213.00 
2010-06-11,1213.00 
2010-06-14,1213.00 
2010-06-15,1213.00 
2010-06-16,1213.00 
2010-06-17,1213.00 
2010-06-18,1213.00 
2010-06-21,1213.00 
2010-06-22,1213.00 
2010-06-23,1213.00 
2010-06-24,1213.00 
2010-06-25,1213.00 
2010-06-28,1213.00 
2010-06-29,1213.00 
2010-06-30,1213.00 
2010-07-01,1213.00 
2010-07-02,1213.00 
2010-07-05,1213.00 
2010-07-06,1213.00 
2010-07-07,1213.00 
2010-07-08,1213.00 
2010-07-09,1213.00 
2010-07-12,1213.00 
2010-07-13,1213.00 
2010-07-14,1213.00 
2010-07-15,1213.00 
2010-07-16,1213.00 
2010-07-19,1213.00 
2010-07-20,1213.00 
2010-07-21,1213.00 
2010-07-22,1213.00 
2010-07-23,1213.00 
2010-07-26,1213.00 
2010-07-27,1213.00 
2010-07-28,1213.00 
2010-07-29,1213.00 
2010-07-30,1213.00 
2010-08-02,1213.00 
2010-08-03,1213.00 
2010-08-04,1213.00 
2010-08-05,1213.00 
2010-08-06,1213.00 
2010-08-09,1213.00 
2010-08-10,1213.00 
2010-08-11,1213.00 
2010-08-12,1213.00 
2010-08-13,1212.00 
2010-08-16,1212.00 
2010-08-17,1212.00 
2010-08-18,1212.00 
2010-08-19,1212.00 
2010-08-20,1212.00 
2010-08-23,1212.00 
2010-08-24,1212.00 
2010-08-25,1212.00 
2010-08-26,1212.00 
2010-08-27,1212.00 
2010-08-30,1212.00 
2010-08-31,1212.00 
2010-09-01,1212.00 
2010-09-02,1212.00 
2010-09-03,1212.00 
2010-09-06,1212.00 
2010-09-07,1212.00 
2010-09-08,1212.00 
2010-09-09,1212.00 
2010-09-10,1212.00 
2010-09-13,1212.00 
2010-09-14,1212.00 
2010-09-15,1212.00 
2010-09-16,1212.00 
2010-09-17,1212.00 
2010-09-20,1212.00 
2010-09-21,1212.00 
2010-09-22,1212.00 
2010-09-23,1212.00 
2010-09-24,1212.00 
2010-09-27,1212.00 
2010-09-28,1212.00 
2010-09-29,1212.00 
2010-09-30,1212.00 
2010-10-01,1212.00 
2010-10-04,1212.00 
2010-10-05,1212.00 
2010-10-06,1212.00 
2010-10-07,1212.00 
2010-10-08,1212.00 
2010-10-11,1212.00 
2010-10-12,1212.00 
2010-10-13,1212.00 
2010-10-14,1212.00 
2010-10-15,1212.00 
2010-10-18,1212.00 
2010-10-19,1212.00 
2010-10-20,1212.00 
2010-10-21,1212.00 
