指标名称,申万行业指数:铜
2010-01-04,6042.73 
2010-01-05,6279.57 
2010-01-06,6298.17 
2010-01-07,6166.21 
2010-01-08,6053.42 
2010-01-11,6062.95 
2010-01-12,6116.83 
2010-01-13,5820.86 
2010-01-14,5897.00 
2010-01-15,5925.98 
2010-01-18,5928.85 
2010-01-19,6023.72 
2010-01-20,5843.49 
2010-01-21,5740.29 
2010-01-22,5576.10 
2010-01-25,5553.07 
2010-01-26,5340.18 
2010-01-27,5216.79 
2010-01-28,5171.93 
2010-01-29,5146.21 
2010-02-01,4993.19 
2010-02-02,5037.25 
2010-02-03,5264.75 
2010-02-04,5162.19 
2010-02-05,4990.71 
2010-02-08,5009.88 
2010-02-09,5130.81 
2010-02-10,5221.92 
2010-02-11,5227.08 
2010-02-12,5356.11 
2010-02-22,5352.89 
2010-02-23,5216.96 
2010-02-24,5287.54 
2010-02-25,5366.70 
2010-02-26,5288.38 
2010-03-01,5760.30 
2010-03-02,5515.93 
2010-03-03,5477.90 
2010-03-04,5329.50 
2010-03-05,5367.25 
2010-03-08,5374.98 
2010-03-09,5393.07 
2010-03-10,5355.98 
2010-03-11,5297.42 
2010-03-12,5245.98 
2010-03-15,5111.57 
2010-03-16,5130.95 
2010-03-17,5278.97 
2010-03-18,5232.93 
2010-03-19,5368.27 
2010-03-22,5334.80 
2010-03-23,5309.19 
2010-03-24,5272.16 
2010-03-25,5178.05 
2010-03-26,5222.33 
2010-03-29,5391.82 
2010-03-30,5454.25 
2010-03-31,5393.10 
2010-04-01,5499.28 
2010-04-02,5660.56 
2010-04-06,5742.29 
2010-04-07,5705.42 
2010-04-08,5574.91 
2010-04-09,5698.21 
2010-04-12,5716.52 
2010-04-13,5694.90 
2010-04-14,5864.04 
2010-04-15,5799.31 
2010-04-16,5694.39 
2010-04-19,5339.01 
2010-04-20,5414.04 
2010-04-21,5481.29 
2010-04-22,5493.53 
2010-04-23,5459.82 
2010-04-26,5438.05 
2010-04-27,5269.85 
2010-04-28,5189.34 
2010-04-29,5099.66 
2010-04-30,5122.40 
2010-05-04,5106.91 
2010-05-05,4960.96 
2010-05-06,4720.37 
2010-05-07,4509.38 
2010-05-10,4670.66 
2010-05-11,4582.34 
2010-05-12,4568.86 
2010-05-13,4706.72 
2010-05-14,4660.43 
2010-05-17,4351.33 
2010-05-18,4431.25 
2010-05-19,4393.46 
2010-05-20,4324.05 
2010-05-21,4372.82 
2010-05-24,4615.61 
2010-05-25,4537.27 
2010-05-26,4527.31 
2010-05-27,4693.21 
2010-05-28,4655.93 
2010-05-31,4440.14 
2010-06-01,4479.00 
2010-06-02,4461.93 
2010-06-03,4482.95 
2010-06-04,4470.77 
2010-06-07,4346.80 
2010-06-08,4348.79 
2010-06-09,4492.03 
2010-06-10,4435.54 
2010-06-11,4515.96 
2010-06-17,4475.94 
2010-06-18,4380.73 
2010-06-21,4503.27 
2010-06-22,4483.09 
2010-06-23,4401.02 
2010-06-24,4408.72 
2010-06-25,4349.90 
2010-06-28,4311.77 
2010-06-29,4021.74 
2010-06-30,3816.95 
2010-07-01,3712.30 
2010-07-02,3649.15 
2010-07-05,3580.14 
2010-07-06,3681.94 
2010-07-07,3696.09 
2010-07-08,3815.22 
2010-07-09,3885.76 
2010-07-12,3951.93 
2010-07-13,3851.91 
2010-07-14,3956.03 
2010-07-15,3868.65 
2010-07-16,3920.86 
2010-07-19,4026.17 
2010-07-20,4224.46 
2010-07-21,4187.88 
2010-07-22,4253.97 
2010-07-23,4289.43 
2010-07-26,4327.87 
2010-07-27,4288.49 
2010-07-28,4378.39 
2010-07-29,4420.24 
2010-07-30,4430.36 
2010-08-02,4507.13 
2010-08-03,4449.10 
2010-08-04,4422.11 
2010-08-05,4358.08 
2010-08-06,4465.65 
2010-08-09,4565.75 
2010-08-10,4383.31 
2010-08-11,4395.36 
2010-08-12,4301.99 
2010-08-13,4395.02 
2010-08-16,4506.58 
2010-08-17,4503.13 
2010-08-18,4578.56 
2010-08-19,4658.70 
2010-08-20,4471.63 
2010-08-23,4435.47 
2010-08-24,4488.02 
2010-08-25,4371.42 
2010-08-26,4401.07 
2010-08-27,4411.41 
2010-08-30,4523.19 
2010-08-31,4618.46 
2010-09-01,4640.02 
2010-09-02,4741.44 
2010-09-03,4730.36 
2010-09-06,4802.28 
2010-09-07,4807.35 
2010-09-08,5012.30 
2010-09-09,4860.61 
2010-09-10,4787.03 
2010-09-13,4881.70 
2010-09-14,4860.82 
2010-09-15,4787.96 
2010-09-16,4570.86 
2010-09-17,4654.65 
2010-09-20,4521.62 
2010-09-21,4426.86 
2010-09-27,4630.52 
2010-09-28,4516.61 
2010-09-29,4676.15 
2010-09-30,4811.31 
2010-10-08,5258.35 
2010-10-11,5631.52 
2010-10-12,5996.31 
2010-10-13,6028.65 
2010-10-14,6265.50 
2010-10-15,6369.96 
2010-10-18,5957.56 
2010-10-19,6389.69 
2010-10-20,6418.24 
2010-10-21,6683.52 
2010-10-22,6584.46 
2010-10-25,7224.62 
2010-10-26,6963.28 
2010-10-27,6688.54 
2010-10-28,6592.25 
2010-10-29,6553.23 
2010-11-01,6934.65 
2010-11-02,6859.56 
2010-11-03,6449.99 
2010-11-04,6571.89 
2010-11-05,6892.39 
2010-11-08,6781.77 
2010-11-09,6889.36 
2010-11-10,6952.46 
2010-11-11,7021.08 
2010-11-12,6573.99 
2010-11-15,6257.69 
2010-11-16,5815.83 
2010-11-17,5571.39 
2010-11-18,5742.77 
2010-11-19,5752.21 
2010-11-22,5719.33 
2010-11-23,5394.18 
2010-11-24,5509.42 
2010-11-25,5653.76 
2010-11-26,5506.46 
2010-11-29,5382.76 
2010-11-30,5586.18 
2010-12-01,5516.52 
2010-12-02,5621.57 
2010-12-03,5714.29 
2010-12-06,5739.50 
2010-12-07,5882.00 
2010-12-08,5823.08 
2010-12-09,5835.91 
2010-12-10,5934.76 
2010-12-13,6474.30 
2010-12-14,6470.54 
2010-12-15,6329.89 
2010-12-16,6184.19 
2010-12-17,6268.54 
2010-12-20,6191.01 
2010-12-21,6399.77 
2010-12-22,6401.81 
2010-12-23,6327.25 
2010-12-24,6354.24 
2010-12-27,6354.61 
2010-12-28,6290.61 
2010-12-29,6280.61 
2010-12-30,6516.72 
2010-12-31,7068.76 
2011-01-04,7211.67 
2011-01-05,7127.55 
2011-01-06,7096.16 
2011-01-07,6749.57 
2011-01-10,6598.31 
2011-01-11,6755.62 
2011-01-12,6616.90 
2011-01-13,6567.46 
2011-01-14,6105.10 
2011-01-17,5954.10 
2011-01-18,6043.34 
2011-01-19,6328.48 
2011-01-20,5973.47 
2011-01-21,5953.14 
2011-01-24,5743.93 
2011-01-25,5763.16 
2011-01-26,5781.10 
2011-01-27,6020.69 
2011-01-28,6144.73 
2011-01-31,6262.81 
2011-02-01,6340.43 
2011-02-09,6087.99 
2011-02-10,6270.47 
2011-02-11,6218.99 
2011-02-14,6561.00 
2011-02-15,6662.27 
2011-02-16,6857.22 
2011-02-17,6742.97 
2011-02-18,6628.55 
2011-02-21,6715.60 
2011-02-22,6374.00 
2011-02-23,6439.03 
2011-02-24,6446.92 
2011-02-25,6533.67 
2011-02-28,6624.88 
2011-03-01,6661.86 
2011-03-02,6539.13 
2011-03-03,6359.80 
2011-03-04,6469.91 
2011-03-07,6839.80 
2011-03-08,6761.55 
2011-03-09,6776.41 
2011-03-10,6570.12 
2011-03-11,6520.25 
2011-03-14,6414.63 
2011-03-15,6344.10 
2011-03-16,6530.38 
2011-03-17,6330.37 
2011-03-18,6370.06 
2011-03-21,6349.01 
2011-03-22,6393.01 
2011-03-23,6503.08 
2011-03-24,6455.05 
2011-03-25,6817.50 
2011-03-28,6618.59 
2011-03-29,6442.36 
2011-03-30,6461.49 
2011-03-31,6358.09 
2011-04-01,6390.72 
2011-04-06,6474.21 
2011-04-07,6541.72 
2011-04-08,6733.34 
2011-04-11,6646.26 
2011-04-12,6593.40 
2011-04-13,6526.34 
2011-04-14,6484.79 
2011-04-15,6452.48 
2011-04-18,6398.88 
2011-04-19,6188.36 
2011-04-20,6253.72 
2011-04-21,6327.52 
2011-04-22,6279.67 
2011-04-25,6102.68 
2011-04-26,5937.94 
2011-04-27,5867.41 
2011-04-28,5742.10 
2011-04-29,5842.53 
2011-05-03,5862.53 
2011-05-04,5590.92 
2011-05-05,5521.33 
2011-05-06,5481.18 
2011-05-09,5509.89 
2011-05-10,5606.42 
2011-05-11,5553.26 
2011-05-12,5367.23 
2011-05-13,5495.11 
2011-05-16,5391.38 
2011-05-17,5501.65 
2011-05-18,5555.21 
2011-05-19,5511.79 
2011-05-20,5529.76 
2011-05-23,5371.21 
2011-05-24,5316.64 
2011-05-25,5237.64 
2011-05-26,5248.06 
2011-05-27,5177.89 
2011-05-30,5113.91 
2011-05-31,5254.43 
2011-06-01,5265.31 
2011-06-02,5175.90 
2011-06-03,5304.74 
2011-06-07,5378.22 
2011-06-08,5375.76 
2011-06-09,5266.61 
2011-06-10,5262.12 
2011-06-13,5254.82 
2011-06-14,5439.86 
2011-06-15,5363.35 
2011-06-16,5237.89 
2011-06-17,5157.82 
2011-06-20,5053.35 
2011-06-21,5178.36 
2011-06-22,5153.01 
2011-06-23,5264.39 
2011-06-24,5411.72 
2011-06-27,5416.79 
2011-06-28,5478.13 
2011-06-29,5394.05 
2011-06-30,5568.37 
2011-07-01,5599.33 
2011-07-04,5814.72 
2011-07-05,5792.23 
2011-07-06,5873.74 
2011-07-07,5764.67 
2011-07-08,5748.61 
2011-07-11,5705.51 
2011-07-12,5529.65 
2011-07-13,5690.75 
2011-07-14,5832.85 
2011-07-15,5855.45 
2011-07-18,5789.80 
2011-07-19,5897.54 
2011-07-20,5876.88 
2011-07-21,5726.42 
2011-07-22,5761.46 
2011-07-25,5676.57 
2011-07-26,5790.43 
2011-07-27,5862.35 
2011-07-28,5953.08 
2011-07-29,5783.57 
2011-08-01,5839.56 
2011-08-02,5686.68 
2011-08-03,5669.99 
2011-08-04,5657.92 
2011-08-05,5467.25 
2011-08-08,5192.69 
2011-08-09,5220.34 
2011-08-10,5257.00 
2011-08-11,5326.91 
2011-08-12,5327.85 
2011-08-15,5393.97 
2011-08-16,5326.88 
2011-08-17,5267.57 
2011-08-18,5195.83 
2011-08-19,5063.51 
2011-08-22,5010.86 
2011-08-23,5115.71 
2011-08-24,5061.98 
2011-08-25,5274.44 
2011-08-26,5295.94 
2011-08-29,5180.60 
2011-08-30,5174.24 
2011-08-31,5191.71 
2011-09-01,5187.12 
2011-09-02,5107.00 
2011-09-05,4965.71 
2011-09-06,4901.46 
2011-09-07,5037.80 
2011-09-08,4974.32 
2011-09-09,4965.10 
2011-09-13,4873.56 
2011-09-14,4919.50 
2011-09-15,4905.08 
2011-09-16,4934.06 
2011-09-19,4825.46 
2011-09-20,4811.57 
2011-09-21,4973.62 
2011-09-22,4754.36 
2011-09-23,4625.84 
2011-09-26,4469.87 
2011-09-27,4504.50 
2011-09-28,4507.72 
2011-09-29,4388.14 
2011-09-30,4394.89 
2011-10-10,4377.84 
2011-10-11,4384.73 
2011-10-12,4533.33 
2011-10-13,4597.54 
2011-10-14,4573.13 
2011-10-17,4566.53 
2011-10-18,4370.40 
2011-10-19,4362.49 
2011-10-20,4215.94 
2011-10-21,4125.99 
2011-10-24,4287.08 
2011-10-25,4527.35 
2011-10-26,4494.27 
2011-10-27,4495.90 
2011-10-28,4619.55 
2011-10-31,4572.18 
2011-11-01,4544.49 
2011-11-02,4595.69 
2011-11-03,4607.70 
2011-11-04,4711.45 
2011-11-07,4627.67 
2011-11-08,4602.61 
2011-11-09,4655.45 
2011-11-10,4511.30 
2011-11-11,4512.03 
2011-11-14,4635.47 
2011-11-15,4620.42 
2011-11-16,4464.02 
2011-11-17,4453.58 
2011-11-18,4301.34 
2011-11-21,4324.83 
2011-11-22,4289.42 
2011-11-23,4240.78 
2011-11-24,4225.53 
2011-11-25,4195.34 
2011-11-28,4224.96 
2011-11-29,4298.42 
2011-11-30,4089.24 
2011-12-01,4316.58 
2011-12-02,4199.27 
2011-12-05,4094.24 
2011-12-06,4093.00 
2011-12-07,4122.64 
2011-12-08,4067.04 
2011-12-09,4001.24 
2011-12-12,3966.87 
2011-12-13,3863.18 
2011-12-14,3825.39 
2011-12-15,3579.49 
2011-12-16,3668.85 
2011-12-19,3615.12 
2011-12-20,3621.24 
2011-12-21,3526.82 
2011-12-22,3549.27 
2011-12-23,3568.04 
2011-12-26,3535.02 
2011-12-27,3467.39 
2011-12-28,3499.71 
2011-12-29,3505.59 
2011-12-30,3603.07 
2012-01-04,3526.73 
2012-01-05,3442.54 
2012-01-06,3517.82 
2012-01-09,3690.32 
2012-01-10,3871.50 
2012-01-11,3836.67 
2012-01-12,3864.40 
2012-01-13,3781.21 
2012-01-16,3640.09 
2012-01-17,3998.41 
2012-01-18,3980.78 
2012-01-19,4084.41 
2012-01-20,4094.18 
2012-01-30,4056.18 
2012-01-31,4042.63 
2012-02-01,3934.24 
2012-02-02,4057.73 
2012-02-03,4056.19 
2012-02-06,4045.63 
2012-02-07,3982.34 
2012-02-08,4310.30 
2012-02-09,4258.98 
