指标名称,平均价(不含税):铜精矿:20%:江西,平均价(不含税):铜精矿:20%:湖北,平均价(不含税):铜精矿:20%:内蒙古,平均价(不含税):铜精矿:20%:云南,产量:火电:当月值,产量:水电:当月值,期货收盘价(活跃合约):焦煤,铜运费价差,进口数量:废铜:当月值,期货收盘价(活跃合约):燃料油,进口金额:铜矿砂及其精矿
2010-01-04,,,,,,,,,,4549.00 ,
2010-01-05,,,,,,,,,,4696.00 ,
2010-01-06,,,,,,,,,,4704.00 ,
2010-01-07,,,,,,,,,,4603.00 ,
2010-01-08,,,,,,,,,,4604.00 ,
2010-01-11,,,,,,,,,,4719.00 ,
2010-01-12,,,,,,,,,,4658.00 ,
2010-01-13,,,,,,,,,,4584.00 ,
2010-01-14,,,,,,,,,,4615.00 ,
2010-01-15,,,,,,,,,,4577.00 ,
2010-01-18,,,,,,,,,,4580.00 ,
2010-01-19,,,,,,,,,,4600.00 ,
2010-01-20,,,,,,,,,,4588.00 ,
2010-01-21,,,,,,,,,,4630.00 ,
2010-01-22,,,,,,,,,,4586.00 ,
2010-01-25,,,,,,,,,,4563.00 ,
2010-01-26,,,,,,,,,,4519.00 ,
2010-01-27,,,,,,,,,,4526.00 ,
2010-01-28,,,,,,,,,,4544.00 ,
2010-01-29,,,,,,,,,,4496.00 ,
2010-01-31,,,,,2932.35 ,302.09 ,,,337443.00 ,,
2010-02-01,,,,,,,,,,4407.00 ,
2010-02-02,,,,,,,,,,4439.00 ,
2010-02-03,,,,,,,,,,4498.00 ,
2010-02-04,,,,,,,,,,4457.00 ,
2010-02-05,,,,,,,,,,4331.00 ,
2010-02-08,,,,,,,,,,4332.00 ,
2010-02-09,,,,,,,,,,4341.00 ,
2010-02-10,,,,,,,,,,4352.00 ,
2010-02-11,,,,,,,,,,4380.00 ,
2010-02-12,,,,,,,,,,4426.00 ,
2010-02-22,,,,,,,,,,4530.00 ,
2010-02-23,,,,,,,,,,4515.00 ,
2010-02-24,,,,,,,,,,4506.00 ,
2010-02-25,,,,,,,,,,4509.00 ,
2010-02-26,,,,,,,,,,4507.00 ,
2010-02-28,,,,,2299.00 ,260.00 ,,,376634.00 ,,
2010-03-01,,,,,,,,,,4534.00 ,
2010-03-02,,,,,,,,,,4503.00 ,
2010-03-03,,,,,,,,,,4520.00 ,
2010-03-04,,,,,,,,,,4528.00 ,
2010-03-05,,,,,,,,,,4545.00 ,
2010-03-08,,,,,,,,,,4567.00 ,
2010-03-09,,,,,,,,,,4563.00 ,
2010-03-10,,,,,,,,,,4560.00 ,
2010-03-11,,,,,,,,,,4547.00 ,
2010-03-12,,,,,,,,,,4563.00 ,
2010-03-15,,,,,,,,,,4544.00 ,
2010-03-16,,,,,,,,,,4535.00 ,
2010-03-17,,,,,,,,,,4596.00 ,
2010-03-18,,,,,,,,,,4637.00 ,
2010-03-19,,,,,,,,,,4636.00 ,
2010-03-22,,,,,,,,,,4605.00 ,
2010-03-23,,,,,,,,,,4613.00 ,
2010-03-24,,,,,,,,,,4615.00 ,
2010-03-25,,,,,,,,,,4611.00 ,
