指标名称,出口金额:电线和电缆:累计值,出口金额:汽车零件:累计值,产量:发电量:当月值,产量:家用电冰箱:当月值,产量:空调:当月值,产量:彩电:当月值,产量:冷柜:当月值,固定资产投资完成额:其他费用:家用厨房电器具制造,产量:汽车:当月值,产量:铁路机车:当月值,产量:发动机:当月值,房地产开发投资完成额:累计值,产量:铜材:当月值
2010/1/31,86099.50 ,131435.60 ,3394.20 ,501.95 ,786.25 ,1111.42 ,109.50 ,,162.49 ,110.00 ,10530.32 ,,73.74 
2010/2/28,161224.00 ,245499.70 ,2695.90 ,474.00 ,656.90 ,689.90 ,91.70 ,,122.60 ,159.00 ,8231.46 ,3143.64 ,59.30 
2010/3/31,258583.90 ,378148.90 ,3369.50 ,618.50 ,1035.00 ,796.50 ,168.10 ,,174.80 ,220.00 ,11698.35 ,6594.45 ,88.80 
2010/4/30,360928.80 ,517594.50 ,3316.40 ,788.70 ,1208.40 ,916.20 ,182.30 ,,159.80 ,175.00 ,10626.66 ,9932.05 ,101.90 
2010/5/31,470880.90 ,682822.10 ,3404.70 ,772.60 ,1254.90 ,882.80 ,158.10 ,,145.80 ,184.00 ,10363.18 ,13917.41 ,96.50 
2010/6/30,587871.40 ,852437.50 ,3466.60 ,770.10 ,1162.30 ,856.80 ,149.50 ,,142.60 ,186.00 ,9315.21 ,19747.12 ,100.90 
2010/7/31,704588.00 ,1026623.20 ,3776.40 ,771.30 ,1035.40 ,829.10 ,125.90 ,,134.20 ,120.00 ,8619.50 ,23864.77 ,92.40 
2010/8/31,818819.60 ,1188728.50 ,3903.30 ,706.00 ,826.70 ,982.10 ,129.40 ,,133.10 ,184.00 ,8603.93 ,28355.05 ,91.90 
2010/9/30,936963.60 ,1357686.60 ,3486.50 ,645.70 ,836.20 ,1225.80 ,142.30 ,,163.40 ,254.00 ,10188.73 ,33511.25 ,89.60 
2010/10/31,1041695.10 ,1510432.50 ,3328.80 ,494.40 ,853.10 ,1116.80 ,130.90 ,,159.30 ,279.00 ,9546.54 ,38069.52 ,89.00 
2010/11/30,1161706.70 ,1685551.90 ,3453.40 ,500.30 ,876.60 ,1209.30 ,121.80 ,,182.10 ,368.00 ,11888.82 ,42697.33 ,99.90 
2010/12/31,1288855.90 ,1865240.30 ,3677.80 ,533.30 ,1046.00 ,1286.80 ,144.90 ,87267.00 ,195.40 ,328.00 ,12770.07 ,48259.40 ,103.00 
2011/1/31,116227.70 ,188358.70 ,3672.27 ,586.59 ,1173.95 ,909.79 ,128.71 ,,183.50 ,193.00 ,12328.40 ,,70.06 
2011/2/28,191245.10 ,302633.60 ,3100.80 ,465.80 ,899.00 ,587.40 ,157.90 ,,129.40 ,213.00 ,10011.47 ,4250.37 ,60.30 
2011/3/31,315120.70 ,486782.00 ,3830.10 ,739.20 ,1462.70 ,778.90 ,167.20 ,,192.30 ,295.00 ,12720.19 ,8846.36 ,91.90 
2011/4/30,435866.50 ,672962.00 ,3663.80 ,853.20 ,1761.20 ,906.30 ,183.30 ,,156.50 ,134.00 ,10952.91 ,13340.16 ,91.50 
2011/5/31,556338.10 ,856473.60 ,3775.40 ,857.30 ,1628.80 ,903.70 ,181.30 ,,142.60 ,183.00 ,9716.07 ,18737.23 ,97.90 
2011/6/30,682404.90 ,1046874.00 ,3968.20 ,883.40 ,1604.00 ,911.00 ,178.40 ,,148.50 ,227.00 ,10242.06 ,26250.45 ,105.40 
2011/7/31,811238.20 ,1255546.60 ,4251.50 ,885.60 ,1329.00 ,931.90 ,141.60 ,,131.80 ,181.00 ,9597.12 ,31873.03 ,95.90 
2011/8/31,950699.70 ,1467708.80 ,4260.40 ,759.10 ,1119.10 ,1192.80 ,134.90 ,,145.00 ,174.00 ,10590.42 ,37780.84 ,100.60 
2011/9/30,1091769.60 ,1675641.90 ,3860.60 ,727.50 ,896.50 ,1316.90 ,152.40 ,,166.40 ,236.00 ,11171.80 ,44224.84 ,103.80 
2011/10/31,1216850.30 ,1864816.50 ,3640.40 ,593.50 ,818.90 ,1114.90 ,145.70 ,,160.50 ,238.00 ,11790.01 ,49922.82 ,98.60 
2011/11/30,1353086.50 ,2073574.30 ,3713.00 ,599.10 ,887.90 ,1339.00 ,157.60 ,,179.30 ,258.00 ,12045.25 ,55483.03 ,105.50 
2011/12/31,1489046.60 ,2297522.40 ,4038.10 ,689.70 ,1044.40 ,1500.90 ,163.70 ,161449.00 ,182.40 ,241.00 ,11876.71 ,61796.90 ,102.70 
2012/1/31,123661.00 ,203237.50 ,3485.45 ,647.04 ,857.29 ,727.66 ,106.34 ,,138.92 ,123.00 ,9139.38 ,,67.06 
