指标名称,出口数量:铜制品:当月值,进口数量:铜制品:当月值,出口金额:电线和电缆:累计值,价格:废铜:1#电线电缆(70-75%):天津,进口金额:电线和电缆:当月值,红本价:中压电力电缆:YJLV-22:3×150,红本价:中压电力电缆:YJLV-22:3×185,价格:铜管:紫铜管Ф4-Ф5*0.5-1.0:深圳,价格:铜管:62黄铜管Ф4-Ф5*0.7-1.5:深圳,价格:铜棒:T2紫铜棒Ф20:上海,价格:铜板带:T2紫铜带0.2*200*C:济南,价格:铜杆线:T2无氧杆Ф3-8:广州,价格:铜合金:磷铜14%:洛阳,价格:铜合金:磷铜14%:苏州,产量:铜材:当月值
1990-01-31,,,,,,,,,,,,,,,2.68 
1990-02-28,,,,,,,,,,,,,,,2.85 
1990-03-31,,,,,,,,,,,,,,,3.43 
1990-04-30,,,,,,,,,,,,,,,4.30 
1990-05-31,,,,,,,,,,,,,,,3.71 
1990-06-30,,,,,,,,,,,,,,,3.96 
1990-07-31,,,,,,,,,,,,,,,3.38 
1990-08-31,,,,,,,,,,,,,,,3.75 
1990-09-30,,,,,,,,,,,,,,,3.50 
1990-10-31,,,,,,,,,,,,,,,3.48 
1990-11-30,,,,,,,,,,,,,,,3.55 
1990-12-31,,,,,,,,,,,,,,,3.08 
1991-01-31,,,,,,,,,,,,,,,3.46 
1991-02-28,,,,,,,,,,,,,,,3.15 
1991-03-31,,,,,,,,,,,,,,,4.37 
1991-04-30,,,,,,,,,,,,,,,4.23 
1991-05-31,,,,,,,,,,,,,,,4.11 
1991-06-30,,,,,,,,,,,,,,,4.30 
1991-07-31,,,,,,,,,,,,,,,3.98 
1991-08-31,,,,,,,,,,,,,,,4.22 
1991-09-30,,,,,,,,,,,,,,,4.23 
1991-10-31,,,,,,,,,,,,,,,4.50 
1991-11-30,,,,,,,,,,,,,,,3.96 
1991-12-31,,,,,,,,,,,,,,,3.53 
1992-01-31,,,,,,,,,,,,,,,3.42 
1992-02-29,,,,,,,,,,,,,,,3.60 
1992-03-31,,,,,,,,,,,,,,,4.82 
1992-04-30,,,,,,,,,,,,,,,4.85 
1992-05-31,,,,,,,,,,,,,,,5.46 
1992-06-30,,,,,,,,,,,,,,,5.37 
1992-07-31,,,,,,,,,,,,,,,4.90 
1992-08-31,,,,,,,,,,,,,,,4.36 
1992-09-30,,,,,,,,,,,,,,,4.61 
1992-10-31,,,,,,,,,,,,,,,5.27 
1992-11-30,,,,,,,,,,,,,,,5.12 
1992-12-31,,,,,,,,,,,,,,,4.21 
1993-01-31,,,,,,,,,,,,,,,3.78 
1993-02-28,,,,,,,,,,,,,,,5.32 
1993-03-31,,,,,,,,,,,,,,,5.64 
1993-04-30,,,,,,,,,,,,,,,5.90 
1993-05-31,,,,,,,,,,,,,,,5.89 
1993-06-30,,,,,,,,,,,,,,,6.23 
1993-07-31,,,,,,,,,,,,,,,5.22 
1993-08-31,,,,,,,,,,,,,,,5.30 
1993-09-30,,,,,,,,,,,,,,,5.37 
1993-10-31,,,,,,,,,,,,,,,4.80 
1993-11-30,,,,,,,,,,,,,,,4.93 
1993-12-31,,,,,,,,,,,,,,,4.39 
1994-01-31,,,,,,,,,,,,,,,3.88 
1994-02-28,,,,,,,,,,,,,,,3.68 
1994-03-31,,,,,,,,,,,,,,,5.52 
1994-04-30,,,,,,,,,,,,,,,5.72 
1994-05-31,,,,,,,,,,,,,,,5.93 
1994-06-30,,,,,,,,,,,,,,,5.57 
1994-07-31,,,,,,,,,,,,,,,5.61 
1994-08-31,,,,,,,,,,,,,,,5.01 
1994-09-30,,,,,,,,,,,,,,,5.00 
1994-10-31,,,,,,,,,,,,,,,5.36 
1994-11-30,,,,,,,,,,,,,,,5.66 
1994-12-31,,,,,,,,,,,,,,,5.13 
1995-01-31,,,3196.90 ,,3883.00 ,,,,,,,,,,4.05 
1995-02-28,,,5599.30 ,,3584.70 ,,,,,,,,,,4.23 
1995-03-31,,,9597.90 ,,5836.50 ,,,,,,,,,,5.65 
1995-04-30,,,13450.10 ,,5943.10 ,,,,,,,,,,6.00 
1995-05-31,,,17740.00 ,,6796.20 ,,,,,,,,,,6.28 
1995-06-30,,,22679.20 ,,6426.90 ,,,,,,,,,,7.00 
1995-07-31,,,27148.10 ,,6466.00 ,,,,,,,,,,6.46 
1995-08-31,,,31565.60 ,,6901.40 ,,,,,,,,,,6.30 
1995-09-30,,,36159.30 ,,6857.90 ,,,,,,,,,,6.12 
1995-10-31,,,40718.30 ,,6474.60 ,,,,,,,,,,5.21 
1995-11-30,,,45708.50 ,,7592.40 ,,,,,,,,,,6.74 
1995-12-31,,,51131.90 ,,11769.20 ,,,,,,,,,,6.92 
1996-01-31,,,4242.50 ,,7644.60 ,,,,,,,,,,4.68 
1996-02-29,,,8002.70 ,,4587.40 ,,,,,,,,,,3.57 
1996-03-31,,,12874.00 ,,7034.80 ,,,,,,,,,,6.17 
1996-04-30,,,18098.10 ,,5681.40 ,,,,,,,,,,6.72 
1996-05-31,,,24458.70 ,,6105.00 ,,,,,,,,,,6.09 
1996-06-30,,,29460.50 ,,5454.70 ,,,,,,,,,,6.53 
1996-07-31,,,36072.80 ,,5727.40 ,,,,,,,,,,5.22 
1996-08-31,,,42126.40 ,,6020.90 ,,,,,,,,,,4.99 
1996-09-30,,,48645.00 ,,6827.60 ,,,,,,,,,,5.04 
1996-10-31,,,55391.90 ,,6849.60 ,,,,,,,,,,5.52 
1996-11-30,,,61936.30 ,,6234.20 ,,,,,,,,,,5.68 
1996-12-31,,,70147.20 ,,9348.10 ,,,,,,,,,,7.48 
1997-01-31,,,5547.10 ,,7051.10 ,,,,,,,,,,5.57 
1997-02-28,,,10293.30 ,,4345.70 ,,,,,,,,,,8.60 
1997-03-31,,,16894.10 ,,6732.60 ,,,,,,,,,,7.83 
1997-04-30,,,24009.30 ,,6784.40 ,,,,,,,,,,8.58 
1997-05-31,,,32545.20 ,,7852.20 ,,,,,,,,,,8.46 
1997-06-30,,,40038.20 ,,6572.80 ,,,,,,,,,,8.84 
1997-07-31,,,47416.30 ,,6992.70 ,,,,,,,,,,7.22 
1997-08-31,,,54468.80 ,,6619.40 ,,,,,,,,,,8.24 
1997-09-30,,,61447.20 ,,6899.20 ,,,,,,,,,,7.50 
1997-10-31,,,69996.90 ,,9638.40 ,,,,,,,,,,6.69 
1997-11-30,,,78117.30 ,,9475.00 ,,,,,,,,,,6.69 
1997-12-31,,,86976.90 ,,11750.90 ,,,,,,,,,,8.44 
1998-01-31,,,5861.40 ,,6686.00 ,,,,,,,,,,4.98 
1998-02-28,,,12684.20 ,,6512.50 ,,,,,,,,,,6.18 
1998-03-31,,,20721.40 ,,7940.00 ,,,,,,,,,,8.78 
1998-04-30,,,28942.50 ,,8452.00 ,,,,,,,,,,8.16 
1998-05-31,,,36707.20 ,,7560.60 ,,,,,,,,,,9.86 
1998-06-30,,,43979.40 ,,7318.00 ,,,,,,,,,,9.97 
1998-07-31,,,51419.10 ,,7106.90 ,,,,,,,,,,9.08 
1998-08-31,,,60017.10 ,,7116.80 ,,,,,,,,,,10.96 
1998-09-30,,,68112.40 ,,8152.90 ,,,,,,,,,,10.75 
