指标名称,期货收盘价(电子盘):LME3个月铜,COMEX:铜:库存,总库存:LME铜,库存期货:阴极铜,现货:中国铜冶炼厂:粗炼费(TC),现货:中国铜冶炼厂:精炼费(RC),产量:铜矿:全球,LME铜升贴水(0-3),产量:空调:当月值,产量:家用电冰箱:当月值,房屋施工面积:累计值,房屋新开工面积:累计值,出口数量:铜材:当月值,出口数量:铜制品:当月值,出口数量:铜矿砂及精矿:当月值,进口数量:铜材:当月值,进口数量:铜合金:当月值,进口数量:阳极铜:当月值,进口数量:精炼铜:当月值,进口数量:铜制品:当月值,进口数量:精炼铜阴极型材:当月值,进口数量:其他精炼铜阴极:当月值,进口数量:按重量计铜含量>99.9935%的精炼铜阴极:当月值,进口数量:未精炼铜;电解精炼用的铜阳极:当月值,进口数量:未锻轧的铜锌合金(黄铜):当月值,进口数量:未锻轧的铜锡合金(青铜):当月值,零售额:通讯器材类:当月值,全国国有企业:主营业务收入:工业:电力工业,申万行业指数:环保
2010-01-04,7506.00 ,99462.00 ,502400.00 ,32390.00 ,,,,-33.75 ,,,,,,,,,,,,,,,,,,,,,1432.78 
2010-01-05,7525.00 ,99368.00 ,505350.00 ,33015.00 ,,,,-34.75 ,,,,,,,,,,,,,,,,,,,,,1445.54 
2010-01-06,7665.00 ,99368.00 ,507400.00 ,33989.00 ,,,,-29.50 ,,,,,,,,,,,,,,,,,,,,,1460.21 
2010-01-07,7542.50 ,99368.00 ,507475.00 ,33840.00 ,,,,-28.50 ,,,,,,,,,,,,,,,,,,,,,1431.28 
2010-01-08,7510.00 ,99392.00 ,510625.00 ,33715.00 ,,,,-27.00 ,,,,,,,,,,,,,,,,,,,,,1450.41 
2010-01-11,7587.50 ,99365.00 ,515200.00 ,34240.00 ,,,,-28.50 ,,,,,,,,,,,,,,,,,,,,,1471.35 
2010-01-12,7330.00 ,99440.00 ,517175.00 ,34165.00 ,,,,-27.00 ,,,,,,,,,,,,,,,,,,,,,1496.31 
2010-01-13,7492.75 ,99641.00 ,521775.00 ,35340.00 ,,,,-25.00 ,,,,,,,,,,,,,,,,,,,,,1462.94 
2010-01-14,7489.00 ,99917.00 ,523975.00 ,34314.00 ,,,,-24.25 ,,,,,,,,,,,,,,,,,,,,,1530.34 
2010-01-15,7390.00 ,100217.00 ,525475.00 ,33669.00 ,,,,-27.25 ,,,,,,,,,,,,,,,,,,,,,1567.26 
2010-01-18,7530.00 ,,523450.00 ,36689.00 ,,,,-25.75 ,,,,,,,,,,,,,,,,,,,,,1591.93 
2010-01-19,7582.00 ,100764.00 ,526750.00 ,36140.00 ,,,,-26.00 ,,,,,,,,,,,,,,,,,,,,,1578.69 
2010-01-20,7420.00 ,101359.00 ,526650.00 ,33639.00 ,,,,-25.50 ,,,,,,,,,,,,,,,,,,,,,1534.80 
2010-01-21,7280.00 ,101715.00 ,534650.00 ,32213.00 ,,,,-24.25 ,,,,,,,,,,,,,,,,,,,,,1523.25 
2010-01-22,7395.00 ,102003.00 ,534200.00 ,31436.00 ,,,,-22.50 ,,,,,,,,,,,,,,,,,,,,,1483.69 
2010-01-25,7455.00 ,102259.00 ,533400.00 ,29933.00 ,,,,-23.75 ,,,,,,,,,,,,,,,,,,,,,1486.50 
2010-01-26,7378.00 ,102748.00 ,533575.00 ,29783.00 ,,,,-24.00 ,,,,,,,,,,,,,,,,,,,,,1413.66 
2010-01-27,7047.50 ,103160.00 ,538600.00 ,30583.00 ,,,,-24.00 ,,,,,,,,,,,,,,,,,,,,,1373.33 
2010-01-28,6870.00 ,103510.00 ,540175.00 ,31557.00 ,,,,-22.00 ,,,,,,,,,,,,,,,,,,,,,1382.78 
2010-01-29,6738.25 ,103620.00 ,541050.00 ,31156.00 ,,,,-21.75 ,,,,,,,,,,,,,,,,,,,,,1410.69 
2010-01-31,,,,,,,,,786.25 ,501.95 ,,,37956.00 ,37956.00 ,150000.00 ,64681.00 ,5485.00 ,24989.00 ,196926.00 ,64681.00 ,2321414.00 ,41480292.00 ,152657690.00 ,24989094.00 ,3852851.00 ,1048589.00 ,61.40 ,,
